timepoint	flower_0	flower_1	flower_10	flower_11	flower_12	flower_2	flower_3	flower_4	flower_5	flower_6	flower_7	flower_8	flower_9	rosette_21d_0	rosette_21d_1	rosette_21d_10	rosette_21d_11	rosette_21d_12	rosette_21d_13	rosette_21d_14	rosette_21d_15	rosette_21d_16	rosette_21d_17	rosette_21d_2	rosette_21d_3	rosette_21d_4	rosette_21d_5	rosette_21d_6	rosette_21d_7	rosette_21d_8	rosette_21d_9	rosette_30d_0	rosette_30d_1	rosette_30d_10	rosette_30d_11	rosette_30d_12	rosette_30d_13	rosette_30d_14	rosette_30d_15	rosette_30d_16	rosette_30d_2	rosette_30d_3	rosette_30d_4	rosette_30d_5	rosette_30d_6	rosette_30d_7	rosette_30d_8	rosette_30d_9	seed_3d_0	seed_3d_1	seed_3d_10	seed_3d_11	seed_3d_12	seed_3d_13	seed_3d_14	seed_3d_15	seed_3d_16	seed_3d_17	seed_3d_2	seed_3d_3	seed_3d_4	seed_3d_5	seed_3d_6	seed_3d_7	seed_3d_8	seed_3d_9	seed_425d_0	seed_425d_1	seed_425d_10	seed_425d_11	seed_425d_12	seed_425d_13	seed_425d_14	seed_425d_15	seed_425d_16	seed_425d_2	seed_425d_3	seed_425d_4	seed_425d_5	seed_425d_6	seed_425d_7	seed_425d_8	seed_425d_9	seedling_15d_0	seedling_15d_1	seedling_15d_10	seedling_15d_11	seedling_15d_12	seedling_15d_13	seedling_15d_14	seedling_15d_15	seedling_15d_16	seedling_15d_17	seedling_15d_18	seedling_15d_2	seedling_15d_3	seedling_15d_4	seedling_15d_5	seedling_15d_6	seedling_15d_7	seedling_15d_8	seedling_15d_9	seedling_6d_0	seedling_6d_1	seedling_6d_10	seedling_6d_11	seedling_6d_12	seedling_6d_13	seedling_6d_14	seedling_6d_15	seedling_6d_16	seedling_6d_17	seedling_6d_2	seedling_6d_3	seedling_6d_4	seedling_6d_5	seedling_6d_6	seedling_6d_7	seedling_6d_8	seedling_6d_9	seedling_9d_0	seedling_9d_1	seedling_9d_10	seedling_9d_11	seedling_9d_12	seedling_9d_13	seedling_9d_14	seedling_9d_15	seedling_9d_16	seedling_9d_17	seedling_9d_18	seedling_9d_19	seedling_9d_2	seedling_9d_3	seedling_9d_4	seedling_9d_5	seedling_9d_6	seedling_9d_7	seedling_9d_8	seedling_9d_9	silique_0	silique_1	silique_10	silique_11	silique_12	silique_13	silique_14	silique_15	silique_16	silique_17	silique_18	silique_19	silique_2	silique_20	silique_21	silique_22	silique_23	silique_24	silique_25	silique_26	silique_3	silique_4	silique_5	silique_6	silique_7	silique_8	silique_9	stem_0	stem_1	stem_10	stem_11	stem_12	stem_13	stem_14	stem_15	stem_2	stem_3	stem_4	stem_5	stem_6	stem_7	stem_8	stem_9
10	0.0	0.0	0.0	0.0	0.0	0.004965796506256338	0.0	0.02897554960468316	0.0	0.0	0.0	0.0	0.0025056909804526553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03629372178453523	0.0	0.0	0.0	0.08184905179318261	0.48530962310966236	0.0	0.0	0.0714357904485261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015507273401786264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022844036316897165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06885721967243699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021673510091387266	0.0033855492541194146	0.016454064952617243	0.0	0.03519898261087459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1105064935785794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002848787737742938	0.00517016946196284	0.0	0.0015917963876660118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0038551674510397724	0.0	0.0	0.0	0.0	0.0013313575407990054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.058712218170169146	0.0	0.0	0.0	0.0	0.0	0.0	0.0030038258994949593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029789448246535333	0.0	0.0	0.0	0.17616776785743016	0.27428420075954446	0.0	0.0	0.1964738000390382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015519402398791494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06844332375766667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02116612318322038	0.0	0.014531384447009788	0.0	0.03770837899722133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09011099172359059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031218605393531973	0.0026519317149136215	0.0	0.0021328832456613497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002404631399646826	0.0	0.0	0.0	0.0	0.0007394073657229286	0.0	0.0	0.0	0.0	0.0	0.0	0.003038420254989742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.464980662476487	0.0	0.0	0.0	0.0	0.050388563215284815	0.0	0.0	0.0	0.0	0.24813161643511586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01173929214335515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04637522844007355	0.006954768050214859	0.046977429551923994	0.0	0.03137188708616995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008564138299618918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0024192159759313728	0.0014544980973467995	0.0	0.0	4.726222264557913e-05	0.0	0.0	0.0009988070740619957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08730435540142714	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.0	0.0	0.057713232921615294	0.0	0.0	0.0	0.0	0.0	0.0	0.002272915646696808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04064695184328279	0.0	0.0	0.0	0.2504432808457727	0.14998973394247261	0.0	0.0	0.2485513397695764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016667565805949847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057578316394382933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026867299033829145	0.0	0.0022301019418571196	0.0	0.047522664930601435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08112005892083181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002399369056577342	0.003644895919786673	0.0	0.0031949163663190032	0.0	0.0	0.0	0.0	0.0	0.0	0.001067594071612673	0.0	0.0	0.0	0.0	0.0	0.0	0.0021334419157638417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005956320673071367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008815066232141253	0.0	0.0	0.35733384885002223	0.0	0.0	0.0	0.0	0.06864997671235823	0.0	0.13183904427277143	0.0	0.0	0.2655712889775596	0.0	0.0	0.13707145867604686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016511566668700266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013546549077148778	0.002647617476160822	0.0	0.0	0.014440078883735117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002976036106268941	0.0	0.0020459037032879266	0.0	0.0	0.0	0.0	0.0	0.0	0.0002686192711362286	0.0	0.0	0.0	0.0	0.0	0.0	0.0010769147034195123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012937553796683909	0.0	0.0	0.0	0.0	0.0013092302746642893	0.0	0.0	0.07107884294903406	0.0	0.0	0.0	0.0	0.04308487329560323	0.0	0.0	0.0	0.0	0.5920089075783643	0.0	0.0	0.015611072928410205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01383421372456085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016499757801868055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04606166772431787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02503699832962527	9.434122472319562e-05	0.0009663173148532653	0.0	0.041424558958656425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09333091446252434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014941245918061333	0.0	0.01234201339387539	0.0	0.0024541251126292754	0.0	0.0	0.0	0.0	0.0	0.003061187618956655	0.0008604843756680127	0.0	0.0	0.0	0.0	0.0	0.0	0.006508814543175328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11001071579345571	0.0	0.0	0.0	0.0	0.03710185068864067	0.0	0.0	0.0	0.0	0.5387909776800476	0.0	0.0	0.08767066483670637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06345386526412482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021632541503801745	0.008495717109841226	0.02299812723699784	0.0	0.025367125456216562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06974258491055109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023155621513039877	0.0	0.005270987482341883	0.0	0.0019657495784380203	0.0	0.0	0.0	0.0	0.0	0.0002609856194587419	6.633896089060367e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00485620572718328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008923436269732353	0.0	0.0	0.19777443541415227	0.0	0.0	0.0	0.0	0.05955141838798394	0.0	0.176591011910387	0.0	0.0	0.2716283504493101	0.0	0.0	0.20132655233327823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036499258222760046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02088963932335739	0.0016146561423527608	0.0	0.0	0.015430190374384846	0.0	0.002919599485038431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003119806856125892	0.0	0.0006780756344299576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00305356919670671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
