timepoint	flower_0	flower_1	flower_10	flower_11	flower_12	flower_2	flower_3	flower_4	flower_5	flower_6	flower_7	flower_8	flower_9	rosette_21d_0	rosette_21d_1	rosette_21d_10	rosette_21d_11	rosette_21d_12	rosette_21d_13	rosette_21d_14	rosette_21d_15	rosette_21d_16	rosette_21d_17	rosette_21d_2	rosette_21d_3	rosette_21d_4	rosette_21d_5	rosette_21d_6	rosette_21d_7	rosette_21d_8	rosette_21d_9	rosette_30d_0	rosette_30d_1	rosette_30d_10	rosette_30d_11	rosette_30d_12	rosette_30d_13	rosette_30d_14	rosette_30d_15	rosette_30d_16	rosette_30d_2	rosette_30d_3	rosette_30d_4	rosette_30d_5	rosette_30d_6	rosette_30d_7	rosette_30d_8	rosette_30d_9	seed_3d_0	seed_3d_1	seed_3d_10	seed_3d_11	seed_3d_12	seed_3d_13	seed_3d_14	seed_3d_15	seed_3d_16	seed_3d_17	seed_3d_2	seed_3d_3	seed_3d_4	seed_3d_5	seed_3d_6	seed_3d_7	seed_3d_8	seed_3d_9	seed_425d_0	seed_425d_1	seed_425d_10	seed_425d_11	seed_425d_12	seed_425d_13	seed_425d_14	seed_425d_15	seed_425d_16	seed_425d_2	seed_425d_3	seed_425d_4	seed_425d_5	seed_425d_6	seed_425d_7	seed_425d_8	seed_425d_9	seedling_15d_0	seedling_15d_1	seedling_15d_10	seedling_15d_11	seedling_15d_12	seedling_15d_13	seedling_15d_14	seedling_15d_15	seedling_15d_16	seedling_15d_17	seedling_15d_18	seedling_15d_2	seedling_15d_3	seedling_15d_4	seedling_15d_5	seedling_15d_6	seedling_15d_7	seedling_15d_8	seedling_15d_9	seedling_6d_0	seedling_6d_1	seedling_6d_10	seedling_6d_11	seedling_6d_12	seedling_6d_13	seedling_6d_14	seedling_6d_15	seedling_6d_16	seedling_6d_17	seedling_6d_2	seedling_6d_3	seedling_6d_4	seedling_6d_5	seedling_6d_6	seedling_6d_7	seedling_6d_8	seedling_6d_9	seedling_9d_0	seedling_9d_1	seedling_9d_10	seedling_9d_11	seedling_9d_12	seedling_9d_13	seedling_9d_14	seedling_9d_15	seedling_9d_16	seedling_9d_17	seedling_9d_18	seedling_9d_19	seedling_9d_2	seedling_9d_3	seedling_9d_4	seedling_9d_5	seedling_9d_6	seedling_9d_7	seedling_9d_8	seedling_9d_9	silique_0	silique_1	silique_10	silique_11	silique_12	silique_13	silique_14	silique_15	silique_16	silique_17	silique_18	silique_19	silique_2	silique_20	silique_21	silique_22	silique_23	silique_24	silique_25	silique_26	silique_3	silique_4	silique_5	silique_6	silique_7	silique_8	silique_9	stem_0	stem_1	stem_10	stem_11	stem_12	stem_13	stem_14	stem_15	stem_2	stem_3	stem_4	stem_5	stem_6	stem_7	stem_8	stem_9
5760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27242087042243857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07961927136473142	0.012374743624554103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02204414514109514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013422666241135856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30414872517278846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15569463410653847	0.0	0.0	0.0	0.04435547703296595	0.0	0.013014572557971936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047980856581818715	0.0	0.010696323818270258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05469492708945648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012715557769871577
8640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5641583875321322	0.0	0.0	0.0	0.0	0.0	0.0	0.1573785727015751	0.0	0.27175248875889685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037711456472029137	0.0	0.0	0.006333436442675484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11520	0.0	0.0	0.002323049578416985	0.0	0.0	0.0	0.0	0.0	0.0	0.0010474151225006042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029963814428419416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5223911567979215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25540045934807853	0.0	0.0	0.0	0.06703081999731172	0.0	0.011614908062942868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012671618945410476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021646717191758237	0.0	0.015546835523627362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03817608559698145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02218711940663093
