TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT4G12670	24.3227	24.0499	50	-0.0156		(not in atlas set)	False	
AT4G14410	45.5	39.6497	91	-0.194		(not in atlas set)	False	bHLH104
AT4G14770	1658.6387	1485.6181	3276	-0.1588		(not in atlas set)	False	ATTCX2
AT4G16750	1794.9689	1641.8164	3583	-0.1286		(not in atlas set)	False	
AT4G17460	60.3684	55.1593	121	-0.128		(not in atlas set)	False	HAT1
AT4G17785	307.3166	274.9025	630	-0.1603		(not in atlas set)	False	MYB39
AT4G17980	1745.0076	1498.7642	3424	-0.2193		(not in atlas set)	False	anac071
AT4G18170	1521.093	1352.9882	3032	-0.1688		(not in atlas set)	False	ATWRKY28
AT4G18450	244.5	229.3251	489	-0.0921		(not in atlas set)	False	
AT4G18770	1429.0	1233.9912	2858	-0.2115		(not in atlas set)	False	AtMYB98
AT4G18890	300.7375	269.9774	603	-0.1551		(not in atlas set)	False	BEH3
AT4G22070	1037.7135	938.5863	2077	-0.1447	seedling_15d_15	seedling_15d	True	ATWRKY31
AT4G23550	1667.0828	1492.2062	3314	-0.1598		(not in atlas set)	False	ATWRKY29
AT4G24020	245.5	228.9599	491	-0.1002		(not in atlas set)	False	NLP7
AT4G24240	53.0	51.7312	106	-0.0343		(not in atlas set)	False	ATWRKY7
AT4G24470	283.5	260.2788	567	-0.1228		(not in atlas set)	False	GATA25
AT4G25470	1611.2608	1457.2025	3130	-0.1449		(not in atlas set)	False	ATCBF2
AT4G25480	1911.2943	1743.0136	3760	-0.1329		(not in atlas set)	False	ATCBF3
AT4G25490	1867.8584	1703.6085	3618	-0.1327		(not in atlas set)	False	ATCBF1
AT4G26030	1251.5	1108.5456	2503	-0.1748		(not in atlas set)	False	
AT4G26640	696.5	620.6056	1393	-0.1662		(not in atlas set)	False	AtWRKY20
AT4G27900	73.0	64.4742	146	-0.1766		(not in atlas set)	False	
AT4G27950	873.9113	810.0615	1752	-0.1093		(not in atlas set)	False	CRF4
AT4G28110	64.0	55.5278	128	-0.2015		(not in atlas set)	False	AtMYB41
AT4G28140	317.4666	289.3617	649	-0.1333		(not in atlas set)	False	
AT4G28500	1426.8947	1265.2114	2809	-0.1734	silique_4	silique	True	ANAC073
AT4G29230	1217.0	1073.4163	2434	-0.181	silique_4	silique	True	anac075
AT4G30080	84.0	80.316	168	-0.0639		(not in atlas set)	False	ARF16
AT4G31060	1851.7993	1692.6649	3593	-0.1296		(not in atlas set)	False	
AT4G31550	402.5	359.9928	805	-0.1606		(not in atlas set)	False	ATWRKY11
AT4G31800	1900.6105	1711.2814	3705	-0.1513	silique_14	silique	True	ATWRKY18
AT4G32730	1919.515	1682.0225	3911	-0.1904		(not in atlas set)	False	ATMYB3R-1
AT4G32800	629.0	571.9516	1258	-0.1369		(not in atlas set)	False	
AT4G34410	1914.6105	1759.8299	3841	-0.1215	stem_4	stem	True	RRTF1
AT4G34590	419.5	375.3231	839	-0.1601		(not in atlas set)	False	ATB2
AT4G36160	2075.8488	1798.8314	4198	-0.2065		(not in atlas set)	False	ANAC076
AT4G36620	142.7528	132.2059	296	-0.1099		(not in atlas set)	False	GATA19
AT4G36740	1679.5846	1490.3851	3243	-0.1723		(not in atlas set)	False	ATHB40
AT4G36780	1582.7665	1417.1129	3167	-0.1594		(not in atlas set)	False	BEH2
AT4G37180	1576.3308	1445.9414	3070	-0.1245		(not in atlas set)	False	
AT4G37260	1393.5	1245.9681	2787	-0.1613		(not in atlas set)	False	ATMYB73
AT4G37790	31.5	28.7324	63	-0.1284		(not in atlas set)	False	HAT22
AT4G38000	2275.9012	2065.6521	4421	-0.1398		(not in atlas set)	False	DOF4.7
AT4G38170	2353.018	2114.6189	4653	-0.154		(not in atlas set)	False	FRS9
AT4G38620	162.0	143.6865	324	-0.1719	silique_7	silique	True	ATMYB4
AT4G38910	86.7393	78.3824	178	-0.1444		(not in atlas set)	False	ATBPC5
AT5G02460	2157.8776	1976.9744	4195	-0.1263		(not in atlas set)	False	
AT5G02840	725.5	654.1488	1451	-0.1491		(not in atlas set)	False	LCL1
AT5G03150	629.5	579.0231	1259	-0.1204		(not in atlas set)	False	JKD
AT5G03790	1706.2707	1508.5979	3318	-0.1775		(not in atlas set)	False	ATHB51
AT5G04390	1011.5	942.2921	2023	-0.1021		(not in atlas set)	False	
AT5G04410	1603.0429	1345.8492	2999	-0.2521		(not in atlas set)	False	anac078
AT5G05550	2541.8599	2363.2335	4887	-0.1051		(not in atlas set)	False	
AT5G05790	953.0	887.1672	1906	-0.1032		(not in atlas set)	False	
AT5G06100	1368.0	1228.3973	2736	-0.1552		(not in atlas set)	False	ATMYB33
AT5G06839	1417.2423	1272.8116	2837	-0.155		(not in atlas set)	False	bZIP65
AT5G06950	1478.5	1312.1031	2957	-0.1721		(not in atlas set)	False	AHBP-1B
AT5G06960	829.5	741.7567	1659	-0.1611		(not in atlas set)	False	OBF5
AT5G07100	245.7101	221.2277	489	-0.1508		(not in atlas set)	False	WRKY26
AT5G07680	294.5	246.7166	589	-0.2545	silique_22	silique	True	ANAC079
AT5G08070	50.502	45.8871	102	-0.1354		(not in atlas set)	False	TCP17
AT5G08130	336.7695	309.9421	684	-0.1194		(not in atlas set)	False	BIM1
AT5G08330	697.6689	626.9446	1397	-0.154		(not in atlas set)	False	AtTCP11
AT5G08520	1801.8267	1647.7593	3633	-0.1289		(not in atlas set)	False	
AT5G08750	284.0	252.5568	568	-0.1687		(not in atlas set)	False	
AT5G09410	956.5	834.3385	1913	-0.1969		(not in atlas set)	False	CAMTA1
AT5G10030	1795.8128	1608.7053	3548	-0.1586		(not in atlas set)	False	OBF4
AT5G10140	201.7641	178.5036	424	-0.1758		(not in atlas set)	False	AGL25
AT5G10280	333.6546	296.7211	687	-0.1687		(not in atlas set)	False	ATMYB64
AT5G10510	120.0	112.612	240	-0.0909		(not in atlas set)	False	AIL6
AT5G11260	1694.0	1527.9916	3388	-0.1487		(not in atlas set)	False	HY5
AT5G13080	2036.142	1831.8888	3940	-0.1524		(not in atlas set)	False	ATWRKY75
AT5G13180	1608.35	1363.0715	3190	-0.2386		(not in atlas set)	False	ANAC083
AT5G13790	657.839	594.9976	1329	-0.1446		(not in atlas set)	False	AGL15
AT5G13910	224.5	209.4247	449	-0.0998	seedling_15d_18	seedling_15d	True	LEP
AT5G14340	82.0	71.0754	164	-0.2036		(not in atlas set)	False	AtMYB40
AT5G14960	336.3265	312.165	668	-0.1072		(not in atlas set)	False	DEL2
AT5G15830	1597.0	1445.5641	3194	-0.1436		(not in atlas set)	False	AtbZIP3
AT5G16600	30.0	27.7657	60	-0.1079		(not in atlas set)	False	AtMYB43
AT5G16820	1519.2735	1379.2227	2940	-0.1394		(not in atlas set)	False	ATHSF3
AT5G17300	2065.6524	1829.4648	4006	-0.1751		(not in atlas set)	False	RVE1
AT5G17800	1272.4421	1142.5136	2570	-0.1553	silique_6	silique	True	AtMYB56
AT5G18090	50.5	45.8792	101	-0.1356		(not in atlas set)	False	
AT5G18270	1567.758	1348.8019	3077	-0.2169	silique_18	silique	True	ANAC087
AT5G18450	881.0	796.9411	1762	-0.1445		(not in atlas set)	False	
AT5G18560	1037.7313	964.515	2101	-0.1055		(not in atlas set)	False	PUCHI
AT5G22500	364.2811	337.8423	730	-0.1084	seedling_15d_16	seedling_15d	True	FAR1
AT5G22890	75.5	64.9103	151	-0.215		(not in atlas set)	False	STOP2
AT5G22990	1949.5	1807.8943	3899	-0.1087		(not in atlas set)	False	
AT5G23930	1714.0	1569.1716	3428	-0.1273		(not in atlas set)	False	
AT5G24110	1245.6444	1126.2459	2496	-0.1452		(not in atlas set)	False	ATWRKY30
AT5G25190	2128.7718	1958.4231	4201	-0.1203		(not in atlas set)	False	ESE3
AT5G25390	139.5	130.3062	279	-0.0976		(not in atlas set)	False	SHN3
AT5G25475	72.0	66.2492	144	-0.1184		(not in atlas set)	False	
AT5G25830	1049.7639	979.0392	2114	-0.1005		(not in atlas set)	False	GATA12
AT5G26170	1888.587	1704.0415	3675	-0.1483		(not in atlas set)	False	ATWRKY50
AT5G29000	1273.0	1150.3843	2546	-0.146		(not in atlas set)	False	PHL1
AT5G38800	20.0	19.7421	40	-0.0178		(not in atlas set)	False	AtbZIP43
AT5G38860	64.0	60.9777	128	-0.0687		(not in atlas set)	False	BIM3
AT5G39610	1464.8942	1238.7909	2964	-0.2417		(not in atlas set)	False	ANAC092
AT5G39820	274.0	239.5634	548	-0.193		(not in atlas set)	False	anac094
AT5G40330	61.0	55.8382	122	-0.1254		(not in atlas set)	False	ATMYB23
AT5G41570	1963.2586	1764.9998	3842	-0.1535	silique_13	silique	True	ATWRKY24
AT5G42520	88.0	81.8924	176	-0.1026		(not in atlas set)	False	ATBPC6
AT5G42820	27.0	24.9696	54	-0.1086		(not in atlas set)	False	ATU2AF35B
AT5G43840	237.6463	212.9424	470	-0.1577		(not in atlas set)	False	AT-HSFA6A
AT5G44160	291.5471	270.5811	591	-0.1073		(not in atlas set)	False	AtIDD8
AT5G44210	913.9944	850.0552	1784	-0.1045		(not in atlas set)	False	ATERF-9
AT5G45300	958.0184	852.2599	1924	-0.1686		(not in atlas set)	False	BAM8
AT5G45580	1898.6543	1732.8344	3689	-0.1318		(not in atlas set)	False	
AT5G46350	951.5	858.6218	1903	-0.148	rosette_30d_15	rosette_30d	True	ATWRKY8
AT5G46590	583.5	490.867	1167	-0.2489		(not in atlas set)	False	anac096
AT5G47220	697.1577	646.5015	1386	-0.1087		(not in atlas set)	False	ATERF-2
AT5G47230	508.9076	474.9784	996	-0.0993		(not in atlas set)	False	ATERF-5
AT5G47370	1808.2012	1588.7094	3580	-0.1866		(not in atlas set)	False	HAT2
AT5G47390	1333.2183	1206.9257	2681	-0.1435		(not in atlas set)	False	MYBH
AT5G47660	1316.8509	1191.9467	2644	-0.1437		(not in atlas set)	False	
AT5G48670	20.0	18.5283	40	-0.1048		(not in atlas set)	False	AGL80
AT5G49300	34.5	30.5083	69	-0.1721		(not in atlas set)	False	GATA16
AT5G50570	305.5	270.0333	611	-0.1774		(not in atlas set)	False	SPL13
AT5G51990	1986.8024	1801.4768	3742	-0.1412		(not in atlas set)	False	CBF4
AT5G52170	114.5	97.327	229	-0.2322		(not in atlas set)	False	HDG7
AT5G52660	1678.0653	1507.6452	3277	-0.1544		(not in atlas set)	False	
AT5G52830	1583.5736	1416.7748	3089	-0.1605		(not in atlas set)	False	ATWRKY27
AT5G53950	705.5	585.0241	1411	-0.2697		(not in atlas set)	False	ANAC098
AT5G54230	1686.3157	1498.085	3379	-0.1706		(not in atlas set)	False	AtMYB49
AT5G56110	1961.8461	1730.6696	3889	-0.1808		(not in atlas set)	False	AtMYB103
AT5G56840	1809.008	1608.2066	3507	-0.1696		(not in atlas set)	False	
AT5G56930	89.0	79.991	178	-0.1522		(not in atlas set)	False	EMB1789
AT5G58620	35.0	31.4993	70	-0.1476		(not in atlas set)	False	TZF9
AT5G58850	1817.0734	1579.135	3451	-0.2024		(not in atlas set)	False	ATMYB119
AT5G58900	1499.9734	1355.8714	2992	-0.1456		(not in atlas set)	False	
AT5G59990	178.3511	161.9081	373	-0.1387		(not in atlas set)	False	
AT5G60130	1418.2155	1268.8595	2847	-0.1604		(not in atlas set)	False	
AT5G60850	2054.4733	1881.1382	4003	-0.1271		(not in atlas set)	False	OBP4
AT5G61270	55.0	51.1009	110	-0.1041		(not in atlas set)	False	PIF7
AT5G61600	550.0905	513.4186	1095	-0.0993		(not in atlas set)	False	ERF104
AT5G61620	1760.4783	1591.8261	3463	-0.1452		(not in atlas set)	False	
AT5G62000	1288.5	1160.6878	2577	-0.1506		(not in atlas set)	False	ARF1-BP
AT5G62165	50.0	46.8647	100	-0.0915		(not in atlas set)	False	AGL42
AT5G62320	1143.1114	1009.3044	2331	-0.1794		(not in atlas set)	False	ATMYB99
AT5G62380	1492.7321	1280.2372	2970	-0.2214		(not in atlas set)	False	ANAC101
AT5G62470	652.6911	591.8957	1307	-0.1408		(not in atlas set)	False	ATMYB96
AT5G62940	1443.0	1320.1911	2886	-0.1282		(not in atlas set)	False	DOF5.6
AT5G63090	537.0	493.4973	1074	-0.1216	rosette_30d_11	rosette_30d	True	LOB
AT5G63260	1905.0009	1731.1814	3697	-0.138		(not in atlas set)	False	
AT5G64060	1337.5104	1150.7044	2676	-0.2169		(not in atlas set)	False	anac103
AT5G64750	1902.7985	1754.581	3673	-0.1169		(not in atlas set)	False	ABR1
AT5G65130	867.605	782.9356	1716	-0.148		(not in atlas set)	False	
AT5G65210	1448.0	1299.2939	2896	-0.1562		(not in atlas set)	False	TGA1
AT5G65310	1914.4105	1715.8841	3701	-0.1579		(not in atlas set)	False	ATHB-5
AT5G65410	1765.8523	1548.1914	3434	-0.1897		(not in atlas set)	False	ATHB25
AT5G65510	783.2188	735.2943	1563	-0.091		(not in atlas set)	False	AIL7
AT5G66300	923.5	784.5005	1847	-0.2351		(not in atlas set)	False	ANAC105
AT5G66700	2117.3568	1886.2767	4127	-0.1666		(not in atlas set)	False	ATHB53
AT5G66730	1392.0	1258.8865	2784	-0.1449		(not in atlas set)	False	ENY
AT5G66940	1869.2579	1718.2699	3696	-0.1214		(not in atlas set)	False	
AT5G67000	61.5	53.9928	123	-0.1846		(not in atlas set)	False	
AT5G67190	1893.7583	1724.0251	3615	-0.1354		(not in atlas set)	False	DEAR2
AT5G67300	243.5	220.7087	487	-0.1412		(not in atlas set)	False	ATMYB44
AT5G67450	335.0	314.5764	670	-0.0905		(not in atlas set)	False	AZF1
AT5G67580	1636.2277	1494.1221	3274	-0.131		(not in atlas set)	False	ATTBP3
