TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT1G16490	1608.4312	1430.2647	3209	-0.1693		(not in atlas set)	False	ATMYB58
AT1G17950	34.5	32.0354	69	-0.1038		(not in atlas set)	False	ATMYB52
AT1G18330	1347.5	1180.4146	2695	-0.1908		(not in atlas set)	False	EPR1
AT1G18570	185.5	164.1728	371	-0.1752		(not in atlas set)	False	AtMYB51
AT1G18960	66.0	59.6719	132	-0.1431		(not in atlas set)	False	
AT1G19000	1577.6657	1436.2539	3113	-0.1354		(not in atlas set)	False	
AT1G19040	275.5	229.2957	551	-0.2638		(not in atlas set)	False	
AT1G19210	2363.0189	2132.1855	4500	-0.1482	seedling_15d_17	seedling_15d	True	
AT1G19790	1097.2469	1002.4215	2218	-0.1303		(not in atlas set)	False	SRS7
AT1G20910	1359.5	1205.8493	2719	-0.1729		(not in atlas set)	False	
AT1G20980	731.5	645.266	1463	-0.1807		(not in atlas set)	False	ATSPL14
AT1G21910	256.0	234.1416	512	-0.1282	seedling_15d_14	seedling_15d	True	DREB26
AT1G22070	207.5	190.0327	415	-0.1262		(not in atlas set)	False	TGA3
AT1G22810	1474.5	1349.6645	2949	-0.1275		(not in atlas set)	False	
AT1G23810	125.0	114.3155	250	-0.1278		(not in atlas set)	False	
AT1G24250	629.5	556.391	1259	-0.1778	flower_9	flower	True	
AT1G25340	1239.322	1120.157	2479	-0.1457	flower_2	flower	True	AtMYB116
AT1G25550	989.0	908.7919	1978	-0.1219		(not in atlas set)	False	
AT1G25580	860.0	796.9106	1720	-0.1098		(not in atlas set)	False	ANAC008
AT1G26960	1775.8615	1542.6329	3450	-0.203		(not in atlas set)	False	AtHB23
AT1G27360	127.5	115.4468	255	-0.1421		(not in atlas set)	False	SPL11
AT1G27730	1023.5	953.511	2047	-0.1021	seedling_15d_14	seedling_15d	True	STZ
AT1G28160	1761.4725	1633.7816	3525	-0.1085		(not in atlas set)	False	
AT1G28370	2050.7477	1897.5212	3969	-0.112		(not in atlas set)	False	ATERF11
AT1G28470	1906.5196	1677.6667	3542	-0.1844		(not in atlas set)	False	ANAC010
AT1G29280	1917.649	1720.6825	3722	-0.1563		(not in atlas set)	False	ATWRKY65
AT1G29860	1465.5	1313.4731	2931	-0.1579		(not in atlas set)	False	ATWRKY71
AT1G30210	17.0	16.3112	34	-0.0563		(not in atlas set)	False	ATTCP24
AT1G30490	1281.0	1129.1392	2562	-0.1819		(not in atlas set)	False	ATHB9
AT1G30650	1689.7327	1521.7779	3361	-0.1509	seedling_15d_15	seedling_15d	True	AR411
AT1G31140	1392.5	1254.6875	2785	-0.1502		(not in atlas set)	False	AGL63
AT1G32150	1640.0	1483.2248	3280	-0.1449		(not in atlas set)	False	AtbZIP68
AT1G32240	212.1778	184.4978	424	-0.2007		(not in atlas set)	False	KAN2
AT1G32510	81.0	66.2679	162	-0.2857		(not in atlas set)	False	ANAC011
AT1G32870	1384.7558	1169.5478	2770	-0.2435		(not in atlas set)	False	ANAC013
AT1G33240	1813.9914	1617.9581	3551	-0.1649		(not in atlas set)	False	AT-GTL1
AT1G34180	1487.5567	1264.4741	2919	-0.2342		(not in atlas set)	False	anac016
AT1G34190	1430.5	1246.7449	2861	-0.1982		(not in atlas set)	False	anac017
AT1G34370	304.5225	264.9885	615	-0.1999		(not in atlas set)	False	AtSTOP1
AT1G34670	1412.01	1241.5445	2874	-0.1855	seedling_15d_13	seedling_15d	True	AtMYB93
AT1G36060	1097.5916	991.4053	2174	-0.1467	silique_5	silique	True	
AT1G43700	378.6396	335.5739	765	-0.1737		(not in atlas set)	False	SUE3
AT1G44830	565.0	516.0624	1130	-0.1305		(not in atlas set)	False	
