timepoint	z0	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	z13	z14	z15	z16	z17	z18	z19	z20	z21	z22	z23	z24	z25	z26	z27	z28	z29	z30	z31
5760	0.00903	0.28564	-0.74384	-0.01527	-0.31211	-0.00197	0.0205	-0.07804	0.00767	0.17471	0.01023	-0.54837	0.00477	0.00347	0.00104	-0.0095	0.00062	0.00045	0.00963	-0.00962	-0.86897	-0.00077	-0.00616	-0.00761	0.003	-0.00265	2e-05	0.01094	0.00556	0.22584	0.00218	-0.00878
8640	-0.00609	-0.26157	0.25955	-0.01469	-0.33886	-0.02566	0.02125	0.00893	0.01668	0.35345	0.0148	-0.85904	0.00711	-0.01146	0.01253	-0.00814	-0.00218	0.00286	0.00461	-0.01108	-1.47029	0.00445	-0.00387	-0.0034	0.00231	-0.00173	0.00055	0.01396	-0.00539	-1.16555	0.00922	0.0069
11520	0.01889	0.37338	-1.20104	-0.01185	-0.26162	0.01084	0.01568	-0.12597	0.00095	0.12747	0.00729	-0.11376	-0.00108	0.01072	-0.00319	-0.00764	0.00299	-0.00295	0.01284	-0.00992	-0.24211	-0.0031	-0.00382	-0.00924	0.00425	-0.00213	0.00366	0.00669	0.01073	0.96211	-0.00734	-0.01752
