timepoint	z0	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	z13	z14	z15	z16	z17	z18	z19	z20	z21	z22	z23	z24	z25	z26	z27	z28	z29	z30	z31
10	0.00431	0.0218	-0.26434	-0.01221	-0.32272	-0.0148	0.00846	0.02167	0.00143	0.33815	0.01424	-0.00653	0.00036	-0.00277	0.00806	-0.00473	0.00641	-0.00238	0.00495	-0.01228	-1.49238	-0.00637	-0.00202	0.00888	0.00586	-0.01132	0.00121	0.01308	0.00595	-0.6081	0.00557	-0.0002
20	0.0045	0.02905	-0.30123	-0.01056	-0.31275	-0.01533	0.00734	0.0487	0.0022	0.29502	0.01354	0.02404	-0.00049	-0.00266	0.00666	-0.005	0.00645	-0.00117	0.00475	-0.0117	-1.56063	-0.00565	-0.00256	0.00958	0.00709	-0.01216	0.00039	0.01317	0.00663	-0.6156	0.00537	-0.00057
45	-0.00118	0.15012	-0.04986	-0.01514	-0.40658	-0.01887	0.01881	0.07968	0.01196	0.53575	0.0151	-0.65725	0.00438	-0.00795	0.01124	-0.01035	0.0023	0.00384	0.00625	-0.01215	-1.38089	0.00079	-0.00345	0.00018	-0.00025	-0.00222	-0.00027	0.01376	0.00058	-0.89305	0.00794	0.00476
90	0.00465	0.02662	-0.2645	-0.01065	-0.36039	-0.01521	0.00794	0.0253	0.00257	0.29072	0.01357	0.02345	-0.00011	-0.00256	0.00717	-0.00477	0.00571	-0.00067	0.0045	-0.01166	-1.57604	-0.00592	-0.00317	0.00865	0.00719	-0.01213	0.002	0.01405	0.00633	-0.62396	0.00558	-0.00041
180	-0.00068	-0.05567	0.11451	-0.01817	-0.47543	-0.02205	0.02117	0.05026	0.01188	0.41239	0.01729	-0.62314	0.00615	-0.00859	0.01137	-0.00922	0.00321	0.00526	0.00592	-0.01445	-1.71882	0.00128	-0.00622	0.00081	0.00539	-0.00851	-0.00061	0.0157	0.00105	-0.95313	0.01141	0.0062
360	0.00432	0.03347	-0.21184	-0.01365	-0.37294	-0.01542	0.00981	0.00844	0.0021	0.37149	0.01478	-0.04988	0.002	-0.00346	0.0093	-0.00504	0.00647	-0.00161	0.00472	-0.01246	-1.54215	-0.00643	-0.00262	0.00825	0.00522	-0.01179	0.00139	0.01399	0.00556	-0.64522	0.00624	0.00116
720	0.00347	-0.00583	-0.25534	-0.01359	-0.36247	-0.01752	0.01181	0.09304	0.00331	0.41076	0.0148	-0.11276	0.00126	-0.00453	0.00882	-0.00629	0.00745	8e-05	0.00524	-0.01394	-1.60654	-0.00381	-0.00235	0.00957	0.00623	-0.01286	-0.00221	0.01321	0.00566	-0.6844	0.00635	0.00276
1440	0.00139	-0.02781	0.01378	-0.01757	-0.38467	-0.02164	0.01818	0.05435	0.01107	0.46036	0.0176	-0.45608	0.00336	-0.00819	0.01034	-0.00958	0.00574	0.00382	0.00698	-0.01641	-1.68119	0.00166	-0.00469	0.00265	0.00803	-0.01039	-0.00144	0.01521	0.00256	-0.87013	0.01047	0.00414
