timepoint	z0	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11	z12	z13	z14	z15	z16	z17	z18	z19	z20	z21	z22	z23	z24	z25	z26	z27	z28	z29	z30	z31
10	0.00067	0.14595	-0.13207	-0.01485	-0.28927	-0.01634	0.01311	0.0768	0.00577	0.3803	0.01433	-0.40873	0.00373	-0.00514	0.00914	-0.00788	0.00359	0.00039	0.00548	-0.01043	-1.40583	-0.00339	-0.00317	0.00375	0.00217	-0.00493	-0.00166	0.01178	0.00316	-0.6947	0.00731	0.00165
20	0.00336	0.06473	-0.18932	-0.01305	-0.22512	-0.01689	0.00839	0.00376	0.00478	0.41257	0.01376	-0.13995	0.00296	-0.00502	0.00954	-0.00642	0.00565	-0.00227	0.00525	-0.01201	-1.46614	-0.00431	-0.00085	0.00646	0.00412	-0.00859	-0.0	0.013	0.0045	-0.69757	0.00544	-0.00034
45	-0.00047	0.10243	0.01897	-0.01535	-0.43863	-0.01917	0.01804	0.08626	0.01111	0.50428	0.01568	-0.60564	0.00475	-0.00788	0.01172	-0.00945	0.00305	0.00401	0.00636	-0.01287	-1.44545	0.00083	-0.00377	0.00069	0.00118	-0.004	-0.0002	0.0136	0.00098	-0.89539	0.00847	0.00533
90	0.00191	0.00866	-0.10123	-0.012	-0.31322	-0.01706	0.01095	-0.01099	0.00581	0.37937	0.01321	-0.20902	0.00253	-0.005	0.00998	-0.00594	0.00286	-0.00091	0.00474	-0.0112	-1.43106	-0.00343	-0.00187	0.00411	0.00416	-0.00707	0.00281	0.01373	0.00266	-0.73723	0.00553	0.00073
180	0.00453	0.08969	-0.24191	-0.01011	-0.23893	-0.01408	0.00541	-0.02164	0.00264	0.26854	0.01301	0.01015	0.00014	-0.00228	0.00677	-0.00519	0.0047	-0.00231	0.00431	-0.00993	-1.50637	-0.00645	-0.00254	0.00701	0.00611	-0.00922	0.00264	0.01343	0.00614	-0.58129	0.00501	-0.00316
360	0.0015	0.19122	-0.29011	-0.01699	-0.25148	-0.0187	0.01594	0.06851	0.00914	0.40659	0.01434	-0.47227	0.00623	-0.00559	0.00786	-0.01006	0.0053	0.00237	0.00437	-0.01077	-1.69076	-0.0024	-0.0046	0.00521	0.00408	-0.00938	-0.00594	0.01407	0.00412	-0.65146	0.00944	0.00197
720	0.00264	0.14927	-0.29385	-0.01533	-0.22685	-0.01829	0.01283	0.0881	0.00697	0.42921	0.01443	-0.3064	0.00382	-0.00532	0.00794	-0.00912	0.00682	0.00087	0.00536	-0.01262	-1.62364	-0.00232	-0.00267	0.00702	0.00525	-0.01018	-0.00536	0.01295	0.00518	-0.6614	0.00774	0.00123
1440	0.00336	0.38706	-0.31938	-0.01779	-0.12037	-0.01673	0.01272	0.03381	0.00867	0.45367	0.01457	-0.4105	0.0059	-0.00484	0.00733	-0.01172	0.00625	0.00117	0.00528	-0.0111	-1.63125	-0.003	-0.00371	0.00389	0.00456	-0.00749	-0.00585	0.01376	0.0059	-0.54664	0.00961	-0.0019
