gene_set	cluster	organ	mean_scaled_expression	z	p_empirical	n_genes_tested
sog1_independent	rosette_21d_10	rosette_21d	0.0398	0.176	0.36464	28
sog1_independent	rosette_21d_11	rosette_21d	0.0956	2.321	0.02797	28
sog1_independent	rosette_21d_12	rosette_21d	0.0692	3.374	0.00899	28
sog1_independent	rosette_21d_13	rosette_21d	0.049	1.392	0.1009	28
sog1_independent	rosette_21d_14	rosette_21d	0.0432	0.767	0.2028	28
sog1_independent	rosette_21d_15	rosette_21d	0.0279	0.461	0.22877	28
sog1_independent	rosette_21d_16	rosette_21d	0.0308	0.884	0.16084	28
sog1_independent	rosette_21d_17	rosette_21d	0.026	0.171	0.33766	28
sog1_independent	rosette_21d_2	rosette_21d	0.0717	4.454	0.004	28
sog1_independent	rosette_21d_3	rosette_21d	0.0282	0.596	0.24775	28
sog1_independent	rosette_21d_4	rosette_21d	0.0445	0.658	0.23976	28
sog1_independent	rosette_21d_5	rosette_21d	0.0269	0.161	0.29071	28
sog1_independent	rosette_21d_6	rosette_21d	0.0764	2.366	0.03397	28
sog1_independent	rosette_21d_7	rosette_21d	0.0701	0.582	0.25874	28
sog1_independent	rosette_21d_8	rosette_21d	0.0286	0.263	0.2997	28
sog1_independent	rosette_21d_9	rosette_21d	0.0379	1.458	0.0959	28
sog1_independent	rosette_30d_0	rosette_30d	0.0241	1.949	0.05694	28
sog1_independent	rosette_30d_1	rosette_30d	0.0724	5.573	0.003	28
sog1_independent	rosette_30d_10	rosette_30d	0.0409	2.592	0.03097	28
sog1_independent	rosette_30d_11	rosette_30d	0.0384	0.634	0.2018	28
sog1_independent	rosette_30d_12	rosette_30d	0.0394	1.751	0.07692	28
sog1_independent	rosette_30d_13	rosette_30d	0.0328	1.2	0.11289	28
sog1_independent	rosette_30d_14	rosette_30d	0.0218	0.778	0.17283	28
sog1_independent	rosette_30d_15	rosette_30d	0.0314	0.813	0.16284	28
sog1_independent	rosette_30d_16	rosette_30d	0.0603	1.407	0.08392	28
sog1_independent	rosette_30d_2	rosette_30d	0.0351	1.171	0.14186	28
sog1_independent	rosette_30d_3	rosette_30d	0.0251	0.749	0.15884	28
sog1_independent	rosette_30d_4	rosette_30d	0.0471	2.702	0.02298	28
sog1_independent	rosette_30d_5	rosette_30d	0.0338	1.696	0.07992	28
sog1_independent	rosette_30d_6	rosette_30d	0.0496	4.031	0.002	28
sog1_independent	rosette_30d_7	rosette_30d	0.032	0.645	0.22178	28
sog1_independent	rosette_30d_8	rosette_30d	0.0327	1.642	0.08791	28
sog1_independent	rosette_30d_9	rosette_30d	0.0705	1.64	0.08492	28
sog1_independent	seed_3d_0	seed_3d	0.0468	1.643	0.07393	28
sog1_independent	seed_3d_1	seed_3d	0.0586	2.111	0.04895	28
sog1_independent	seed_3d_10	seed_3d	0.0409	0.599	0.23876	28
sog1_independent	seed_3d_11	seed_3d	0.1168	1.64	0.06793	28
sog1_independent	seed_3d_12	seed_3d	0.0628	2.832	0.00899	28
sog1_independent	seed_3d_13	seed_3d	0.1585	2.259	0.02498	28
sog1_independent	seed_3d_14	seed_3d	0.0416	1.269	0.1009	28
sog1_independent	seed_3d_15	seed_3d	0.0483	1.273	0.11089	28
sog1_independent	seed_3d_16	seed_3d	0.0413	0.543	0.24675	28
sog1_independent	seed_3d_17	seed_3d	0.1188	3.323	0.00899	28
sog1_independent	seed_3d_2	seed_3d	0.0342	2.544	0.02198	28
sog1_independent	seed_3d_3	seed_3d	0.0605	2.968	0.01199	28
sog1_independent	seed_3d_4	seed_3d	0.0913	2.01	0.04296	28
sog1_independent	seed_3d_5	seed_3d	0.1401	2.153	0.03397	28
sog1_independent	seed_3d_6	seed_3d	0.0562	1.111	0.13586	28
sog1_independent	seed_3d_7	seed_3d	0.0514	1.862	0.05495	28
sog1_independent	seed_3d_8	seed_3d	0.0768	0.677	0.23277	28
sog1_independent	seed_3d_9	seed_3d	0.0504	0.647	0.21678	28
sog1_independent	seed_425d_0	seed_425d	0.0179	-0.86	0.79121	28
sog1_independent	seed_425d_1	seed_425d	0.0318	-0.695	0.74625	28
sog1_independent	seed_425d_10	seed_425d	0.0418	-0.821	0.79121	28
sog1_independent	seed_425d_11	seed_425d	0.0598	-0.77	0.74426	28
sog1_independent	seed_425d_12	seed_425d	0.0287	-0.517	0.65934	28
sog1_independent	seed_425d_13	seed_425d	0.0377	-0.401	0.61439	28
sog1_independent	seed_425d_14	seed_425d	0.0532	-0.519	0.65235	28
sog1_independent	seed_425d_15	seed_425d	0.0253	-1.094	0.86713	28
sog1_independent	seed_425d_16	seed_425d	0.0236	-0.954	0.82717	28
sog1_independent	seed_425d_2	seed_425d	0.0351	-0.844	0.78222	28
sog1_independent	seed_425d_3	seed_425d	0.0289	-0.789	0.76823	28
sog1_independent	seed_425d_4	seed_425d	0.0541	1.124	0.13287	28
sog1_independent	seed_425d_5	seed_425d	0.0683	-0.317	0.5984	28
sog1_independent	seed_425d_6	seed_425d	0.0276	-0.874	0.8022	28
sog1_independent	seed_425d_7	seed_425d	0.0664	1.199	0.12987	28
sog1_independent	seed_425d_8	seed_425d	0.03	-0.673	0.73227	28
sog1_independent	seed_425d_9	seed_425d	0.0151	-0.887	0.80719	28
sog1_independent	seedling_15d_0	seedling_15d	0.0245	2.289	0.03397	28
sog1_independent	seedling_15d_1	seedling_15d	0.0284	2.592	0.02298	28
sog1_independent	seedling_15d_10	seedling_15d	0.0343	0.781	0.16583	28
sog1_independent	seedling_15d_11	seedling_15d	0.0221	1.743	0.05694	28
sog1_independent	seedling_15d_12	seedling_15d	0.0406	1.762	0.08192	28
sog1_independent	seedling_15d_13	seedling_15d	0.0397	0.395	0.29071	28
sog1_independent	seedling_15d_14	seedling_15d	0.2097	3.978	0.001	28
sog1_independent	seedling_15d_15	seedling_15d	0.1843	0.868	0.19481	28
sog1_independent	seedling_15d_16	seedling_15d	0.1192	3.216	0.01199	28
sog1_independent	seedling_15d_17	seedling_15d	0.1012	1.652	0.06893	28
sog1_independent	seedling_15d_18	seedling_15d	0.2209	3.188	0.004	28
sog1_independent	seedling_15d_2	seedling_15d	0.0212	2.361	0.03297	28
sog1_independent	seedling_15d_3	seedling_15d	0.1129	0.397	0.31868	28
sog1_independent	seedling_15d_4	seedling_15d	0.058	3.803	0.00899	28
sog1_independent	seedling_15d_5	seedling_15d	0.0268	1.215	0.10889	28
sog1_independent	seedling_15d_6	seedling_15d	0.0344	1.029	0.14585	28
sog1_independent	seedling_15d_7	seedling_15d	0.0305	2.156	0.03696	28
sog1_independent	seedling_15d_8	seedling_15d	0.0287	1.554	0.07592	28
sog1_independent	seedling_15d_9	seedling_15d	0.025	1.119	0.13387	28
sog1_independent	seedling_6d_0	seedling_6d	0.0264	1.546	0.07592	28
sog1_independent	seedling_6d_1	seedling_6d	0.0259	1.038	0.13387	28
sog1_independent	seedling_6d_10	seedling_6d	0.0349	2.103	0.04296	28
sog1_independent	seedling_6d_11	seedling_6d	0.0249	0.305	0.30669	28
sog1_independent	seedling_6d_12	seedling_6d	0.0417	1.889	0.05994	28
sog1_independent	seedling_6d_13	seedling_6d	0.0261	1.091	0.10789	28
sog1_independent	seedling_6d_14	seedling_6d	0.0305	0.986	0.14486	28
sog1_independent	seedling_6d_15	seedling_6d	0.1122	5.407	0.002	28
sog1_independent	seedling_6d_16	seedling_6d	0.0377	-0.01	0.45754	28
sog1_independent	seedling_6d_17	seedling_6d	0.0967	3.51	0.005	28
sog1_independent	seedling_6d_2	seedling_6d	0.0237	3.122	0.01099	28
sog1_independent	seedling_6d_3	seedling_6d	0.0533	0.969	0.16284	28
sog1_independent	seedling_6d_4	seedling_6d	0.0255	3.073	0.01798	28
sog1_independent	seedling_6d_5	seedling_6d	0.0415	0.114	0.38561	28
sog1_independent	seedling_6d_6	seedling_6d	0.0211	0.83	0.17283	28
sog1_independent	seedling_6d_7	seedling_6d	0.0261	1.521	0.06294	28
sog1_independent	seedling_6d_8	seedling_6d	0.0619	3.628	0.01099	28
sog1_independent	seedling_6d_9	seedling_6d	0.0224	1.089	0.10889	28
sog1_independent	seedling_9d_0	seedling_9d	0.0809	5.894	0.002	28
sog1_independent	seedling_9d_1	seedling_9d	0.0199	1.391	0.08591	28
sog1_independent	seedling_9d_10	seedling_9d	0.0542	0.82	0.1978	28
sog1_independent	seedling_9d_11	seedling_9d	0.0466	2.274	0.03497	28
sog1_independent	seedling_9d_12	seedling_9d	0.0309	2.184	0.03596	28
sog1_independent	seedling_9d_13	seedling_9d	0.0393	1.246	0.12288	28
sog1_independent	seedling_9d_14	seedling_9d	0.0346	1.025	0.13287	28
sog1_independent	seedling_9d_15	seedling_9d	0.1018	1.636	0.07293	28
sog1_independent	seedling_9d_16	seedling_9d	0.0564	1.818	0.06494	28
sog1_independent	seedling_9d_17	seedling_9d	0.052	1.997	0.05395	28
sog1_independent	seedling_9d_18	seedling_9d	0.2207	4.801	0.001	28
sog1_independent	seedling_9d_19	seedling_9d	0.0498	3.129	0.01199	28
sog1_independent	seedling_9d_2	seedling_9d	0.0307	0.958	0.13387	28
sog1_independent	seedling_9d_3	seedling_9d	0.0562	2.425	0.02198	28
sog1_independent	seedling_9d_4	seedling_9d	0.0465	2.747	0.01299	28
sog1_independent	seedling_9d_5	seedling_9d	0.0546	2.859	0.02198	28
sog1_independent	seedling_9d_6	seedling_9d	0.0383	2.13	0.03796	28
sog1_independent	seedling_9d_7	seedling_9d	0.0282	1.009	0.11588	28
sog1_independent	seedling_9d_8	seedling_9d	0.027	0.863	0.15784	28
sog1_independent	seedling_9d_9	seedling_9d	0.0408	1.515	0.08392	28
sog1_independent	silique_0	silique	0.0431	0.309	0.3027	28
sog1_independent	silique_1	silique	0.0296	-0.254	0.49451	28
sog1_independent	silique_10	silique	0.0392	-0.55	0.64835	28
sog1_independent	silique_11	silique	0.0649	0.338	0.32767	28
sog1_independent	silique_12	silique	0.0503	0.525	0.26573	28
sog1_independent	silique_13	silique	0.0456	-0.401	0.59341	28
sog1_independent	silique_14	silique	0.068	-0.647	0.6973	28
sog1_independent	silique_15	silique	0.0612	-0.152	0.4975	28
sog1_independent	silique_16	silique	0.0173	-0.82	0.81718	28
sog1_independent	silique_17	silique	0.0573	0.32	0.33267	28
sog1_independent	silique_18	silique	0.1017	1.738	0.05894	28
sog1_independent	silique_19	silique	0.0244	-2.126	0.996	28
sog1_independent	silique_2	silique	0.0468	-0.627	0.6983	28
sog1_independent	silique_20	silique	0.0404	0.037	0.39361	28
sog1_independent	silique_21	silique	0.0227	-1.109	0.9031	28
sog1_independent	silique_22	silique	0.0353	-0.434	0.57942	28
sog1_independent	silique_23	silique	0.0339	-0.868	0.76723	28
sog1_independent	silique_24	silique	0.0379	-1.155	0.89311	28
sog1_independent	silique_25	silique	0.1066	2.157	0.03696	28
sog1_independent	silique_26	silique	0.083	1.345	0.10689	28
sog1_independent	silique_3	silique	0.0351	0.037	0.4006	28
sog1_independent	silique_4	silique	0.0511	-0.019	0.45854	28
sog1_independent	silique_5	silique	0.0331	-0.827	0.77023	28
sog1_independent	silique_6	silique	0.0654	0.268	0.33666	28
sog1_independent	silique_7	silique	0.0579	0.381	0.30869	28
sog1_independent	silique_8	silique	0.0436	-0.034	0.44056	28
sog1_independent	silique_9	silique	0.0711	1.62	0.08691	28
sog1_independent	stem_0	stem	0.0551	0.637	0.24575	28
sog1_independent	stem_1	stem	0.0263	0.072	0.41558	28
sog1_independent	stem_10	stem	0.0468	1.328	0.1029	28
sog1_independent	stem_11	stem	0.0614	1.353	0.10589	28
sog1_independent	stem_12	stem	0.0501	1.146	0.13586	28
sog1_independent	stem_13	stem	0.0457	0.998	0.14486	28
sog1_independent	stem_14	stem	0.0377	-0.058	0.41359	28
sog1_independent	stem_15	stem	0.0213	-1.489	0.95305	28
sog1_independent	stem_2	stem	0.0405	0.662	0.23576	28
sog1_independent	stem_3	stem	0.0317	1.172	0.12787	28
sog1_independent	stem_4	stem	0.0744	1.458	0.0999	28
sog1_independent	stem_5	stem	0.0255	0.24	0.33766	28
sog1_independent	stem_6	stem	0.0484	-0.261	0.53946	28
sog1_independent	stem_7	stem	0.0627	0.849	0.2038	28
sog1_independent	stem_8	stem	0.0543	0.894	0.17782	28
sog1_independent	stem_9	stem	0.041	-0.045	0.44056	28
