kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	2	-0.388	0.398			AT4G32730	-3.627	0.13	0.82	0.69	1.01e-34
2way	2	-0.388	0.398			AT3G20770	-0.567	0.051	0.426	0.375	1.48e-15
2way	2	1.184	0.873			AT5G16820	1.377	0.237	0.071	-0.166	1.28e-13
2way	2	-0.388	0.398			AT3G27785	-1.559	0.04	0.344	0.305	1.96e-12
2way	2	1.184	0.873			AT4G11660	1.761	0.181	0.047	-0.135	6.38e-12
2way	2	-0.388	0.398			AT5G58850	-0.0	0.113	0.451	0.338	4.28e-11
2way	2	1.184	0.873			AT3G22830	-0.0	0.205	0.067	-0.138	1.06e-10
2way	2	1.184	0.873			AT3G09735	-0.0	0.205	0.074	-0.131	1.43e-09
2way	2	-0.388	0.398			AT4G18770	-0.0	0.051	0.287	0.236	1.73e-08
2way	2	1.184	0.873			AT5G09410	1.519	0.203	0.092	-0.111	6.51e-07
2way	2	1.184	0.873			AT5G52830	0.729	0.208	0.102	-0.106	3.48e-06
2way	2	1.184	0.873			AT1G49010	0.939	0.2	0.097	-0.104	3.66e-06
2way	2	1.184	0.873			AT4G23550	0.963	0.217	0.111	-0.107	5.38e-06
2way	2	1.184	0.873			AT2G01818	-0.0	0.092	0.026	-0.066	6.32e-06
2way	2	1.184	0.873			AT4G01250	0.675	0.181	0.085	-0.097	6.85e-06
2way	2	-0.388	0.398			AT1G69490	1.39	0.192	0.025	-0.168	8.39e-06
2way	2	1.184	0.873			AT5G08520	-0.0	0.208	0.105	-0.102	8.62e-06
2way	2	-0.388	0.398			AT1G08010	-1.064	0.051	0.221	0.17	1.08e-05
2way	2	1.184	0.873			AT5G47390	0.477	0.196	0.098	-0.097	1.66e-05
2way	2	-0.388	0.398			AT2G04038	0.659	0.299	0.098	-0.201	2.78e-05
2way	2	-0.388	0.398			AT2G18160	-0.0	0.305	0.098	-0.207	3.08e-05
2way	2	1.184	0.873			AT5G61620	-0.0	0.21	0.114	-0.096	4e-05
2way	2	1.184	0.873			AT1G74840	-0.0	0.176	0.088	-0.088	4.04e-05
2way	2	-0.388	0.398			AT1G52880	-0.0	0.203	0.041	-0.162	5.37e-05
2way	2	1.184	0.873			AT2G30250	0.608	0.251	0.149	-0.103	5.89e-05
2way	2	-0.388	0.398			AT3G62420	-0.0	0.305	0.107	-0.199	6.3e-05
2way	2	1.184	0.873			AT3G02990	0.117	0.048	0.009	-0.04	9.05e-05
2way	2	1.184	0.873			AT1G19000	-0.0	0.193	0.105	-0.088	0.000105
2way	2	1.184	0.873			AT3G01970	0.196	0.213	0.121	-0.092	0.000108
2way	2	1.184	0.873			AT4G00250	0.455	0.145	0.069	-0.076	0.000109
2way	2	1.184	0.873			AT5G43840	-0.0	0.058	0.014	-0.044	0.000115
2way	2	-0.388	0.398			AT5G25830	-0.722	0.062	0.213	0.151	0.000136
2way	2	-0.388	0.398			AT5G15830	-0.0	0.282	0.107	-0.176	0.000266
2way	2	-0.388	0.398			AT1G32150	-0.0	0.288	0.115	-0.173	0.00033
2way	2	-0.388	0.398			AT2G35530	-0.0	0.294	0.115	-0.179	0.000342
2way	2	1.184	0.873			AT5G62320	-0.128	0.058	0.124	0.066	0.00045
2way	2	-0.388	0.398			AT1G71696	-0.0	0.073	0.213	0.14	0.000501
