kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	0.872			AT2G38470	0.55	0.156	0.09	-0.066	0.000859
2way	0	0.0	0.872			AT5G64060	-0.403	0.095	0.156	0.061	0.000863
2way	0	0.0	0.872			AT4G11660	0.373	0.107	0.052	-0.055	0.00102
2way	0	0.0	0.872			AT4G32730	1.319	0.147	0.071	-0.076	0.00108
2way	0	0.0	0.872			AT3G22830	0.0	0.129	0.075	-0.054	0.004
2way	0	0.0	0.872			AT1G25580	-0.97	0.023	0.059	0.036	0.00498
2way	0	0.0	0.872			AT4G14410	-0.628	0.0	0.008	0.008	0.00584
2way	0	0.0	0.872			AT5G09410	1.818	0.074	0.025	-0.049	0.00947
2way	0	0.0	0.872			AT3G09735	0.221	0.078	0.037	-0.041	0.027
2way	0	0.0	0.872			AT2G43000	0.674	0.089	0.046	-0.043	0.029
2way	0	0.0	0.872			AT4G01250	0.004	0.122	0.083	-0.04	0.029
2way	0	0.0	0.872			AT3G20770	0.066	0.061	0.028	-0.034	0.03
2way	0	0.0	0.872			AT5G16820	0.439	0.084	0.043	-0.041	0.034
2way	0	0.0	0.872			AT5G13080	0.0	0.175	0.13	-0.045	0.036
2way	0	0.0	0.872			AT5G56840	0.235	0.097	0.054	-0.043	0.042
2way	0	0.0	0.872			AT4G23550	0.443	0.088	0.048	-0.04	0.045
2way	0	0.0	0.872			AT5G60850	-0.946	0.063	0.102	0.039	0.047
2way	0	0.0	0.872			AT3G24520	0.194	0.09	0.051	-0.039	0.05
2way	0	0.0	0.872			AT2G18380	1.256	0.057	0.025	-0.032	0.052
2way	0	0.0	0.872			AT5G47390	0.705	0.077	0.039	-0.039	0.052
2way	0	0.0	0.872			AT1G06850	1.131	0.059	0.027	-0.033	0.054
2way	0	0.0	0.872			AT5G56110	1.156	0.092	0.053	-0.039	0.054
2way	0	0.0	0.872			AT3G50060	0.261	0.133	0.097	-0.036	0.056
2way	0	0.0	0.872			AT5G25475	-1.352	0.002	0.011	0.009	0.056
2way	0	0.0	0.872			AT1G29860	0.0	0.083	0.048	-0.036	0.065
2way	0	0.0	0.872			AT3G01970	0.269	0.083	0.046	-0.036	0.065
2way	0	0.0	0.872			AT1G34370	-0.802	0.011	0.029	0.018	0.067
2way	0	0.0	0.872			AT2G30250	0.0	0.097	0.06	-0.036	0.072
2way	0	0.0	0.872			AT2G23320	0.235	0.101	0.062	-0.039	0.074
2way	0	0.0	0.872			AT5G38800	0.0	0.0	0.003	0.003	0.077
2way	0	0.0	0.872			AT2G01818	0.0	0.031	0.011	-0.021	0.078
2way	0	0.0	0.872			AT5G10510	-1.057	0.002	0.008	0.007	0.082
2way	0	0.0	0.872			AT5G26170	0.129	0.165	0.127	-0.037	0.082
2way	0	0.0	0.872			AT4G37260	0.258	0.135	0.101	-0.033	0.085
2way	0	0.0	0.872			AT1G69490	0.608	0.068	0.037	-0.031	0.086
2way	0	0.0	0.872			AT5G66940	-1.386	0.054	0.086	0.032	0.088
2way	0	0.0	0.872			AT1G74840	0.0	0.068	0.036	-0.032	0.089
2way	0	0.0	0.872			AT5G63260	-0.401	0.059	0.092	0.033	0.09
2way	0	0.0	0.872			AT1G19000	0.0	0.078	0.046	-0.032	0.097
2way	0	0.0	0.872			AT3G04070	0.26	0.019	0.005	-0.014	0.102
2way	0	0.0	0.872			AT3G52440	0.0	0.068	0.101	0.033	0.102
2way	0	0.0	0.872			AT5G52830	0.0	0.08	0.049	-0.031	0.106
2way	0	0.0	0.872			AT5G25830	0.0	0.037	0.016	-0.021	0.114
2way	0	0.0	0.872			AT4G00250	0.023	0.055	0.029	-0.027	0.121
2way	0	0.0	0.872			AT5G25390	0.0	0.004	0.013	0.009	0.121
2way	0	0.0	0.872			AT5G07680	0.427	0.016	0.004	-0.012	0.125
2way	0	0.0	0.872			AT5G58850	0.0	0.106	0.074	-0.032	0.127
2way	0	0.0	0.872			AT4G18170	0.0	0.085	0.054	-0.031	0.136
2way	0	0.0	0.872			AT1G51700	0.0	0.088	0.113	0.026	0.143
2way	0	0.0	0.872			AT2G44840	-0.448	0.12	0.149	0.028	0.146
2way	0	0.0	0.872			AT2G03340	0.311	0.034	0.017	-0.017	0.147
2way	0	0.0	0.872			AT5G61620	0.0	0.088	0.058	-0.03	0.149
2way	0	0.0	0.872			AT4G25490	0.0	0.087	0.058	-0.029	0.152
2way	0	0.0	0.872			AT5G51990	0.62	0.092	0.062	-0.03	0.155
2way	0	0.0	0.872			AT1G34670	0.418	0.074	0.048	-0.026	0.156
2way	0	0.0	0.872			AT2G02080	0.659	0.057	0.032	-0.024	0.159
2way	0	0.0	0.872			AT5G43840	0.0	0.019	0.005	-0.013	0.16
2way	0	0.0	0.872			AT4G25480	0.0	0.09	0.06	-0.03	0.167
2way	0	0.0	0.872			AT5G54230	0.0	0.079	0.053	-0.026	0.175
2way	0	0.0	0.872			AT4G32800	1.044	0.028	0.011	-0.016	0.179
2way	0	0.0	0.872			AT1G73730	0.0	0.011	0.003	-0.008	0.182
2way	0	0.0	0.872			AT3G02940	0.554	0.084	0.057	-0.027	0.188
2way	0	0.0	0.872			AT5G41570	0.0	0.087	0.061	-0.026	0.194
2way	0	0.0	0.872			AT5G18090	-0.54	0.001	0.006	0.005	0.196
