kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	5	0.153	0.809			AT3G24050	-0.0	0.037	0.043	0.006	1.0
2way	5	0.153	0.809			AT3G26790	-0.0	0.052	0.05	-0.002	1.0
2way	5	0.153	0.809			AT3G42860	-0.0	0.052	0.056	0.004	1.0
2way	5	0.153	0.809			AT3G45170	-0.0	0.0	0.006	0.006	1.0
2way	5	0.153	0.809			AT3G46070	-0.0	0.0	0.006	0.006	1.0
2way	5	0.153	0.809			AT3G46590	-0.0	0.015	0.019	0.004	1.0
2way	5	0.153	0.809			AT3G47620	-0.0	0.0	0.006	0.006	1.0
2way	5	0.153	0.809			AT3G48160	-0.0	0.007	0.012	0.005	1.0
2way	5	0.153	0.809			AT3G49930	-0.0	0.0	0.0	0.0	1.0
2way	5	0.153	0.809			AT3G50060	-0.0	0.111	0.106	-0.006	1.0
2way	5	0.153	0.809			AT3G51080	-0.0	0.007	0.006	-0.001	1.0
2way	5	0.153	0.809			AT3G51470	-0.0	0.007	0.012	0.005	1.0
2way	5	0.153	0.809			AT3G57230	-0.0	0.015	0.012	-0.002	1.0
