gene	node	trajectory
AT1G01180	9	0,-0.0606285,-1.2538,0.00382774
AT1G01580	57	0,0.163101,0.0417034,-1.07882
AT1G02060	9	0,-0.0606285,-1.2538,0.00382774
AT1G02730	9	0,-0.0606285,-1.2538,0.00382774
AT1G03090	9	0,-0.0606285,-1.2538,0.00382774
AT1G03410	57	0,0.163101,0.0417034,-1.07882
AT1G03620	27	0,-1.2747,0.0662563,-0.120547
AT1G03630	27	0,-1.2747,0.0662563,-0.120547
AT1G03820	27	0,-1.2747,0.0662563,-0.120547
AT1G03850	54	0,0.163101,0.0417034,0.766731
AT1G03870	0	0,-0.0606285,1.14487,0.0313974
AT1G04220	27	0,-1.2747,0.0662563,-0.120547
AT1G04240	0	0,-0.0606285,1.14487,0.0313974
AT1G04503	54	0,0.163101,0.0417034,0.766731
AT1G04770	57	0,0.163101,0.0417034,-1.07882
AT1G05010	18	0,-0.0606285,1.63183,0.0357698
AT1G05370	27	0,-1.2747,0.0662563,-0.120547
AT1G05575	54	0,0.163101,0.0417034,0.766731
AT1G06000	27	0,-1.2747,0.0662563,-0.120547
AT1G06040	27	0,-1.2747,0.0662563,-0.120547
AT1G06080	57	0,0.163101,0.0417034,-1.07882
AT1G06160	54	0,0.163101,0.0417034,0.766731
AT1G06350	0	0,-0.0606285,1.14487,0.0313974
AT1G06475	18	0,-0.0606285,1.63183,0.0357698
AT1G06570	9	0,-0.0606285,-1.2538,0.00382774
AT1G06830	18	0,-0.0606285,1.63183,0.0357698
AT1G07150	18	0,-0.0606285,1.63183,0.0357698
AT1G07367	0	0,-0.0606285,1.14487,0.0313974
AT1G07373	54	0,0.163101,0.0417034,0.766731
AT1G07730	27	0,-1.2747,0.0662563,-0.120547
AT1G07737	9	0,-0.0606285,-1.2538,0.00382774
AT1G07750	0	0,-0.0606285,1.14487,0.0313974
AT1G07880	27	0,-1.2747,0.0662563,-0.120547
AT1G08430	27	0,-1.2747,0.0662563,-0.120547
AT1G08477	57	0,0.163101,0.0417034,-1.07882
AT1G08550	9	0,-0.0606285,-1.2538,0.00382774
AT1G08560	9	0,-0.0606285,-1.2538,0.00382774
AT1G08570	9	0,-0.0606285,-1.2538,0.00382774
AT1G08930	18	0,-0.0606285,1.63183,0.0357698
AT1G09310	57	0,0.163101,0.0417034,-1.07882
AT1G09390	0	0,-0.0606285,1.14487,0.0313974
AT1G09530	18	0,-0.0606285,1.63183,0.0357698
AT1G09750	9	0,-0.0606285,-1.2538,0.00382774
AT1G09780	0	0,-0.0606285,1.14487,0.0313974
AT1G10370	27	0,-1.2747,0.0662563,-0.120547
AT1G10550	54	0,0.163101,0.0417034,0.766731
AT1G10640	27	0,-1.2747,0.0662563,-0.120547
AT1G10660	9	0,-0.0606285,-1.2538,0.00382774
AT1G11175	54	0,0.163101,0.0417034,0.766731
AT1G11185	54	0,0.163101,0.0417034,0.766731
