kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
path	8	0.465	0.342	1.81	0.981	AT4G18770	18.2	20.0	1.8	-2.2	0.833
path	8	0.465	0.342	1.81	0.981	AT4G37260	18.2	20.0	1.8	-2.2	0.833
path	8	0.465	0.342	1.81	0.981	AT5G39610	18.41	20.0	1.59	-2.2	0.833
path	8	0.465	0.342	1.81	0.981	AT1G08010	10.06	11.0	0.94	-1.6	0.834
path	8	0.465	0.342	1.81	0.981	AT1G55110	9.69	11.0	1.31	-1.6	0.834
path	8	0.465	0.342	1.81	0.981	AT1G79180	10.06	11.0	0.94	-1.6	0.834
path	8	0.465	0.342	0.497	0.28	AT2G17950	2.76	3.0	0.24	-1.0	0.837
path	8	0.465	0.342	1.81	0.981	AT5G60130	14.67	16.0	1.33	-2.0	0.837
path	8	0.465	0.342	1.81	0.981	AT1G25550	4.05	5.0	0.95	-1.0	0.838
path	8	0.465	0.342	1.81	0.981	AT1G66370	4.65	5.0	0.35	-1.0	0.838
path	8	0.465	0.342	0.497	0.28	AT1G79580	12.79	14.0	1.21	-2.4	0.84
path	8	0.465	0.342	0.497	0.28	AT3G53200	12.92	14.0	1.08	-2.4	0.84
path	8	0.465	0.342	0.497	0.28	AT5G62940	13.0	14.0	1.0	-2.4	0.84
path	8	0.465	0.342	0.497	0.28	AT5G65310	12.54	14.0	1.46	-2.4	0.84
path	8	0.465	0.342	1.81	0.981	AT1G32510	0.94	1.0	0.06	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT1G65620	0.77	1.0	0.23	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT2G17410	0.88	1.0	0.12	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT2G21900	0.89	1.0	0.11	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT2G39900	0.95	1.0	0.05	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT3G48160	0.92	1.0	0.08	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT3G57230	0.78	1.0	0.22	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT5G10140	0.85	1.0	0.15	-0.2	0.841
path	8	0.465	0.342	1.81	0.981	AT5G16600	0.93	1.0	0.07	-0.2	0.841
path	8	0.465	0.342	0.497	0.28	AT5G47220	1.43	2.0	0.57	-0.8	0.844
path	8	0.465	0.342	1.81	0.981	AT1G76890	23.24	25.0	1.76	-2.6	0.844
path	8	0.465	0.342	1.81	0.981	AT2G22540	18.99	21.0	2.01	-2.4	0.845
path	8	0.465	0.342	1.81	0.981	AT5G25190	18.29	21.0	2.71	-2.4	0.845
path	8	0.465	0.342	0.497	0.28	AT3G15270	16.6	18.0	1.4	-2.8	0.848
path	8	0.465	0.342	1.81	0.981	AT3G28920	31.05	33.0	1.95	-3.0	0.848
path	8	0.465	0.342	0.497	0.28	AT5G65210	13.68	15.0	1.32	-2.6	0.849
path	8	0.465	0.342	0.497	0.28	AT1G69490	10.92	12.0	1.08	-2.4	0.854
path	8	0.465	0.342	0.497	0.28	AT3G44480	10.99	12.0	1.01	-2.4	0.854
path	8	0.465	0.342	1.81	0.981	AT3G21890	24.6	26.0	1.4	-2.8	0.855
path	8	0.465	0.342	1.81	0.981	AT5G65130	5.99	7.0	1.01	-1.4	0.855
path	8	0.465	0.342	0.497	0.28	AT2G28810	17.77	19.0	1.23	-3.0	0.857
