kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	3	0.042	1.409			AT5G56840	0.864	0.184	0.067	-0.118	0.031
2way	3	0.042	1.409			AT3G21890	-0.92	0.065	0.15	0.085	0.035
2way	3	0.042	1.409			AT3G30210	-2.017	0.021	0.071	0.049	0.075
2way	3	0.042	1.409			AT1G18330	-0.605	0.119	0.2	0.081	0.09
2way	3	0.042	1.409			AT5G67190	-0.677	0.169	0.263	0.093	0.095
2way	3	0.042	1.409			AT4G31800	0.936	0.149	0.075	-0.074	0.114
2way	3	0.042	1.409			AT5G47390	0.0	0.157	0.069	-0.088	0.116
2way	3	0.042	1.409			AT1G74840	0.259	0.145	0.06	-0.085	0.146
2way	3	0.042	1.409			AT5G43840	0.0	0.023	0.0	-0.023	0.188
2way	3	0.042	1.409			AT3G04030	-0.781	0.074	0.133	0.059	0.194
2way	3	0.042	1.409			AT3G18400	1.169	0.091	0.026	-0.066	0.194
2way	3	0.042	1.409			AT2G15660	0.0	0.023	0.0	-0.023	0.197
2way	3	0.042	1.409			AT5G44160	0.0	0.02	0.0	-0.02	0.197
2way	3	0.042	1.409			AT3G12130	0.071	0.052	0.016	-0.036	0.207
2way	3	0.042	1.409			AT1G43700	0.0	0.004	0.028	0.024	0.23
2way	3	0.042	1.409			AT3G45150	0.0	0.008	0.037	0.029	0.23
2way	3	0.042	1.409			AT2G22540	0.346	0.144	0.087	-0.057	0.238
2way	3	0.042	1.409			AT3G49530	0.434	0.078	0.028	-0.05	0.238
2way	3	0.042	1.409			AT5G16820	-1.152	0.058	0.105	0.047	0.24
2way	3	0.042	1.409			AT5G61620	0.0	0.174	0.107	-0.067	0.242
2way	3	0.042	1.409			AT1G54330	0.0	0.053	0.016	-0.038	0.244
2way	3	0.042	1.409			AT5G08330	0.0	0.041	0.08	0.04	0.244
2way	3	0.042	1.409			AT3G23210	0.0	0.045	0.01	-0.035	0.246
2way	3	0.042	1.409			AT5G65310	0.984	0.087	0.034	-0.053	0.247
2way	3	0.042	1.409			AT3G24050	0.0	0.042	0.01	-0.032	0.251
2way	3	0.042	1.409			AT5G53950	0.0	0.039	0.0	-0.039	0.251
2way	3	0.042	1.409			AT1G01060	-0.547	0.109	0.164	0.055	0.258
2way	3	0.042	1.409			AT3G15170	0.0	0.054	0.011	-0.043	0.269
2way	3	0.042	1.409			AT5G46590	0.0	0.041	0.005	-0.036	0.269
2way	3	0.042	1.409			AT2G24430	0.82	0.092	0.041	-0.051	0.274
2way	3	0.042	1.409			AT2G44940	-0.148	0.144	0.2	0.056	0.28
2way	3	0.042	1.409			AT1G49010	0.0	0.269	0.2	-0.069	0.285
2way	3	0.042	1.409			AT1G51600	0.0	0.0	0.006	0.006	0.285
2way	3	0.042	1.409			AT1G65910	0.745	0.06	0.017	-0.043	0.294
2way	3	0.042	1.409			AT2G01930	-0.428	0.04	0.089	0.048	0.294
2way	3	0.042	1.409			AT5G60130	0.534	0.045	0.009	-0.036	0.295
2way	3	0.042	1.409			AT2G01940	0.723	0.061	0.018	-0.043	0.297
2way	3	0.042	1.409			AT3G10480	0.0	0.068	0.026	-0.041	0.297
2way	3	0.042	1.409			AT1G28370	0.523	0.194	0.138	-0.057	0.303
2way	3	0.042	1.409			AT2G06200	0.0	0.031	0.006	-0.025	0.303
2way	3	0.042	1.409			AT3G02990	0.771	0.032	0.001	-0.032	0.303
2way	3	0.042	1.409			AT4G00250	0.0	0.115	0.064	-0.051	0.303
2way	3	0.042	1.409			AT5G39820	0.0	0.03	0.01	-0.02	0.303
2way	3	0.042	1.409			AT1G76420	0.0	0.065	0.025	-0.04	0.317
2way	3	0.042	1.409			AT3G12730	0.0	0.051	0.099	0.048	0.317
2way	3	0.042	1.409			AT5G63260	0.699	0.068	0.03	-0.037	0.317
2way	3	0.042	1.409			AT1G23810	0.0	0.018	0.0	-0.018	0.326
2way	3	0.042	1.409			AT3G13350	0.0	0.005	0.021	0.016	0.326
2way	3	0.042	1.409			AT1G72010	-1.092	0.036	0.075	0.039	0.331
2way	3	0.042	1.409			AT4G14410	0.0	0.016	0.0	-0.016	0.331
2way	3	0.042	1.409			AT1G31140	0.0	0.074	0.035	-0.039	0.339
2way	3	0.042	1.409			AT2G40260	0.0	0.053	0.099	0.046	0.339
2way	3	0.042	1.409			AT5G04410	0.0	0.074	0.035	-0.04	0.339
2way	3	0.042	1.409			AT3G50260	-0.303	0.101	0.156	0.054	0.35
2way	3	0.042	1.409			AT1G13400	0.0	0.015	0.0	-0.015	0.357
2way	3	0.042	1.409			AT2G45650	0.0	0.014	0.0	-0.014	0.357
2way	3	0.042	1.409			AT3G01470	0.0	0.012	0.0	-0.012	0.357
2way	3	0.042	1.409			AT5G67450	0.0	0.015	0.037	0.023	0.357
2way	3	0.042	1.409			AT4G00730	0.0	0.044	0.075	0.03	0.363
2way	3	0.042	1.409			AT5G03150	0.0	0.031	0.009	-0.022	0.363
2way	3	0.042	1.409			AT5G58850	0.093	0.072	0.034	-0.038	0.363
2way	3	0.042	1.409			AT1G03840	0.0	0.052	0.019	-0.034	0.366
2way	3	0.042	1.409			AT5G08520	0.0	0.177	0.128	-0.049	0.38
2way	3	0.042	1.409			AT5G02840	0.0	0.09	0.125	0.035	0.382
2way	3	0.042	1.409			AT1G53170	1.245	0.113	0.067	-0.045	0.398
2way	3	0.042	1.409			AT4G18770	0.0	0.068	0.031	-0.037	0.4
2way	3	0.042	1.409			AT1G14580	0.0	0.036	0.013	-0.023	0.412
2way	3	0.042	1.409			AT1G24250	0.288	0.04	0.011	-0.028	0.417
2way	3	0.042	1.409			AT1G72740	0.078	0.04	0.012	-0.028	0.417
2way	3	0.042	1.409			AT3G03200	0.039	0.064	0.028	-0.036	0.417
2way	3	0.042	1.409			AT3G04060	0.0	0.068	0.029	-0.039	0.417
2way	3	0.042	1.409			AT3G10500	0.001	0.064	0.024	-0.04	0.417
2way	3	0.042	1.409			AT1G19000	0.0	0.139	0.096	-0.043	0.42
2way	3	0.042	1.409			AT4G25490	0.0	0.105	0.152	0.046	0.42
2way	3	0.042	1.409			AT5G05550	0.374	0.158	0.113	-0.046	0.424
2way	3	0.042	1.409			AT1G69180	0.0	0.09	0.054	-0.035	0.434
2way	3	0.042	1.409			AT5G13180	0.0	0.073	0.042	-0.031	0.434
2way	3	0.042	1.409			AT3G60530	0.0	0.021	0.0	-0.021	0.447
2way	3	0.042	1.409			AT5G22500	0.0	0.009	0.022	0.013	0.447
2way	3	0.042	1.409			AT3G15270	0.0	0.062	0.103	0.041	0.451
2way	3	0.042	1.409			AT1G08010	0.0	0.052	0.023	-0.029	0.452
2way	3	0.042	1.409			AT5G25830	0.0	0.08	0.05	-0.03	0.452
2way	3	0.042	1.409			AT1G13300	0.0	0.022	0.012	-0.01	0.453
2way	3	0.042	1.409			AT2G30590	0.0	0.02	0.01	-0.01	0.453
2way	3	0.042	1.409			AT2G38300	0.0	0.019	0.007	-0.012	0.453
2way	3	0.042	1.409			AT4G24470	0.0	0.023	0.012	-0.011	0.453
2way	3	0.042	1.409			AT5G08130	0.0	0.019	0.0	-0.019	0.453
2way	3	0.042	1.409			AT5G45580	0.0	0.074	0.105	0.031	0.454
2way	3	0.042	1.409			AT1G04880	0.0	0.038	0.01	-0.028	0.461
2way	3	0.042	1.409			AT5G23930	-0.498	0.072	0.106	0.035	0.462
2way	3	0.042	1.409			AT2G02820	0.0	0.066	0.096	0.03	0.467
2way	3	0.042	1.409			AT3G60490	0.0	0.056	0.084	0.028	0.467
2way	3	0.042	1.409			AT4G38170	0.0	0.061	0.096	0.035	0.467
2way	3	0.042	1.409			AT5G29000	-0.127	0.063	0.1	0.037	0.467
2way	3	0.042	1.409			AT3G60580	0.0	0.017	0.034	0.016	0.478
2way	3	0.042	1.409			AT4G24020	0.0	0.023	0.003	-0.02	0.478
2way	3	0.042	1.409			AT1G25580	0.0	0.011	0.028	0.017	0.478
2way	3	0.042	1.409			AT3G01220	0.0	0.047	0.018	-0.029	0.486
2way	3	0.042	1.409			AT4G18170	0.573	0.057	0.025	-0.032	0.486
2way	3	0.042	1.409			AT5G18560	-0.153	0.038	0.064	0.026	0.496
2way	3	0.042	1.409			AT3G10580	0.422	0.123	0.082	-0.041	0.504
2way	3	0.042	1.409			AT5G58900	-0.065	0.204	0.163	-0.041	0.504
2way	3	0.042	1.409			AT4G25470	-0.147	0.105	0.138	0.032	0.505
2way	3	0.042	1.409			AT1G55110	0.0	0.058	0.03	-0.027	0.509
2way	3	0.042	1.409			AT1G69780	0.0	0.049	0.024	-0.025	0.509
2way	3	0.042	1.409			AT2G15740	0.0	0.063	0.04	-0.023	0.509
2way	3	0.042	1.409			AT5G18450	0.782	0.057	0.027	-0.031	0.509
2way	3	0.042	1.409			AT5G62000	0.128	0.062	0.036	-0.026	0.51
2way	3	0.042	1.409			AT1G12610	0.0	0.047	0.072	0.025	0.515
2way	3	0.042	1.409			AT2G02070	0.0	0.057	0.034	-0.023	0.515
2way	3	0.042	1.409			AT5G17800	0.527	0.056	0.03	-0.026	0.515
2way	3	0.042	1.409			AT4G26640	0.0	0.027	0.011	-0.015	0.523
2way	3	0.042	1.409			AT2G45680	0.0	0.04	0.062	0.023	0.529
2way	3	0.042	1.409			AT3G12820	0.0	0.033	0.019	-0.014	0.529
2way	3	0.042	1.409			AT3G50700	0.0	0.026	0.013	-0.013	0.529
2way	3	0.042	1.409			AT5G67580	0.0	0.033	0.015	-0.017	0.529
2way	3	0.042	1.409			AT1G75490	0.299	0.069	0.042	-0.027	0.53
2way	3	0.042	1.409			AT2G30340	-0.503	0.046	0.07	0.024	0.53
2way	3	0.042	1.409			AT1G32870	0.0	0.058	0.028	-0.029	0.532
2way	3	0.042	1.409			AT2G47070	0.0	0.049	0.078	0.029	0.532
2way	3	0.042	1.409			AT4G23550	0.0	0.052	0.073	0.02	0.532
2way	3	0.042	1.409			AT5G66940	0.0	0.043	0.07	0.027	0.532
2way	3	0.042	1.409			AT5G60850	0.234	0.114	0.087	-0.027	0.534
2way	3	0.042	1.409			AT3G22830	0.0	0.055	0.083	0.028	0.54
2way	3	0.042	1.409			AT3G61150	0.0	0.05	0.076	0.026	0.54
2way	3	0.042	1.409			AT2G22430	0.0	0.071	0.046	-0.024	0.55
2way	3	0.042	1.409			AT3G17730	0.0	0.058	0.034	-0.023	0.553
2way	3	0.042	1.409			AT5G64750	-0.711	0.119	0.15	0.031	0.553
2way	3	0.042	1.409			AT1G27360	0.0	0.001	0.012	0.011	0.56
2way	3	0.042	1.409			AT1G72360	0.0	0.015	0.0	-0.015	0.56
2way	3	0.042	1.409			AT1G73730	0.0	0.003	0.012	0.009	0.56
2way	3	0.042	1.409			AT2G31460	0.0	0.005	0.001	-0.003	0.56
2way	3	0.042	1.409			AT2G38090	0.0	0.007	0.0	-0.007	0.56
2way	3	0.042	1.409			AT3G23250	0.0	0.011	0.0	-0.011	0.56
2way	3	0.042	1.409			AT3G45170	0.0	0.008	0.0	-0.008	0.56
2way	3	0.042	1.409			AT4G24240	0.0	0.008	0.003	-0.005	0.56
2way	3	0.042	1.409			AT4G28110	0.0	0.003	0.017	0.013	0.56
2way	3	0.042	1.409			AT4G30080	0.0	0.007	0.001	-0.006	0.56
2way	3	0.042	1.409			AT5G14340	0.0	0.005	0.012	0.007	0.56
2way	3	0.042	1.409			AT5G16600	0.0	0.004	0.019	0.014	0.56
2way	3	0.042	1.409			AT2G02540	0.0	0.063	0.036	-0.028	0.565
2way	3	0.042	1.409			AT3G11280	0.0	0.144	0.113	-0.032	0.565
2way	3	0.042	1.409			AT1G69570	0.0	0.065	0.086	0.021	0.566
2way	3	0.042	1.409			AT1G69690	0.0	0.024	0.046	0.022	0.567
2way	3	0.042	1.409			AT1G70920	0.0	0.03	0.01	-0.02	0.567
2way	3	0.042	1.409			AT3G25990	0.0	0.033	0.019	-0.014	0.567
2way	3	0.042	1.409			AT3G27010	0.0	0.028	0.048	0.02	0.567
2way	3	0.042	1.409			AT1G30490	0.0	0.035	0.017	-0.018	0.569
2way	3	0.042	1.409			AT4G37180	0.0	0.084	0.114	0.03	0.579
2way	3	0.042	1.409			AT4G38000	0.0	0.068	0.093	0.025	0.579
2way	3	0.042	1.409			AT1G46264	0.0	0.011	0.0	-0.011	0.581
2way	3	0.042	1.409			AT1G63030	0.0	0.005	0.008	0.003	0.581
2way	3	0.042	1.409			AT1G76870	0.0	0.013	0.0	-0.013	0.581
2way	3	0.042	1.409			AT3G09230	0.0	0.011	0.007	-0.004	0.581
2way	3	0.042	1.409			AT3G12910	0.0	0.008	0.002	-0.006	0.581
2way	3	0.042	1.409			AT3G51470	0.0	0.012	0.002	-0.011	0.581
2way	3	0.042	1.409			AT3G57600	0.0	0.013	0.0	-0.013	0.581
2way	3	0.042	1.409			AT4G04450	0.0	0.009	0.0	-0.009	0.581
2way	3	0.042	1.409			AT4G18450	0.0	0.006	0.003	-0.003	0.581
2way	3	0.042	1.409			AT4G38910	0.0	0.006	0.001	-0.006	0.581
2way	3	0.042	1.409			AT5G10140	0.0	0.01	0.0	-0.01	0.581
2way	3	0.042	1.409			AT5G10280	0.0	0.009	0.015	0.006	0.581
2way	3	0.042	1.409			AT5G10510	0.0	0.006	0.011	0.005	0.581
2way	3	0.042	1.409			AT5G13910	0.0	0.012	0.0	-0.012	0.581
2way	3	0.042	1.409			AT1G22810	0.0	0.065	0.09	0.025	0.582
2way	3	0.042	1.409			AT3G55370	0.0	0.073	0.099	0.026	0.582
2way	3	0.042	1.409			AT2G17900	0.0	0.009	0.0	-0.009	0.591
2way	3	0.042	1.409			AT3G51080	0.0	0.009	0.0	-0.009	0.591
2way	3	0.042	1.409			AT4G01720	0.0	0.008	0.0	-0.008	0.591
2way	3	0.042	1.409			AT4G27900	0.0	0.01	0.0	-0.01	0.591
2way	3	0.042	1.409			AT1G14687	-0.417	0.089	0.115	0.026	0.592
2way	3	0.042	1.409			AT4G36740	0.0	0.083	0.055	-0.028	0.592
2way	3	0.042	1.409			AT1G06280	0.0	0.11	0.076	-0.034	0.602
2way	3	0.042	1.409			AT1G20980	0.0	0.02	0.044	0.024	0.602
2way	3	0.042	1.409			AT2G31230	0.0	0.072	0.09	0.018	0.602
2way	3	0.042	1.409			AT4G22070	0.0	0.034	0.022	-0.012	0.602
2way	3	0.042	1.409			AT1G19790	0.0	0.033	0.017	-0.015	0.605
2way	3	0.042	1.409			AT3G27785	0.0	0.041	0.024	-0.017	0.607
2way	3	0.042	1.409			AT5G24110	0.0	0.04	0.028	-0.013	0.607
2way	3	0.042	1.409			AT1G69010	0.0	0.099	0.074	-0.025	0.612
2way	3	0.042	1.409			AT1G69490	0.0	0.098	0.077	-0.021	0.612
2way	3	0.042	1.409			AT1G77200	0.0	0.104	0.131	0.027	0.62
2way	3	0.042	1.409			AT2G21900	0.0	0.009	0.0	-0.009	0.625
2way	3	0.042	1.409			AT5G67300	0.0	0.015	0.025	0.01	0.625
2way	3	0.042	1.409			AT4G01280	0.681	0.118	0.085	-0.033	0.629
2way	3	0.042	1.409			AT1G02250	0.0	0.052	0.032	-0.02	0.63
2way	3	0.042	1.409			AT3G20770	0.211	0.052	0.027	-0.025	0.63
2way	3	0.042	1.409			AT5G09410	0.0	0.029	0.049	0.02	0.63
2way	3	0.042	1.409			AT2G18160	0.0	0.129	0.109	-0.02	0.635
2way	3	0.042	1.409			AT4G27950	0.0	0.032	0.048	0.016	0.637
2way	3	0.042	1.409			AT4G29230	0.0	0.043	0.028	-0.015	0.637
2way	3	0.042	1.409			AT1G71450	0.0	0.126	0.154	0.029	0.642
2way	3	0.042	1.409			AT4G25480	0.0	0.116	0.148	0.031	0.647
2way	3	0.042	1.409			AT1G20910	0.0	0.032	0.051	0.019	0.651
2way	3	0.042	1.409			AT1G68320	0.0	0.044	0.064	0.02	0.651
2way	3	0.042	1.409			AT3G08500	0.0	0.052	0.039	-0.013	0.651
2way	3	0.042	1.409			AT4G26030	0.207	0.058	0.042	-0.016	0.651
2way	3	0.042	1.409			AT5G06100	0.0	0.048	0.033	-0.015	0.651
2way	3	0.042	1.409			AT2G01060	0.0	0.041	0.058	0.017	0.653
2way	3	0.042	1.409			AT2G36270	0.0	0.161	0.134	-0.027	0.653
2way	3	0.042	1.409			AT2G18350	0.0	0.047	0.032	-0.015	0.654
2way	3	0.042	1.409			AT2G46770	0.0	0.061	0.047	-0.014	0.654
2way	3	0.042	1.409			AT5G62940	0.0	0.039	0.052	0.013	0.654
2way	3	0.042	1.409			AT1G32150	0.0	0.154	0.13	-0.025	0.655
2way	3	0.042	1.409			AT1G06850	-0.165	0.037	0.054	0.018	0.662
2way	3	0.042	1.409			AT1G12260	0.0	0.062	0.044	-0.018	0.662
2way	3	0.042	1.409			AT4G10350	0.0	0.059	0.038	-0.021	0.669
2way	3	0.042	1.409			AT5G66730	0.0	0.052	0.036	-0.016	0.669
2way	3	0.042	1.409			AT1G18570	0.0	0.016	0.026	0.01	0.677
2way	3	0.042	1.409			AT1G32240	0.0	0.017	0.002	-0.015	0.677
2way	3	0.042	1.409			AT1G69560	0.0	0.016	0.004	-0.012	0.677
