gene	node	trajectory
AT1G01010	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G01180	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G01470	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G01520	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G01580	26244	0,-0.363052,-0.663273,-1.18191,-0.295297,-0.916233,-0.256606,0.0905716,0.0358392
AT1G02340	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G02380	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G02390	6561	0,1.62283,2.1152,1.29044,0.83319,0.793254,0.0165126,-0.338399,-0.0819094
AT1G02520	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G02610	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G02640	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G02650	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G02660	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G02670	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G02730	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
AT1G02800	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G02850	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G02920	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G02930	0	0,0.136497,0.501236,3.10954,3.60427,3.73294,3.10381,1.81371,1.37012
AT1G02970	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G03090	19683	0,0.317029,0.403852,0.797119,0.0920931,0.345726,-1.50469,-1.98553,-0.708598
AT1G03230	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G03310	2430	0,0.136497,-0.0111722,-0.480592,-0.549368,0.24099,1.50257,1.80661,0.668154
AT1G03440	756	0,0.136497,0.501236,1.22632,1.35384,1.76908,1.69898,0.927675,0.597953
AT1G03470	2511	0,0.136497,-0.0111722,-0.480592,-0.549368,-1.54096,-1.70676,-1.08985,-0.416439
AT1G03660	729	0,0.136497,0.501236,1.22632,1.35384,1.76908,0.692738,0.0283157,0.0861207
AT1G03780	2187	0,0.136497,-0.0111722,-0.480592,-1.30775,-3.15618,-3.19631,-2.21837,-0.850729
