kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	2	0.126	0.919			AT3G11280	1.274	0.13	0.04	-0.091	0.000643
2way	2	0.126	0.919			AT2G01930	-2.022	0.029	0.121	0.092	0.00658
2way	2	0.126	0.919			AT2G45680	2.062	0.047	0.005	-0.042	0.01
2way	2	0.126	0.919			AT5G39610	0.988	0.12	0.06	-0.06	0.038
2way	2	0.126	0.919			AT3G27010	-0.0	0.033	0.002	-0.031	0.078
2way	2	0.126	0.919			AT4G38170	-0.0	0.052	0.112	0.06	0.096
2way	2	0.126	0.919			AT2G44940	-0.0	0.152	0.1	-0.053	0.099
2way	2	0.126	0.919			AT5G08330	-0.0	0.049	0.013	-0.036	0.099
2way	2	0.126	0.919			AT1G72010	-0.0	0.044	0.011	-0.033	0.122
2way	2	0.126	0.919			AT5G58900	-0.0	0.181	0.129	-0.052	0.131
2way	2	0.126	0.919			AT1G69690	-0.0	0.028	0.003	-0.025	0.142
2way	2	0.126	0.919			AT4G27900	-0.0	0.004	0.02	0.016	0.167
2way	2	0.126	0.919			AT2G28920	1.491	0.046	0.016	-0.031	0.175
2way	2	0.126	0.919			AT3G21175	-0.986	0.012	0.04	0.028	0.194
2way	2	0.126	0.919			AT4G01500	-0.301	0.006	0.028	0.023	0.211
2way	2	0.126	0.919			AT1G49010	0.184	0.236	0.184	-0.051	0.213
2way	2	0.126	0.919			AT3G13350	-0.819	0.003	0.021	0.018	0.216
2way	2	0.126	0.919			AT3G60530	-0.0	0.008	0.029	0.021	0.235
2way	2	0.126	0.919			AT1G75390	-0.35	0.023	0.048	0.025	0.247
2way	2	0.126	0.919			AT3G30530	-0.0	0.001	0.014	0.013	0.247
2way	2	0.126	0.919			AT4G38620	0.883	0.022	0.005	-0.017	0.247
2way	2	0.126	0.919			AT5G43840	-0.0	0.011	0.001	-0.01	0.247
2way	2	0.126	0.919			AT5G67450	0.241	0.018	0.005	-0.013	0.25
2way	2	0.126	0.919			AT4G24240	-0.0	0.007	0.0	-0.007	0.267
2way	2	0.126	0.919			AT3G61150	1.155	0.049	0.017	-0.031	0.277
