gene	node	trajectory
AT1G01190	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G01250	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G01520	13122	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-0.113647,0.104002,0.468587
AT1G01580	13122	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-0.113647,0.104002,0.468587
AT1G02300	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G02340	2217	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.184868,-0.172834,-0.132223
AT1G02390	2241	0,1.18441,1.44652,0.826065,0.476693,0.301634,0.742637,0.756567,0.998698
AT1G02610	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G02640	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
AT1G02660	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G02730	6561	0,-0.388192,-0.4165,-0.850191,-1.94557,-1.90452,-1.09745,0.309705,-0.0154922
AT1G02820	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G02850	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
AT1G02920	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G02930	2214	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.184868,-0.172834,1.21982
AT1G03090	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
AT1G03610	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G03700	27	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,1.96701
AT1G03780	6561	0,-0.388192,-0.4165,-0.850191,-1.94557,-1.90452,-1.09745,0.309705,-0.0154922
AT1G03820	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G04077	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G04220	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G04680	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G04770	81	0,1.18441,0.836144,-0.0860512,0.00924093,0.866552,1.71342,1.8595,1.74156
AT1G04980	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G05250	13149	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-1.21808,-1.36479,-1.34472
AT1G05440	6561	0,-0.388192,-0.4165,-0.850191,-1.94557,-1.90452,-1.09745,0.309705,-0.0154922
AT1G05490	27	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,1.96701
AT1G05570	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
AT1G05650	2217	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.184868,-0.172834,-0.132223
AT1G05700	13122	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-0.113647,0.104002,0.468587
AT1G05927	13149	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-1.21808,-1.36479,-1.34472
AT1G06002	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G06100	30	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,0.324764,0.506347,0.467187
AT1G06160	13149	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-1.21808,-1.36479,-1.34472
AT1G06350	81	0,1.18441,0.836144,-0.0860512,0.00924093,0.866552,1.71342,1.8595,1.74156
AT1G06540	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G06570	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
AT1G06830	13122	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-0.113647,0.104002,0.468587
AT1G06980	0	0,1.18441,0.836144,-0.0860512,0.00924093,0.249791,1.10385,1.52071,1.4518
AT1G07050	13122	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-0.113647,0.104002,0.468587
AT1G07135	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G07187	13149	0,-1.00224,-1.01885,-0.984722,-0.555637,-0.763614,-1.21808,-1.36479,-1.34472
AT1G07350	2217	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.184868,-0.172834,-0.132223
AT1G07400	2217	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.184868,-0.172834,-0.132223
AT1G07520	2187	0,1.18441,1.44652,0.826065,0.476693,0.301634,-0.991963,-1.09774,-0.474391
AT1G07725	8748	0,-0.388192,-0.0768974,0.55364,0.276544,-0.257731,-1.27246,-1.42274,-1.37303
