kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	3	-1.259	0.218			AT1G26960	-1.209	0.024	0.22	0.197	2.89e-05
2way	3	-1.259	0.218			AT5G64060	-0.484	0.024	0.22	0.197	2.89e-05
2way	3	-1.259	0.218			AT1G52880	-0.465	0.094	0.339	0.244	7.94e-05
2way	3	-1.259	0.218			AT4G28500	-0.066	0.031	0.186	0.155	0.000698
2way	3	-1.259	0.218			AT1G28470	-1.371	0.047	0.203	0.156	0.00147
2way	3	-1.259	0.218			AT3G10480	0.0	0.024	0.153	0.129	0.0019
2way	3	-1.259	0.218			AT1G69490	0.0	0.071	0.237	0.166	0.00211
2way	3	-1.259	0.218			AT1G32870	-0.227	0.055	0.203	0.148	0.00342
2way	3	-1.259	0.218			AT2G18350	-0.593	0.055	0.203	0.148	0.00342
2way	3	-1.259	0.218			AT5G39610	0.0	0.031	0.153	0.121	0.00459
2way	3	-1.259	0.218			AT1G02250	-0.732	0.024	0.136	0.112	0.00496
2way	3	-1.259	0.218			AT3G61150	0.0	0.024	0.136	0.112	0.00496
2way	3	-1.259	0.218			AT4G32730	1.74	0.307	0.119	-0.188	0.0059
2way	3	-1.259	0.218			AT5G22990	-1.272	0.118	0.288	0.17	0.00634
2way	3	-1.259	0.218			AT2G24430	-0.243	0.047	0.169	0.122	0.00972
2way	3	-1.259	0.218			AT3G18400	0.0	0.047	0.169	0.122	0.00972
2way	3	-1.259	0.218			AT5G18270	0.0	0.047	0.169	0.122	0.00972
2way	3	-1.259	0.218			AT3G10500	0.0	0.024	0.119	0.095	0.012
2way	3	-1.259	0.218			AT4G17980	0.0	0.071	0.203	0.133	0.012
2way	3	-1.259	0.218			AT5G65410	0.0	0.071	0.203	0.133	0.012
2way	3	-1.259	0.218			AT5G53950	0.0	0.008	0.085	0.077	0.013
2way	3	-1.259	0.218			AT3G50060	-1.302	0.063	0.186	0.123	0.017
2way	3	-1.259	0.218			AT1G34180	0.0	0.047	0.153	0.105	0.02
2way	3	-1.259	0.218			AT1G54330	0.0	0.047	0.153	0.105	0.02
2way	3	-1.259	0.218			AT2G18060	0.0	0.047	0.153	0.105	0.02
2way	3	-1.259	0.218			AT4G29230	0.0	0.047	0.153	0.105	0.02
2way	3	-1.259	0.218			AT1G75240	0.0	0.071	0.186	0.116	0.023
2way	3	-1.259	0.218			AT2G03500	0.218	0.118	0.017	-0.101	0.023
2way	3	-1.259	0.218			AT3G28920	0.0	0.071	0.186	0.116	0.023
2way	3	-1.259	0.218			AT5G13180	0.0	0.071	0.186	0.116	0.023
2way	3	-1.259	0.218			AT5G04410	0.0	0.031	0.119	0.087	0.026
2way	3	-1.259	0.218			AT5G60130	-1.129	0.031	0.119	0.087	0.026
2way	3	-1.259	0.218			AT4G00730	0.0	0.039	0.136	0.096	0.027
2way	3	-1.259	0.218			AT5G66300	0.0	0.039	0.136	0.096	0.027
2way	3	-1.259	0.218			AT3G17730	0.0	0.063	0.169	0.106	0.032
2way	3	-1.259	0.218			AT3G24120	0.439	0.142	0.034	-0.108	0.039
2way	3	-1.259	0.218			AT2G20400	0.656	0.11	0.017	-0.093	0.04
2way	3	-1.259	0.218			AT3G04060	0.0	0.047	0.136	0.088	0.041
2way	3	-1.259	0.218			AT4G10350	0.0	0.039	0.119	0.079	0.055
2way	3	-1.259	0.218			AT1G27730	0.292	0.063	0.0	-0.063	0.057
2way	3	-1.259	0.218			AT2G33550	0.0	0.063	0.0	-0.063	0.057
2way	3	-1.259	0.218			AT3G60580	0.0	0.063	0.0	-0.063	0.057
