kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT4G31550	0.0	0.021	0.006	-0.015	0.134
2way	0	0.0	1.065			AT2G23320	0.0	0.082	0.052	-0.03	0.14
2way	0	0.0	1.065			AT3G53200	-0.36	0.028	0.053	0.024	0.14
2way	0	0.0	1.065			AT3G49530	0.25	0.106	0.082	-0.024	0.143
2way	0	0.0	1.065			AT3G10800	0.0	0.029	0.051	0.022	0.15
2way	0	0.0	1.065			AT5G52830	0.0	0.062	0.035	-0.027	0.156
2way	0	0.0	1.065			AT4G23550	0.0	0.068	0.042	-0.027	0.162
2way	0	0.0	1.065			AT4G17785	-0.333	0.004	0.015	0.011	0.163
2way	0	0.0	1.065			AT3G10030	0.222	0.035	0.016	-0.02	0.165
2way	0	0.0	1.065			AT3G23220	0.0	0.014	0.03	0.015	0.165
2way	0	0.0	1.065			AT2G38340	-0.417	0.133	0.16	0.027	0.166
2way	0	0.0	1.065			AT4G01540	0.503	0.075	0.048	-0.028	0.167
2way	0	0.0	1.065			AT3G12250	-0.049	0.055	0.084	0.029	0.169
2way	0	0.0	1.065			AT3G30210	-0.01	0.011	0.025	0.014	0.169
2way	0	0.0	1.065			AT5G56110	0.0	0.043	0.069	0.026	0.169
2way	0	0.0	1.065			AT4G36740	0.0	0.039	0.062	0.023	0.172
2way	0	0.0	1.065			AT4G14770	0.736	0.066	0.043	-0.024	0.179
2way	0	0.0	1.065			AT1G19040	1.458	0.01	0.002	-0.009	0.181
2way	0	0.0	1.065			AT1G08320	0.0	0.058	0.084	0.027	0.185
2way	0	0.0	1.065			AT5G05790	-0.487	0.027	0.047	0.02	0.185
2way	0	0.0	1.065			AT1G70920	0.0	0.025	0.043	0.018	0.188
2way	0	0.0	1.065			AT2G45650	-0.376	0.003	0.012	0.009	0.197
2way	0	0.0	1.065			AT5G06950	0.0	0.044	0.067	0.024	0.197
2way	0	0.0	1.065			AT1G71696	0.091	0.059	0.036	-0.023	0.202
2way	0	0.0	1.065			AT1G68670	-0.435	0.013	0.027	0.014	0.21
2way	0	0.0	1.065			AT5G47220	0.118	0.053	0.07	0.017	0.211
2way	0	0.0	1.065			AT4G28500	0.0	0.059	0.037	-0.022	0.212
2way	0	0.0	1.065			AT5G45580	-0.089	0.049	0.072	0.023	0.212
2way	0	0.0	1.065			AT5G24110	0.0	0.055	0.033	-0.021	0.214
2way	0	0.0	1.065			AT2G02540	0.336	0.043	0.064	0.021	0.217
2way	0	0.0	1.065			AT2G22430	0.0	0.028	0.047	0.019	0.217
2way	0	0.0	1.065			AT1G30650	-1.474	0.069	0.045	-0.024	0.221
2way	0	0.0	1.065			AT1G28370	0.294	0.181	0.156	-0.025	0.223
2way	0	0.0	1.065			AT1G68320	-0.135	0.027	0.045	0.018	0.232
2way	0	0.0	1.065			AT1G02230	0.438	0.052	0.031	-0.021	0.238
2way	0	0.0	1.065			AT5G65310	0.573	0.047	0.068	0.022	0.239
2way	0	0.0	1.065			AT5G06839	0.0	0.045	0.067	0.022	0.241
2way	0	0.0	1.065			AT2G15740	0.773	0.06	0.04	-0.021	0.243
2way	0	0.0	1.065			AT1G50640	-1.16	0.05	0.071	0.022	0.244
2way	0	0.0	1.065			AT5G10280	0.0	0.004	0.014	0.01	0.245
2way	0	0.0	1.065			AT2G30590	0.0	0.015	0.005	-0.01	0.248
2way	0	0.0	1.065			AT5G23930	-0.373	0.053	0.075	0.022	0.253
2way	0	0.0	1.065			AT1G19000	0.742	0.057	0.078	0.021	0.255
2way	0	0.0	1.065			AT1G45249	0.0	0.038	0.057	0.019	0.266
2way	0	0.0	1.065			AT3G06490	0.0	0.014	0.027	0.013	0.267
2way	0	0.0	1.065			AT3G01530	0.0	0.034	0.053	0.02	0.268
2way	0	0.0	1.065			AT3G27010	-0.293	0.025	0.036	0.011	0.268
2way	0	0.0	1.065			AT4G37180	-1.309	0.04	0.06	0.019	0.27
2way	0	0.0	1.065			AT4G26030	0.0	0.029	0.046	0.017	0.271
2way	0	0.0	1.065			AT5G13790	-0.085	0.01	0.022	0.012	0.272
2way	0	0.0	1.065			AT5G65210	0.0	0.046	0.067	0.021	0.273
2way	0	0.0	1.065			AT1G72740	0.0	0.037	0.022	-0.015	0.279
2way	0	0.0	1.065			AT5G67580	0.363	0.039	0.024	-0.016	0.282
2way	0	0.0	1.065			AT3G15210	0.45	0.22	0.196	-0.025	0.288
2way	0	0.0	1.065			AT3G04030	0.0	0.046	0.064	0.018	0.291
2way	0	0.0	1.065			AT5G46350	0.0	0.039	0.023	-0.016	0.291
2way	0	0.0	1.065			AT3G11280	0.0	0.019	0.033	0.013	0.292
2way	0	0.0	1.065			AT4G27950	0.0	0.022	0.038	0.016	0.299
2way	0	0.0	1.065			AT1G74480	0.925	0.05	0.033	-0.017	0.301
2way	0	0.0	1.065			AT2G39900	0.0	0.003	0.0	-0.003	0.313
2way	0	0.0	1.065			AT5G25830	0.459	0.037	0.023	-0.014	0.313
2way	0	0.0	1.065			AT1G74650	-0.232	0.039	0.056	0.017	0.314
2way	0	0.0	1.065			AT1G02250	0.0	0.047	0.032	-0.016	0.32
2way	0	0.0	1.065			AT5G05550	0.0	0.107	0.085	-0.022	0.32
2way	0	0.0	1.065			AT3G61250	0.0	0.005	0.014	0.009	0.328
2way	0	0.0	1.065			AT3G61120	0.0	0.001	0.006	0.005	0.334
2way	0	0.0	1.065			AT3G20310	0.0	0.076	0.097	0.021	0.336
2way	0	0.0	1.065			AT3G23240	0.0	0.025	0.04	0.014	0.336
2way	0	0.0	1.065			AT1G75390	0.125	0.015	0.025	0.01	0.341
2way	0	0.0	1.065			AT3G28910	-0.926	0.013	0.023	0.01	0.349
2way	0	0.0	1.065			AT3G21890	0.172	0.122	0.105	-0.017	0.351
2way	0	0.0	1.065			AT3G44480	-1.035	0.039	0.056	0.017	0.351
2way	0	0.0	1.065			AT4G05100	0.0	0.015	0.027	0.013	0.353
2way	0	0.0	1.065			AT1G14687	-0.4	0.037	0.054	0.017	0.355
2way	0	0.0	1.065			AT1G03800	-1.038	0.075	0.094	0.019	0.357
2way	0	0.0	1.065			AT3G23250	-0.024	0.002	0.008	0.006	0.365
2way	0	0.0	1.065			AT3G50060	0.323	0.132	0.115	-0.017	0.369
2way	0	0.0	1.065			AT1G29280	-0.125	0.073	0.055	-0.018	0.375
2way	0	0.0	1.065			AT3G20770	1.185	0.039	0.025	-0.014	0.376
2way	0	0.0	1.065			AT2G41835	0.0	0.004	0.001	-0.003	0.379
2way	0	0.0	1.065			AT3G60530	0.0	0.017	0.008	-0.009	0.381
2way	0	0.0	1.065			AT4G25470	-0.222	0.048	0.064	0.016	0.381
2way	0	0.0	1.065			AT2G31230	-0.382	0.044	0.061	0.017	0.383
2way	0	0.0	1.065			AT1G34670	0.0	0.037	0.051	0.015	0.389
2way	0	0.0	1.065			AT5G08130	0.0	0.005	0.013	0.008	0.392
2way	0	0.0	1.065			AT3G26790	-0.011	0.012	0.02	0.008	0.399
2way	0	0.0	1.065			AT3G58630	0.765	0.022	0.012	-0.009	0.399
2way	0	0.0	1.065			AT5G14340	0.0	0.002	0.006	0.004	0.404
2way	0	0.0	1.065			AT1G69780	-0.01	0.032	0.045	0.013	0.41
2way	0	0.0	1.065			AT5G08070	0.0	0.004	0.001	-0.003	0.41
2way	0	0.0	1.065			AT4G01720	0.0	0.009	0.003	-0.006	0.415
2way	0	0.0	1.065			AT4G37260	0.012	0.132	0.117	-0.015	0.415
2way	0	0.0	1.065			AT5G62000	-0.312	0.024	0.036	0.013	0.416
2way	0	0.0	1.065			AT1G06280	0.037	0.095	0.078	-0.017	0.417
2way	0	0.0	1.065			AT1G69180	0.234	0.029	0.042	0.013	0.42
2way	0	0.0	1.065			AT3G02940	0.0	0.042	0.057	0.015	0.421
2way	0	0.0	1.065			AT1G63030	0.0	0.004	0.009	0.005	0.423
2way	0	0.0	1.065			AT4G18450	0.0	0.004	0.009	0.005	0.423
2way	0	0.0	1.065			AT1G75490	-0.47	0.03	0.042	0.012	0.424
2way	0	0.0	1.065			AT1G08010	0.0	0.035	0.024	-0.011	0.429
2way	0	0.0	1.065			AT2G20110	0.0	0.064	0.05	-0.014	0.431
2way	0	0.0	1.065			AT1G21910	0.0	0.022	0.015	-0.006	0.436
2way	0	0.0	1.065			AT5G62320	0.0	0.024	0.037	0.012	0.438
2way	0	0.0	1.065			AT1G09540	0.0	0.036	0.049	0.013	0.442
2way	0	0.0	1.065			AT5G45300	0.0	0.025	0.037	0.012	0.446
2way	0	0.0	1.065			AT5G47230	0.0	0.029	0.038	0.009	0.447
2way	0	0.0	1.065			AT5G44160	0.0	0.011	0.006	-0.005	0.455
2way	0	0.0	1.065			AT3G24050	0.0	0.026	0.017	-0.009	0.457
2way	0	0.0	1.065			AT4G01680	0.0	0.028	0.04	0.012	0.458
2way	0	0.0	1.065			AT3G12820	0.0	0.009	0.016	0.007	0.461
2way	0	0.0	1.065			AT5G65510	0.0	0.028	0.019	-0.009	0.462
2way	0	0.0	1.065			AT1G76890	-0.123	0.043	0.055	0.012	0.465
2way	0	0.0	1.065			AT1G79180	0.0	0.018	0.027	0.008	0.473
2way	0	0.0	1.065			AT1G16490	0.0	0.035	0.046	0.011	0.475
2way	0	0.0	1.065			AT1G32240	0.0	0.006	0.011	0.005	0.475
2way	0	0.0	1.065			AT1G06180	0.0	0.019	0.028	0.009	0.481
2way	0	0.0	1.065			AT1G76870	0.0	0.004	0.001	-0.002	0.482
2way	0	0.0	1.065			AT3G03660	0.0	0.003	0.0	-0.003	0.482
2way	0	0.0	1.065			AT3G07220	0.0	0.002	0.0	-0.002	0.482
2way	0	0.0	1.065			AT1G64620	-0.012	0.137	0.151	0.014	0.486
2way	0	0.0	1.065			AT3G46590	0.555	0.013	0.007	-0.007	0.488
2way	0	0.0	1.065			AT2G18380	0.603	0.048	0.036	-0.012	0.491
2way	0	0.0	1.065			AT1G49560	1.884	0.05	0.038	-0.012	0.493
2way	0	0.0	1.065			AT3G24120	0.0	0.055	0.069	0.014	0.495
2way	0	0.0	1.065			AT3G45170	0.016	0.008	0.003	-0.005	0.495
2way	0	0.0	1.065			AT4G01500	0.0	0.007	0.013	0.006	0.496
2way	0	0.0	1.065			AT3G08500	0.0	0.027	0.036	0.009	0.499
2way	0	0.0	1.065			AT1G06850	0.0	0.03	0.04	0.01	0.503
2way	0	0.0	1.065			AT4G36160	-0.357	0.054	0.066	0.012	0.505
2way	0	0.0	1.065			AT1G20980	-0.164	0.021	0.03	0.008	0.508
2way	0	0.0	1.065			AT4G17980	-0.002	0.043	0.054	0.011	0.513
2way	0	0.0	1.065			AT2G17410	0.734	0.007	0.002	-0.006	0.514
2way	0	0.0	1.065			AT3G23210	0.0	0.008	0.014	0.006	0.514
2way	0	0.0	1.065			AT3G57600	0.0	0.008	0.004	-0.004	0.514
2way	0	0.0	1.065			AT4G04450	0.0	0.007	0.003	-0.005	0.514
2way	0	0.0	1.065			AT1G18960	0.0	0.0	0.001	0.001	0.515
