kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT1G25580	3.091	0.129	0.019	-0.11	1.74e-07
2way	0	0.0	1.065			AT2G30250	0.031	0.211	0.105	-0.106	2.5e-06
2way	0	0.0	1.065			AT2G38470	0.347	0.185	0.088	-0.097	4.27e-06
2way	0	0.0	1.065			AT1G73730	-5.141	0.0	0.025	0.025	2.12e-05
2way	0	0.0	1.065			AT5G26170	0.34	0.186	0.105	-0.081	0.000195
2way	0	0.0	1.065			AT5G15830	0.0	0.083	0.163	0.08	0.000448
2way	0	0.0	1.065			AT4G31800	-0.147	0.203	0.124	-0.079	0.000466
2way	0	0.0	1.065			AT2G04038	-0.149	0.071	0.146	0.075	0.00048
2way	0	0.0	1.065			AT1G80840	2.157	0.034	0.002	-0.032	0.000647
2way	0	0.0	1.065			AT1G32150	-0.928	0.083	0.162	0.078	0.000659
2way	0	0.0	1.065			AT5G64060	0.634	0.133	0.069	-0.064	0.000681
2way	0	0.0	1.065			AT3G62420	-0.612	0.082	0.161	0.079	0.000711
2way	0	0.0	1.065			AT1G74840	-0.763	0.047	0.11	0.063	0.000866
2way	0	0.0	1.065			AT5G61620	-0.341	0.062	0.132	0.07	0.000933
2way	0	0.0	1.065			AT2G18160	-0.254	0.073	0.145	0.071	0.00117
2way	0	0.0	1.065			AT5G08520	-0.775	0.066	0.134	0.068	0.00134
2way	0	0.0	1.065			AT5G56840	0.0	0.067	0.136	0.069	0.00138
2way	0	0.0	1.065			AT5G13080	-0.084	0.19	0.119	-0.071	0.0014
2way	0	0.0	1.065			AT4G01250	0.297	0.136	0.076	-0.06	0.00154
2way	0	0.0	1.065			AT5G47390	0.0	0.053	0.112	0.06	0.0024
2way	0	0.0	1.065			AT1G29860	0.514	0.098	0.035	-0.063	0.00241
2way	0	0.0	1.065			AT2G35530	0.0	0.084	0.154	0.07	0.00255
2way	0	0.0	1.065			AT4G29230	0.742	0.086	0.028	-0.059	0.00284
2way	0	0.0	1.065			AT1G18330	-0.61	0.084	0.136	0.052	0.00349
2way	0	0.0	1.065			AT4G18170	0.137	0.101	0.042	-0.059	0.00361
2way	0	0.0	1.065			AT3G01970	0.0	0.098	0.04	-0.057	0.00471
2way	0	0.0	1.065			AT2G40740	0.906	0.099	0.041	-0.058	0.0056
2way	0	0.0	1.065			AT1G62300	0.0	0.088	0.035	-0.052	0.00678
2way	0	0.0	1.065			AT5G58900	-0.603	0.047	0.098	0.051	0.00697
2way	0	0.0	1.065			AT3G26790	-1.609	0.012	0.042	0.029	0.00946
2way	0	0.0	1.065			AT5G17300	-0.092	0.125	0.179	0.053	0.00956
2way	0	0.0	1.065			AT2G36270	0.0	0.088	0.145	0.058	0.00971
2way	0	0.0	1.065			AT4G22070	0.0	0.07	0.025	-0.045	0.013
2way	0	0.0	1.065			AT4G18770	1.29	0.084	0.035	-0.048	0.016
2way	0	0.0	1.065			AT2G23320	0.0	0.109	0.058	-0.051	0.017
2way	0	0.0	1.065			AT1G49010	0.56	0.063	0.11	0.047	0.019
2way	0	0.0	1.065			AT1G19000	0.138	0.064	0.113	0.048	0.022
2way	0	0.0	1.065			AT5G41570	0.0	0.107	0.058	-0.049	0.023
2way	0	0.0	1.065			AT2G44840	-0.327	0.116	0.162	0.046	0.024
2way	0	0.0	1.065			AT3G42860	0.0	0.085	0.05	-0.035	0.026
2way	0	0.0	1.065			AT5G11260	0.0	0.081	0.131	0.05	0.026
2way	0	0.0	1.065			AT4G00250	0.0	0.046	0.086	0.04	0.031
2way	0	0.0	1.065			AT3G56850	0.399	0.082	0.13	0.048	0.032
2way	0	0.0	1.065			AT1G69010	-0.848	0.058	0.103	0.045	0.035
2way	0	0.0	1.065			AT1G14687	-1.024	0.047	0.088	0.04	0.037
2way	0	0.0	1.065			AT4G23550	0.0	0.09	0.048	-0.042	0.037
2way	0	0.0	1.065			AT1G29280	0.103	0.1	0.056	-0.044	0.038
