scope	n_tfs	study_a	quality_a	study_b	quality_b	same_study	same_quality	spearman_rho	p
all_tfs	473	OSD-320	low-LET photon	OSD-320	high-LET particle	True	False	0.2434	8.340592918103576e-08
all_tfs	473	OSD-320	low-LET photon	OSD-498	low-LET photon	False	True	0.4466	1.4590904643854167e-24
all_tfs	473	OSD-320	low-LET photon	OSD-502	low-LET photon	False	True	0.2991	3.130876093431612e-11
all_tfs	473	OSD-320	low-LET photon	OSD-508	low-LET photon	False	True	0.5541	2.0590336490821903e-39
all_tfs	473	OSD-320	low-LET photon	OSD-510	low-LET photon	False	True	0.4839	3.960427207306565e-29
all_tfs	473	OSD-320	low-LET photon	OSD-782	low-LET photon	False	True	0.1519	0.0009190241324517786
all_tfs	473	OSD-320	high-LET particle	OSD-498	low-LET photon	False	False	0.3814	7.929161014707447e-18
all_tfs	473	OSD-320	high-LET particle	OSD-502	low-LET photon	False	False	0.4228	6.155763804087917e-22
all_tfs	473	OSD-320	high-LET particle	OSD-508	low-LET photon	False	False	0.0705	0.12596205224566975
all_tfs	473	OSD-320	high-LET particle	OSD-510	low-LET photon	False	False	0.4612	2.71167652174316e-26
all_tfs	473	OSD-320	high-LET particle	OSD-782	low-LET photon	False	False	0.553	3.0795957352843646e-39
all_tfs	473	OSD-498	low-LET photon	OSD-502	low-LET photon	False	True	0.3674	1.4649774081452327e-16
all_tfs	473	OSD-498	low-LET photon	OSD-508	low-LET photon	False	True	-0.0062	0.8922025326267686
all_tfs	473	OSD-498	low-LET photon	OSD-510	low-LET photon	False	True	0.3305	1.6194455630699533e-13
all_tfs	473	OSD-498	low-LET photon	OSD-782	low-LET photon	False	True	0.0228	0.6214131548708244
all_tfs	473	OSD-502	low-LET photon	OSD-508	low-LET photon	False	True	0.2706	2.1961799747631184e-09
all_tfs	473	OSD-502	low-LET photon	OSD-510	low-LET photon	False	True	0.586	5.98632675140309e-45
all_tfs	473	OSD-502	low-LET photon	OSD-782	low-LET photon	False	True	0.3026	1.7880661780619635e-11
all_tfs	473	OSD-508	low-LET photon	OSD-510	low-LET photon	False	True	0.5178	8.408987998942923e-34
all_tfs	473	OSD-508	low-LET photon	OSD-782	low-LET photon	False	True	0.3885	1.7099719929099358e-18
all_tfs	473	OSD-510	low-LET photon	OSD-782	low-LET photon	False	True	0.5659	2.140378818236172e-41
responsive_tfs	317	OSD-320	low-LET photon	OSD-320	high-LET particle	True	False	0.3145	1.0465201750722708e-08
responsive_tfs	317	OSD-320	low-LET photon	OSD-498	low-LET photon	False	True	0.5333	1.0731461769313884e-24
responsive_tfs	317	OSD-320	low-LET photon	OSD-502	low-LET photon	False	True	0.3451	2.689717971771696e-10
responsive_tfs	317	OSD-320	low-LET photon	OSD-508	low-LET photon	False	True	0.6119	5.977924113198161e-34
responsive_tfs	317	OSD-320	low-LET photon	OSD-510	low-LET photon	False	True	0.5946	1.0874857442318185e-31
responsive_tfs	317	OSD-320	low-LET photon	OSD-782	low-LET photon	False	True	0.2657	1.5923292228008958e-06
responsive_tfs	317	OSD-320	high-LET particle	OSD-498	low-LET photon	False	False	0.4318	7.937248866253063e-16
responsive_tfs	317	OSD-320	high-LET particle	OSD-502	low-LET photon	False	False	0.4718	5.604072151089355e-19
responsive_tfs	317	OSD-320	high-LET particle	OSD-508	low-LET photon	False	False	0.1226	0.029010480605890808
responsive_tfs	317	OSD-320	high-LET particle	OSD-510	low-LET photon	False	False	0.5144	8.289421257030766e-23
responsive_tfs	317	OSD-320	high-LET particle	OSD-782	low-LET photon	False	False	0.6134	3.7282438249609476e-34
responsive_tfs	317	OSD-498	low-LET photon	OSD-502	low-LET photon	False	True	0.4189	6.7084775549241086e-15
responsive_tfs	317	OSD-498	low-LET photon	OSD-508	low-LET photon	False	True	0.068	0.22713168167522002
responsive_tfs	317	OSD-498	low-LET photon	OSD-510	low-LET photon	False	True	0.3862	1.0183069160850805e-12
responsive_tfs	317	OSD-498	low-LET photon	OSD-782	low-LET photon	False	True	0.09	0.10979797159468593
responsive_tfs	317	OSD-502	low-LET photon	OSD-508	low-LET photon	False	True	0.3494	1.5705430279379227e-10
responsive_tfs	317	OSD-502	low-LET photon	OSD-510	low-LET photon	False	True	0.6609	3.6058980097742605e-41
responsive_tfs	317	OSD-502	low-LET photon	OSD-782	low-LET photon	False	True	0.4126	1.8486985464359758e-14
responsive_tfs	317	OSD-508	low-LET photon	OSD-510	low-LET photon	False	True	0.6228	1.929019597892961e-35
responsive_tfs	317	OSD-508	low-LET photon	OSD-782	low-LET photon	False	True	0.4285	1.378085467265072e-15
responsive_tfs	317	OSD-510	low-LET photon	OSD-782	low-LET photon	False	True	0.6462	7.245978856276037e-39
