accession	factor	level	n_treated	n_control	gene_set	n_set_genes_measured	n_set_genes_total	mean_rank	z	p_empirical
OSD-120	spaceflight	Space Flight	36	36	phase_late	309	400	0.581	4.973	0.0005
OSD-120	spaceflight	Space Flight	36	36	phase_mid	339	400	0.3975	-6.795	0.0005
OSD-120	spaceflight	Space Flight	36	36	sog1_dependent	154	160	0.4796	-0.865	0.38081
OSD-120	spaceflight	Space Flight	36	36	sog1_independent	105	132	0.6297	4.52	0.001
OSD-121	spaceflight	Space Flight	9	9	ddr_core	10	11	0.6497	1.625	0.10545
OSD-121	spaceflight	Space Flight	9	9	myb3r_repressed	230	283	0.6427	7.172	0.0005
OSD-121	spaceflight	Space Flight	9	9	phase_early	333	400	0.3529	-9.321	0.0005
OSD-121	spaceflight	Space Flight	9	9	phase_late	320	400	0.5037	0.221	0.82409
OSD-121	spaceflight	Space Flight	9	9	phase_mid	305	400	0.6201	7.451	0.0005
OSD-121	spaceflight	Space Flight	9	9	sog1_dependent	137	160	0.5176	0.725	0.45777
OSD-121	spaceflight	Space Flight	9	9	sog1_independent	98	132	0.4903	-0.378	0.71364
OSD-147	genotype	ARG1 KO	8	10	ddr_core	10	11	0.6004	1.14	0.26537
OSD-147	genotype	ARG1 KO	8	10	myb3r_repressed	230	283	0.4403	-3.228	0.0025
OSD-147	genotype	ARG1 KO	8	10	phase_early	333	400	0.5957	6.289	0.0005
OSD-147	genotype	ARG1 KO	8	10	phase_late	320	400	0.5291	1.814	0.07546
OSD-147	genotype	ARG1 KO	8	10	phase_mid	305	400	0.4908	-0.565	0.56922
OSD-147	genotype	ARG1 KO	8	10	sog1_dependent	137	160	0.5951	3.918	0.0005
OSD-147	genotype	ARG1 KO	8	10	sog1_independent	98	132	0.5083	0.266	0.7976
OSD-147	spaceflight	Space Flight	9	9	ddr_core	10	11	0.3597	-1.561	0.12294
OSD-147	spaceflight	Space Flight	9	9	myb3r_repressed	230	283	0.5418	2.135	0.03398
OSD-147	spaceflight	Space Flight	9	9	phase_early	333	400	0.5243	1.542	0.13043
OSD-147	spaceflight	Space Flight	9	9	phase_late	320	400	0.5501	3.166	0.0025
OSD-147	spaceflight	Space Flight	9	9	phase_mid	305	400	0.5514	3.238	0.001
OSD-147	spaceflight	Space Flight	9	9	sog1_dependent	137	160	0.5022	0.071	0.94503
OSD-147	spaceflight	Space Flight	9	9	sog1_independent	98	132	0.5329	1.132	0.25237
OSD-193	spaceflight	Space Flight	16	16	ddr_core	11	11	0.5687	0.771	0.44178
OSD-193	spaceflight	Space Flight	16	16	myb3r_repressed	263	283	0.4914	-0.479	0.62269
OSD-193	spaceflight	Space Flight	16	16	phase_early	347	400	0.544	2.931	0.0045
OSD-193	spaceflight	Space Flight	16	16	phase_late	347	400	0.5009	0.063	0.94303
OSD-193	spaceflight	Space Flight	16	16	phase_mid	366	400	0.4808	-1.302	0.1949
OSD-193	spaceflight	Space Flight	16	16	sog1_dependent	152	160	0.5139	0.578	0.56572
OSD-193	spaceflight	Space Flight	16	16	sog1_independent	114	132	0.4611	-1.421	0.15692
OSD-205	genotype	HSFA2 KO	6	10	ddr_core	10	11	0.5724	0.801	0.4078
OSD-205	genotype	HSFA2 KO	6	10	myb3r_repressed	230	283	0.4866	-0.688	0.48776
OSD-205	genotype	HSFA2 KO	6	10	phase_early	333	400	0.563	4.063	0.0005
OSD-205	genotype	HSFA2 KO	6	10	phase_late	320	400	0.5055	0.33	0.73363
OSD-205	genotype	HSFA2 KO	6	10	phase_mid	305	400	0.5245	1.463	0.13243
OSD-205	genotype	HSFA2 KO	6	10	sog1_dependent	137	160	0.5251	1.021	0.30935
OSD-205	genotype	HSFA2 KO	6	10	sog1_independent	98	132	0.4943	-0.184	0.84358
OSD-205	spaceflight	Space Flight	8	8	ddr_core	10	11	0.3103	-2.08	0.03898
OSD-205	spaceflight	Space Flight	8	8	myb3r_repressed	230	283	0.5054	0.305	0.75712
OSD-205	spaceflight	Space Flight	8	8	phase_early	333	400	0.5134	0.86	0.38281
OSD-205	spaceflight	Space Flight	8	8	phase_late	320	400	0.5532	3.436	0.0005
OSD-205	spaceflight	Space Flight	8	8	phase_mid	305	400	0.5494	2.957	0.0055
OSD-205	spaceflight	Space Flight	8	8	sog1_dependent	137	160	0.5008	0.032	0.97851
OSD-205	spaceflight	Space Flight	8	8	sog1_independent	98	132	0.5214	0.709	0.48976
OSD-217	spaceflight	Space Flight	6	6	ddr_core	10	11	0.5521	0.595	0.54323
OSD-217	spaceflight	Space Flight	6	6	myb3r_repressed	277	283	0.4746	-1.451	0.15042
OSD-217	spaceflight	Space Flight	6	6	phase_early	384	400	0.6467	10.131	0.0005
OSD-217	spaceflight	Space Flight	6	6	phase_late	380	400	0.4557	-3.044	0.0025
OSD-217	spaceflight	Space Flight	6	6	phase_mid	375	400	0.4977	-0.144	0.89305
OSD-217	spaceflight	Space Flight	6	6	sog1_dependent	153	160	0.4764	-1.032	0.29535
OSD-217	spaceflight	Space Flight	6	6	sog1_independent	124	132	0.5965	3.83	0.0005
OSD-218	spaceflight	Space Flight	16	16	ddr_core	11	11	0.6242	1.45	0.15442
OSD-218	spaceflight	Space Flight	16	16	myb3r_repressed	266	283	0.4872	-0.714	0.47426
OSD-218	spaceflight	Space Flight	16	16	phase_early	350	400	0.5661	4.24	0.0005
OSD-218	spaceflight	Space Flight	16	16	phase_late	351	400	0.4577	-2.704	0.01149
OSD-218	spaceflight	Space Flight	16	16	phase_mid	364	400	0.5059	0.42	0.67066
OSD-218	spaceflight	Space Flight	16	16	sog1_dependent	152	160	0.5085	0.381	0.71264
OSD-218	spaceflight	Space Flight	16	16	sog1_independent	116	132	0.4726	-1.002	0.32484
OSD-223	altered gravity	0.76G by centrifugation	14	10	ddr_core	11	11	0.3261	-2.038	0.03848
OSD-223	altered gravity	0.76G by centrifugation	14	10	myb3r_repressed	280	283	0.4217	-4.616	0.0005
OSD-223	altered gravity	0.76G by centrifugation	14	10	phase_early	385	400	0.4823	-1.222	0.21839
OSD-223	altered gravity	0.76G by centrifugation	14	10	phase_late	387	400	0.4863	-0.973	0.33433
OSD-223	altered gravity	0.76G by centrifugation	14	10	phase_mid	381	400	0.4493	-3.401	0.0005
OSD-223	altered gravity	0.76G by centrifugation	14	10	sog1_dependent	155	160	0.5033	0.151	0.87706
OSD-223	altered gravity	0.76G by centrifugation	14	10	sog1_independent	125	132	0.4343	-2.674	0.007
OSD-223	altered gravity	uG	16	10	ddr_core	11	11	0.3118	-2.163	0.02949
OSD-223	altered gravity	uG	16	10	myb3r_repressed	280	283	0.4575	-2.468	0.01099
OSD-223	altered gravity	uG	16	10	phase_early	385	400	0.294	-14.018	0.0005
OSD-223	altered gravity	uG	16	10	phase_late	387	400	0.4858	-0.954	0.33133
OSD-223	altered gravity	uG	16	10	phase_mid	381	400	0.4391	-4.044	0.0005
OSD-223	altered gravity	uG	16	10	sog1_dependent	155	160	0.4898	-0.459	0.63618
OSD-223	altered gravity	uG	16	10	sog1_independent	125	132	0.3676	-5.091	0.0005
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	ddr_core	11	11	0.3215	-2.027	0.04048
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	myb3r_repressed	280	283	0.4892	-0.628	0.54823
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	phase_early	385	400	0.3112	-13.181	0.0005
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	phase_late	387	400	0.5531	3.701	0.0005
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	phase_mid	381	400	0.3708	-8.702	0.0005
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	sog1_dependent	155	160	0.4212	-3.342	0.0005
OSD-223	genotype	InsP 5-ptase Transgenic	20	20	sog1_independent	125	132	0.4144	-3.397	0.0005
OSD-223	spaceflight	Space Flight	30	10	ddr_core	11	11	0.312	-2.136	0.02949
OSD-223	spaceflight	Space Flight	30	10	myb3r_repressed	280	283	0.4325	-3.998	0.0005
OSD-223	spaceflight	Space Flight	30	10	phase_early	385	400	0.3582	-9.709	0.0005
OSD-223	spaceflight	Space Flight	30	10	phase_late	387	400	0.4871	-0.907	0.37481
OSD-223	spaceflight	Space Flight	30	10	phase_mid	381	400	0.4428	-3.762	0.0005
OSD-223	spaceflight	Space Flight	30	10	sog1_dependent	155	160	0.4989	-0.091	0.93003
OSD-223	spaceflight	Space Flight	30	10	sog1_independent	125	132	0.3892	-4.349	0.0005
OSD-251	altered gravity	0.09G by centrifugation	3	3	ddr_core	10	11	0.53	0.352	0.72564
OSD-251	altered gravity	0.09G by centrifugation	3	3	myb3r_repressed	263	283	0.6454	8.514	0.0005
OSD-251	altered gravity	0.09G by centrifugation	3	3	phase_early	369	400	0.3048	-13.201	0.0005
OSD-251	altered gravity	0.09G by centrifugation	3	3	phase_late	333	400	0.4911	-0.523	0.6047
OSD-251	altered gravity	0.09G by centrifugation	3	3	phase_mid	356	400	0.5651	4.383	0.0005
OSD-251	altered gravity	0.09G by centrifugation	3	3	sog1_dependent	151	160	0.4731	-1.17	0.24488
OSD-251	altered gravity	0.09G by centrifugation	3	3	sog1_independent	125	132	0.4188	-3.142	0.0005
OSD-251	altered gravity	0.18G by centrifugation	3	3	ddr_core	10	11	0.332	-1.819	0.07046
OSD-251	altered gravity	0.18G by centrifugation	3	3	myb3r_repressed	263	283	0.6644	9.046	0.0005
OSD-251	altered gravity	0.18G by centrifugation	3	3	phase_early	369	400	0.3138	-12.11	0.0005
OSD-251	altered gravity	0.18G by centrifugation	3	3	phase_late	333	400	0.5429	2.721	0.0045
OSD-251	altered gravity	0.18G by centrifugation	3	3	phase_mid	356	400	0.629	8.248	0.0005
OSD-251	altered gravity	0.18G by centrifugation	3	3	sog1_dependent	151	160	0.4784	-0.935	0.34383
OSD-251	altered gravity	0.18G by centrifugation	3	3	sog1_independent	125	132	0.4021	-3.811	0.0005
OSD-251	altered gravity	0.36G by centrifugation	3	3	ddr_core	10	11	0.3955	-1.175	0.24338
OSD-251	altered gravity	0.36G by centrifugation	3	3	myb3r_repressed	263	283	0.6109	6.265	0.0005
OSD-251	altered gravity	0.36G by centrifugation	3	3	phase_early	369	400	0.3155	-12.528	0.0005
OSD-251	altered gravity	0.36G by centrifugation	3	3	phase_late	333	400	0.5632	4.054	0.0005
OSD-251	altered gravity	0.36G by centrifugation	3	3	phase_mid	356	400	0.5598	4.043	0.0005
OSD-251	altered gravity	0.36G by centrifugation	3	3	sog1_dependent	151	160	0.4921	-0.336	0.74713
OSD-251	altered gravity	0.36G by centrifugation	3	3	sog1_independent	125	132	0.4187	-3.15	0.0015
OSD-251	altered gravity	0.57G by centrifugation	4	3	ddr_core	10	11	0.2827	-2.374	0.01949
OSD-251	altered gravity	0.57G by centrifugation	4	3	myb3r_repressed	263	283	0.5471	2.744	0.005
OSD-251	altered gravity	0.57G by centrifugation	4	3	phase_early	369	400	0.2863	-14.527	0.0005
OSD-251	altered gravity	0.57G by centrifugation	4	3	phase_late	333	400	0.532	2.044	0.04648
OSD-251	altered gravity	0.57G by centrifugation	4	3	phase_mid	356	400	0.4758	-1.595	0.11444
OSD-251	altered gravity	0.57G by centrifugation	4	3	sog1_dependent	151	160	0.4747	-1.106	0.26637
OSD-251	altered gravity	0.57G by centrifugation	4	3	sog1_independent	125	132	0.3753	-4.816	0.0005
OSD-251	altered gravity	uG	4	3	ddr_core	10	11	0.3405	-1.749	0.07646
OSD-251	altered gravity	uG	4	3	myb3r_repressed	263	283	0.7014	11.455	0.0005
OSD-251	altered gravity	uG	4	3	phase_early	369	400	0.3292	-11.384	0.0005
OSD-251	altered gravity	uG	4	3	phase_late	333	400	0.5274	1.73	0.08496
OSD-251	altered gravity	uG	4	3	phase_mid	356	400	0.602	6.669	0.0005
OSD-251	altered gravity	uG	4	3	sog1_dependent	151	160	0.4631	-1.603	0.10995
OSD-251	altered gravity	uG	4	3	sog1_independent	125	132	0.4156	-3.293	0.0015
OSD-281	spaceflight	Space Flight	16	16	ddr_core	11	11	0.5864	1.011	0.31734
OSD-281	spaceflight	Space Flight	16	16	myb3r_repressed	264	283	0.4436	-3.232	0.003
OSD-281	spaceflight	Space Flight	16	16	phase_early	349	400	0.4926	-0.504	0.6092
OSD-281	spaceflight	Space Flight	16	16	phase_late	344	400	0.4334	-4.241	0.0005
OSD-281	spaceflight	Space Flight	16	16	phase_mid	363	400	0.4561	-3.014	0.0045
OSD-281	spaceflight	Space Flight	16	16	sog1_dependent	154	160	0.5264	1.109	0.28036
OSD-281	spaceflight	Space Flight	16	16	sog1_independent	115	132	0.4537	-1.714	0.07746
OSD-282	treatment	Heat and anoxia-treated	2	2	ddr_core	10	11	0.4874	-0.136	0.89855
OSD-282	treatment	Heat and anoxia-treated	2	2	myb3r_repressed	230	283	0.3595	-7.372	0.0005
OSD-282	treatment	Heat and anoxia-treated	2	2	phase_early	333	400	0.6351	8.517	0.0005
OSD-282	treatment	Heat and anoxia-treated	2	2	phase_late	320	400	0.474	-1.64	0.09745
OSD-282	treatment	Heat and anoxia-treated	2	2	phase_mid	305	400	0.4335	-4.141	0.0005
OSD-282	treatment	Heat and anoxia-treated	2	2	sog1_dependent	137	160	0.5217	0.936	0.34783
OSD-282	treatment	Heat and anoxia-treated	2	2	sog1_independent	98	132	0.6116	3.795	0.0005
OSD-282	treatment	heat-treated	2	2	ddr_core	10	11	0.5724	0.779	0.44078
OSD-282	treatment	heat-treated	2	2	myb3r_repressed	230	283	0.3513	-7.78	0.0005
OSD-282	treatment	heat-treated	2	2	phase_early	333	400	0.5102	0.661	0.50075
OSD-282	treatment	heat-treated	2	2	phase_late	320	400	0.39	-6.834	0.0005
OSD-282	treatment	heat-treated	2	2	phase_mid	305	400	0.3963	-6.317	0.0005
OSD-282	treatment	heat-treated	2	2	sog1_dependent	137	160	0.4911	-0.368	0.72564
OSD-282	treatment	heat-treated	2	2	sog1_independent	98	132	0.5145	0.463	0.65867
OSD-282	treatment	Anoxia-treated	2	2	ddr_core	10	11	0.665	1.851	0.06197
OSD-282	treatment	Anoxia-treated	2	2	myb3r_repressed	230	283	0.4368	-3.414	0.001
OSD-282	treatment	Anoxia-treated	2	2	phase_early	333	400	0.6429	9.052	0.0005
OSD-282	treatment	Anoxia-treated	2	2	phase_late	320	400	0.5327	2.023	0.04098
OSD-282	treatment	Anoxia-treated	2	2	phase_mid	305	400	0.4777	-1.322	0.18741
OSD-282	treatment	Anoxia-treated	2	2	sog1_dependent	137	160	0.5246	0.987	0.31384
OSD-282	treatment	Anoxia-treated	2	2	sog1_independent	98	132	0.5785	2.758	0.0085
OSD-296	genotype	cop-1	12	12	ddr_core	10	11	0.4815	-0.198	0.85757
OSD-296	genotype	cop-1	12	12	myb3r_repressed	230	283	0.4414	-3.152	0.0035
OSD-296	genotype	cop-1	12	12	phase_early	333	400	0.4253	-4.751	0.0005
OSD-296	genotype	cop-1	12	12	phase_late	320	400	0.5004	0.039	0.97151
OSD-296	genotype	cop-1	12	12	phase_mid	305	400	0.4843	-0.942	0.34033
OSD-296	genotype	cop-1	12	12	sog1_dependent	137	160	0.4993	-0.005	0.998
OSD-296	genotype	cop-1	12	12	sog1_independent	98	132	0.4016	-3.306	0.003
OSD-296	genotype	uvr-8	12	12	ddr_core	10	11	0.4885	-0.151	0.87906
OSD-296	genotype	uvr-8	12	12	myb3r_repressed	230	283	0.6548	8.188	0.0005
OSD-296	genotype	uvr-8	12	12	phase_early	333	400	0.4952	-0.252	0.81109
OSD-296	genotype	uvr-8	12	12	phase_late	320	400	0.5566	3.504	0.0015
OSD-296	genotype	uvr-8	12	12	phase_mid	305	400	0.6383	8.402	0.0005
OSD-296	genotype	uvr-8	12	12	sog1_dependent	137	160	0.5668	2.698	0.004
OSD-296	genotype	uvr-8	12	12	sog1_independent	98	132	0.49	-0.329	0.75062
OSD-313	genotype	Nuc1-2 Mutant	6	6	ddr_core	11	11	0.7708	3.134	0.0015
OSD-313	genotype	Nuc1-2 Mutant	6	6	myb3r_repressed	269	283	0.6721	10.059	0.0005
OSD-313	genotype	Nuc1-2 Mutant	6	6	phase_early	380	400	0.5995	6.658	0.0005
OSD-313	genotype	Nuc1-2 Mutant	6	6	phase_late	358	400	0.561	4.165	0.0005
OSD-313	genotype	Nuc1-2 Mutant	6	6	phase_mid	370	400	0.7538	17.2	0.0005
OSD-313	genotype	Nuc1-2 Mutant	6	6	sog1_dependent	156	160	0.6127	4.843	0.0005
OSD-313	genotype	Nuc1-2 Mutant	6	6	sog1_independent	126	132	0.5683	2.669	0.0085
OSD-313	genotype	Nuc2-2 Mutant	6	6	ddr_core	11	11	0.558	0.693	0.51174
OSD-313	genotype	Nuc2-2 Mutant	6	6	myb3r_repressed	269	283	0.537	2.204	0.02299
OSD-313	genotype	Nuc2-2 Mutant	6	6	phase_early	380	400	0.6538	10.384	0.0005
OSD-313	genotype	Nuc2-2 Mutant	6	6	phase_late	358	400	0.5313	2.104	0.03248
OSD-313	genotype	Nuc2-2 Mutant	6	6	phase_mid	370	400	0.5347	2.314	0.01949
OSD-313	genotype	Nuc2-2 Mutant	6	6	sog1_dependent	156	160	0.5188	0.778	0.43128
OSD-313	genotype	Nuc2-2 Mutant	6	6	sog1_independent	126	132	0.5536	2.088	0.04198
OSD-314	altered gravity	0.34G by centrifugation	6	6	ddr_core	11	11	0.4705	-0.358	0.71064
OSD-314	altered gravity	0.34G by centrifugation	6	6	myb3r_repressed	270	283	0.3049	-11.335	0.0005
OSD-314	altered gravity	0.34G by centrifugation	6	6	phase_early	377	400	0.5941	6.655	0.0005
OSD-314	altered gravity	0.34G by centrifugation	6	6	phase_late	353	400	0.4159	-5.514	0.0005
OSD-314	altered gravity	0.34G by centrifugation	6	6	phase_mid	359	400	0.3893	-7.18	0.0005
OSD-314	altered gravity	0.34G by centrifugation	6	6	sog1_dependent	153	160	0.5081	0.356	0.72114
OSD-314	altered gravity	0.34G by centrifugation	6	6	sog1_independent	122	132	0.5201	0.777	0.42829
OSD-314	altered gravity	uG	5	6	ddr_core	11	11	0.4869	-0.168	0.87006
OSD-314	altered gravity	uG	5	6	myb3r_repressed	270	283	0.3476	-8.474	0.0005
OSD-314	altered gravity	uG	5	6	phase_early	377	400	0.3797	-8.056	0.0005
OSD-314	altered gravity	uG	5	6	phase_late	353	400	0.4309	-4.554	0.0005
OSD-314	altered gravity	uG	5	6	phase_mid	359	400	0.4206	-5.381	0.0005
OSD-314	altered gravity	uG	5	6	sog1_dependent	153	160	0.5377	1.649	0.09395
OSD-314	altered gravity	uG	5	6	sog1_independent	122	132	0.4747	-0.965	0.33783
OSD-314	spaceflight	Space Flight	11	6	ddr_core	11	11	0.466	-0.344	0.73463
OSD-314	spaceflight	Space Flight	11	6	myb3r_repressed	270	283	0.2972	-11.642	0.0005
OSD-314	spaceflight	Space Flight	11	6	phase_early	377	400	0.5197	1.316	0.18791
OSD-314	spaceflight	Space Flight	11	6	phase_late	353	400	0.4067	-6.146	0.0005
OSD-314	spaceflight	Space Flight	11	6	phase_mid	359	400	0.3925	-7.108	0.0005
OSD-314	spaceflight	Space Flight	11	6	sog1_dependent	153	160	0.5253	1.083	0.27686
OSD-314	spaceflight	Space Flight	11	6	sog1_independent	122	132	0.4936	-0.223	0.81809
OSD-320	genotype	atm-1	20	24	ddr_core	10	11	0.1267	-4.098	0.0005
OSD-320	genotype	atm-1	20	24	myb3r_repressed	230	283	0.7887	15.289	0.0005
OSD-320	genotype	atm-1	20	24	phase_early	333	400	0.1828	-19.842	0.0005
OSD-320	genotype	atm-1	20	24	phase_late	320	400	0.6306	8.417	0.0005
OSD-320	genotype	atm-1	20	24	phase_mid	305	400	0.5876	5.444	0.0005
OSD-320	genotype	atm-1	20	24	sog1_dependent	137	160	0.0284	-19.745	0.0005
OSD-320	genotype	atm-1	20	24	sog1_independent	98	132	0.1953	-10.492	0.0005
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	ddr_core	10	11	0.7831	3.157	0.001
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	myb3r_repressed	230	283	0.2333	-14.286	0.0005
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	phase_early	333	400	0.6913	11.998	0.0005
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	phase_late	320	400	0.4356	-4.066	0.0005
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	phase_mid	305	400	0.4625	-2.234	0.02699
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	sog1_dependent	137	160	0.9301	17.561	0.0005
OSD-320	ionizing radiation	Cesium-137 gamma radiation	18	8	sog1_independent	98	132	0.7053	7.284	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	ddr_core	10	11	0.9338	4.708	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	myb3r_repressed	230	283	0.2332	-14.009	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	phase_early	333	400	0.8365	21.54	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	phase_late	320	400	0.4238	-4.631	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	phase_mid	305	400	0.4197	-5.028	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	sog1_dependent	137	160	0.9161	16.811	0.0005
OSD-320	ionizing radiation	Fe-56 ion radiation	18	8	sog1_independent	98	132	0.7687	9.623	0.0005
OSD-321	genotype	bzip28-2	8	10	ddr_core	11	11	0.053	-5.214	0.0005
OSD-321	genotype	bzip28-2	8	10	myb3r_repressed	252	283	0.5984	5.31	0.0005
OSD-321	genotype	bzip28-2	8	10	phase_early	350	400	0.3913	-7.054	0.0005
OSD-321	genotype	bzip28-2	8	10	phase_late	317	400	0.5424	2.609	0.01
OSD-321	genotype	bzip28-2	8	10	phase_mid	357	400	0.5147	1.012	0.29385
OSD-321	genotype	bzip28-2	8	10	sog1_dependent	153	160	0.298	-8.652	0.0005
OSD-321	genotype	bzip28-2	8	10	sog1_independent	116	132	0.4391	-2.258	0.02649
OSD-321	genotype	bzip60-2	8	10	ddr_core	11	11	0.1032	-4.546	0.0005
OSD-321	genotype	bzip60-2	8	10	myb3r_repressed	252	283	0.5122	0.668	0.51024
OSD-321	genotype	bzip60-2	8	10	phase_early	350	400	0.3019	-13.117	0.0005
OSD-321	genotype	bzip60-2	8	10	phase_late	317	400	0.4559	-2.665	0.0085
OSD-321	genotype	bzip60-2	8	10	phase_mid	357	400	0.412	-5.923	0.0005
OSD-321	genotype	bzip60-2	8	10	sog1_dependent	153	160	0.2954	-8.877	0.0005
OSD-321	genotype	bzip60-2	8	10	sog1_independent	116	132	0.3398	-6.078	0.0005
OSD-321	genotype	bzip28-2 bzip60-1	10	10	ddr_core	11	11	0.091	-4.679	0.0005
OSD-321	genotype	bzip28-2 bzip60-1	10	10	myb3r_repressed	252	283	0.6183	6.719	0.0005
OSD-321	genotype	bzip28-2 bzip60-1	10	10	phase_early	350	400	0.3591	-9.197	0.0005
OSD-321	genotype	bzip28-2 bzip60-1	10	10	phase_late	317	400	0.471	-1.826	0.07096
OSD-321	genotype	bzip28-2 bzip60-1	10	10	phase_mid	357	400	0.503	0.176	0.85257
OSD-321	genotype	bzip28-2 bzip60-1	10	10	sog1_dependent	153	160	0.3015	-8.517	0.0005
OSD-321	genotype	bzip28-2 bzip60-1	10	10	sog1_independent	116	132	0.3772	-4.729	0.0005
