accession	factor	level	n_treated	n_control	gene_set	n_set_genes_measured	n_set_genes_total	mean_rank	z	p_empirical
OSD-7	spaceflight	Space Flight	18	18	ddr_core	10	11	0.6372	1.477	0.13643
OSD-7	spaceflight	Space Flight	18	18	myb3r_repressed	230	283	0.375	-6.536	0.0005
OSD-7	spaceflight	Space Flight	18	18	phase_early	333	400	0.756	16.141	0.0005
OSD-7	spaceflight	Space Flight	18	18	phase_late	320	400	0.5118	0.729	0.46277
OSD-7	spaceflight	Space Flight	18	18	phase_mid	305	400	0.4231	-4.734	0.0005
OSD-7	spaceflight	Space Flight	18	18	sog1_dependent	137	160	0.5339	1.365	0.16592
OSD-7	spaceflight	Space Flight	18	18	sog1_independent	98	132	0.6865	6.416	0.0005
OSD-17	spaceflight	Space Flight	12	12	ddr_core	10	11	0.5601	0.683	0.50275
OSD-17	spaceflight	Space Flight	12	12	myb3r_repressed	230	283	0.5071	0.344	0.73163
OSD-17	spaceflight	Space Flight	12	12	phase_early	333	400	0.4312	-4.458	0.0005
OSD-17	spaceflight	Space Flight	12	12	phase_late	320	400	0.461	-2.513	0.01249
OSD-17	spaceflight	Space Flight	12	12	phase_mid	305	400	0.5168	1.06	0.28186
OSD-17	spaceflight	Space Flight	12	12	sog1_dependent	137	160	0.5362	1.474	0.14843
OSD-17	spaceflight	Space Flight	12	12	sog1_independent	98	132	0.527	0.938	0.36282
OSD-37	spaceflight	Space Flight	28	28	ddr_core	10	11	0.7392	2.636	0.008
OSD-37	spaceflight	Space Flight	28	28	myb3r_repressed	224	283	0.4714	-1.534	0.11994
OSD-37	spaceflight	Space Flight	28	28	phase_early	351	400	0.6078	7.108	0.0005
OSD-37	spaceflight	Space Flight	28	28	phase_late	288	400	0.3891	-6.631	0.0005
OSD-37	spaceflight	Space Flight	28	28	phase_mid	291	400	0.531	1.83	0.07246
OSD-37	spaceflight	Space Flight	28	28	sog1_dependent	144	160	0.5498	2.074	0.03898
OSD-37	spaceflight	Space Flight	28	28	sog1_independent	115	132	0.5383	1.435	0.16242
OSD-38	spaceflight	Space Flight	3	9	ddr_core	10	11	0.5552	0.561	0.57621
OSD-38	spaceflight	Space Flight	3	9	myb3r_repressed	268	283	0.5275	1.563	0.11944
OSD-38	spaceflight	Space Flight	3	9	phase_early	375	400	0.3063	-13.134	0.0005
OSD-38	spaceflight	Space Flight	3	9	phase_late	348	400	0.361	-9.097	0.0005
OSD-38	spaceflight	Space Flight	3	9	phase_mid	363	400	0.5012	0.087	0.93103
OSD-38	spaceflight	Space Flight	3	9	sog1_dependent	152	160	0.4578	-1.832	0.05797
OSD-38	spaceflight	Space Flight	3	9	sog1_independent	122	132	0.4237	-2.881	0.004
OSD-44	genotype	act2-3	6	6	ddr_core	10	11	0.4352	-0.737	0.46677
OSD-44	genotype	act2-3	6	6	myb3r_repressed	230	283	0.5501	2.584	0.01099
OSD-44	genotype	act2-3	6	6	phase_early	333	400	0.6244	7.881	0.0005
OSD-44	genotype	act2-3	6	6	phase_late	320	400	0.5425	2.661	0.008
OSD-44	genotype	act2-3	6	6	phase_mid	305	400	0.5438	2.706	0.007
OSD-44	genotype	act2-3	6	6	sog1_dependent	137	160	0.4814	-0.75	0.44178
OSD-44	genotype	act2-3	6	6	sog1_independent	98	132	0.6199	4.08	0.0005
OSD-44	spaceflight	Space Flight	6	6	ddr_core	10	11	0.4678	-0.38	0.71014
OSD-44	spaceflight	Space Flight	6	6	myb3r_repressed	230	283	0.3999	-5.357	0.0005
OSD-44	spaceflight	Space Flight	6	6	phase_early	333	400	0.5325	2.121	0.03498
OSD-44	spaceflight	Space Flight	6	6	phase_late	320	400	0.4537	-2.92	0.0015
OSD-44	spaceflight	Space Flight	6	6	phase_mid	305	400	0.4081	-5.579	0.0005
OSD-44	spaceflight	Space Flight	6	6	sog1_dependent	137	160	0.4636	-1.437	0.16542
OSD-44	spaceflight	Space Flight	6	6	sog1_independent	98	132	0.5073	0.234	0.82059
OSD-120	spaceflight	Space Flight	36	36	ddr_core	11	11	0.375	-1.415	0.16042
OSD-120	spaceflight	Space Flight	36	36	myb3r_repressed	248	283	0.396	-5.715	0.0005
OSD-120	spaceflight	Space Flight	36	36	phase_early	341	400	0.6785	11.395	0.0005
