probeset	FC_front	FC_rear	FS_front	FS_rear	GS_front	GS_rear
244901_at	7.03485165916427	6.74758806671452	9.21494615529853	8.64894830261961	6.53303895365969	6.69969462058764
244902_at	6.6555465357164	6.51249146491705	9.08663769067569	8.52574306160789	6.1225369467802	6.19863700727132
244903_at	9.76516427091204	8.41345193077186	11.8464767970617	11.4538830105616	9.671216241112	10.0566737943483
244904_at	7.43173240955659	7.31249844017593	9.30238784443668	9.13358653318982	7.06271423097712	7.37354781409148
244905_at	3.96812412243042	4.02384770664701	4.10643180793462	4.13641123422312	3.70097606105899	4.1094571232846
244906_at	9.6943356816822	9.47604838808783	11.4372017312592	11.2333275079143	8.93204108051778	9.35621008447822
244907_at	4.4418765873584	4.51531212454519	6.73819759174209	5.77190857869845	4.32138178100124	4.77792593481586
244908_at	4.9538881615305	4.66691138862411	6.75625108160576	6.57342356057065	4.35531655634825	4.62573586411668
244909_at	4.8916194181387	4.84290314526702	5.19742784987981	5.24538408320301	4.06956037470907	4.32553887175808
244910_s_at	4.04964755698564	3.90009024209723	4.68842234041485	4.4129180502919	3.74976557905033	3.7631804652094
244911_at	3.42132942269276	3.27803295409318	5.34277546164729	5.26483399694046	3.09218460724979	3.28421190214259
244912_at	10.8742840847353	11.2881469557638	12.3149348893665	11.8102577736619	10.5935058832657	10.5609298100933
244913_at	4.77749063996947	4.79731770763741	4.89231541039327	4.91114456638797	4.38492703048195	4.88393360856826
244914_at	3.30340016480264	3.38319287652088	5.14723970272138	4.58740248907516	3.32618327386289	3.44294672707059
244915_s_at	4.39006833672182	4.64444018944354	4.69091493521344	4.47579842354378	4.55348709550986	4.6250532072393
244916_at	3.92739671178844	3.99880872787862	3.88655302848544	4.36642851019935	4.02324616400095	3.83866631237978
244917_at	3.99580611780879	4.29094106102575	4.36128685237198	4.43274292028984	4.0545615745672	4.02141809168461
244918_at	4.08351780586788	3.78211869555526	5.27929492761767	5.39354973686312	3.57997417185772	3.78819494064533
244919_at	7.19255514527775	7.12116154795212	9.12420835138916	8.5215328121234	6.57102604974466	6.82459406116067
244920_s_at	7.73652216419148	7.80460054900911	9.66989568788348	9.21302634290277	7.4133507036773	7.80535762605316
244921_s_at	7.65673908022921	7.60246584275488	9.63732323239635	9.28103767899671	6.90403089522634	7.55093683790115
244922_s_at	6.03932382816274	5.97173823152862	8.5103981081902	8.29418722639588	6.33640436408346	6.73288195893784
244923_s_at	7.18606922786471	7.14557667219513	8.96624389825261	9.11373135482575	6.69206690291582	7.2662376678209
