accession,sample_name,cohort,cohort_name,role,genotype,arm,time_minutes,time_days,dose,radiation,spaceflight,altered_gravity,organism_part
OSD-218,SAMN06465268,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465269,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465270,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465272,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465273,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465275,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465276,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468812,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468813,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468814,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468815,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468816,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468817,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468818,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468819,B,spaceflight_development,core,Sku5,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468820,B,spaceflight_development,core,Sku5,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468821,B,spaceflight_development,core,WS,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468822,B,spaceflight_development,core,Sku5,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468823,B,spaceflight_development,core,Sku5,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468824,B,spaceflight_development,core,Sku5,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468825,B,spaceflight_development,core,Sku5,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468826,B,spaceflight_development,core,Sku5,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468827,B,spaceflight_development,core,Sku5,control,11520,8,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468828,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468829,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468830,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468831,B,spaceflight_development,core,Sku5,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468832,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468833,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468834,B,spaceflight_development,core,Sku5,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468835,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468836,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468837,B,spaceflight_development,core,Sku5,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468838,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468839,B,spaceflight_development,core,Sku5,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-281,SAMN06468840,B,spaceflight_development,core,Sku5,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468841,B,spaceflight_development,core,Sku5,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468842,B,spaceflight_development,core,Sku5,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-281,SAMN06468844,B,spaceflight_development,core,Sku5,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-437,A4Ex_248,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A4_208,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A4_223,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A4_258,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A6Ex_243,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A6_203,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A6_213,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,A6_253,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,1G by centrifugation,NaN
OSD-437,B4Ex_236,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,uG,NaN
OSD-437,B4_237,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,uG,NaN
OSD-437,B4_238,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,uG,NaN
OSD-437,B4_269,B,spaceflight_development,core,Wild Type,treated,5760,4,NaN,NaN,Space Flight,uG,NaN
OSD-437,B6Ex_220,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,uG,NaN
OSD-437,B6_219,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,uG,NaN
OSD-437,B6_232,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,uG,NaN
OSD-437,B6_233,B,spaceflight_development,core,Wild Type,treated,8640,6,NaN,NaN,Space Flight,uG,NaN
OSD-437,G6_283,B,spaceflight_development,core,Wild Type,control,8640,6,NaN,NaN,Ground Control,1G on Earth,NaN
OSD-437,G6_284,B,spaceflight_development,core,Wild Type,control,8640,6,NaN,NaN,Ground Control,1G on Earth,NaN
OSD-437,G6_286,B,spaceflight_development,core,Wild Type,control,8640,6,NaN,NaN,Ground Control,1G on Earth,NaN
