accession,sample_name,cohort,cohort_name,role,genotype,arm,time_minutes,time_days,dose,radiation,spaceflight,altered_gravity,organism_part
OSD-508,GSM3082856,A,gamma_irradiation,core,sog1-1,treated,10,0.00694444,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082857,A,gamma_irradiation,core,sog1-1,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082858,A,gamma_irradiation,core,sog1-1,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082859,A,gamma_irradiation,core,sog1-1,treated,45,0.03125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082860,A,gamma_irradiation,core,sog1-1,treated,45,0.03125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082861,A,gamma_irradiation,core,sog1-1,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082862,A,gamma_irradiation,core,sog1-1,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082863,A,gamma_irradiation,core,sog1-1,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082864,A,gamma_irradiation,core,sog1-1,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082865,A,gamma_irradiation,core,sog1-1,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082866,A,gamma_irradiation,core,sog1-1,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082867,A,gamma_irradiation,core,sog1-1,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082868,A,gamma_irradiation,core,sog1-1,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082869,A,gamma_irradiation,core,sog1-1,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-508,GSM3082870,A,gamma_irradiation,core,sog1-1,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072302,A,gamma_irradiation,core,Wild Type,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072303,A,gamma_irradiation,core,Wild Type,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072304,A,gamma_irradiation,core,Wild Type,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072305,A,gamma_irradiation,core,Wild Type,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072306,A,gamma_irradiation,core,Wild Type,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072307,A,gamma_irradiation,core,Wild Type,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072308,A,gamma_irradiation,core,Wild Type,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072309,A,gamma_irradiation,core,Wild Type,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072310,A,gamma_irradiation,core,Wild Type,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072311,A,gamma_irradiation,core,Wild Type,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072312,A,gamma_irradiation,core,Wild Type,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072313,A,gamma_irradiation,core,Wild Type,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072314,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072315,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072316,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072317,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072318,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072319,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072320,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072321,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072322,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072323,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072324,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072325,A,gamma_irradiation,core,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072326,A,gamma_irradiation,core,sog1-1,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072327,A,gamma_irradiation,core,sog1-1,treated,20,0.0138889,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072328,A,gamma_irradiation,core,sog1-1,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072329,A,gamma_irradiation,core,sog1-1,treated,90,0.0625,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072330,A,gamma_irradiation,core,sog1-1,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072331,A,gamma_irradiation,core,sog1-1,treated,180,0.125,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072332,A,gamma_irradiation,core,sog1-1,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072333,A,gamma_irradiation,core,sog1-1,treated,360,0.25,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072334,A,gamma_irradiation,core,sog1-1,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072335,A,gamma_irradiation,core,sog1-1,treated,720,0.5,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072336,A,gamma_irradiation,core,sog1-1,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072337,A,gamma_irradiation,core,sog1-1,treated,1440,1,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-510,GSM3072338,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072339,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072340,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072341,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072342,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072343,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072344,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072345,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072346,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072347,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072348,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-510,GSM3072349,A,gamma_irradiation,core,sog1-1,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623649,A,gamma_irradiation,extension_holdout,Wild Type,control,60,0.0416667,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623650,A,gamma_irradiation,extension_holdout,Wild Type,control,60,0.0416667,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623651,A,gamma_irradiation,extension_holdout,Wild Type,control,60,0.0416667,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623652,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623653,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623654,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623655,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623656,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623657,A,gamma_irradiation,extension_holdout,Wild Type,treated,60,0.0416667,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623658,A,gamma_irradiation,extension_holdout,Wild Type,control,180,0.125,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623659,A,gamma_irradiation,extension_holdout,Wild Type,control,180,0.125,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623660,A,gamma_irradiation,extension_holdout,Wild Type,control,180,0.125,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623661,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623662,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623663,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623664,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623665,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623666,A,gamma_irradiation,extension_holdout,Wild Type,treated,180,0.125,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623667,A,gamma_irradiation,extension_holdout,Wild Type,control,1440,1,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623668,A,gamma_irradiation,extension_holdout,Wild Type,control,1440,1,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623669,A,gamma_irradiation,extension_holdout,Wild Type,control,1440,1,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623670,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623671,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623672,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623673,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623674,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623675,A,gamma_irradiation,extension_holdout,Wild Type,treated,1440,1,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623676,A,gamma_irradiation,extension_holdout,Wild Type,control,4320,3,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623677,A,gamma_irradiation,extension_holdout,Wild Type,control,4320,3,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623678,A,gamma_irradiation,extension_holdout,Wild Type,control,4320,3,0 {centigray},non-irradiated,NaN,NaN,NaN
OSD-782,GSM7623679,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623680,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623681,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,10 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623682,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623683,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-782,GSM7623684,A,gamma_irradiation,extension_holdout,Wild Type,treated,4320,3,100 {centigray},cesium-137 gamma radiation,NaN,NaN,NaN
OSD-502,GSM3072483,A,gamma_irradiation,anchor,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-502,GSM3072484,A,gamma_irradiation,anchor,Wild Type,treated,,,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-502,GSM3072485,A,gamma_irradiation,anchor,myb3r135,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-502,GSM3072486,A,gamma_irradiation,anchor,myb3r135,treated,,,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-502,GSM3072487,A,gamma_irradiation,anchor,Wild Type,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-502,GSM3072488,A,gamma_irradiation,anchor,Wild Type,treated,,,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-502,GSM3072489,A,gamma_irradiation,anchor,myb3r135,control,,,NaN,non-irradiated,NaN,NaN,NaN
OSD-502,GSM3072490,A,gamma_irradiation,anchor,myb3r135,treated,,,NaN,Cobalt-60 gamma radiation,NaN,NaN,NaN
OSD-193,GSM2516735,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
