TF	name	n_missions	flight_mean_z	sign_consistency	flight_t	flight_p	radiation_mean_z	flight_vs_radiation_t	flight_vs_radiation_p	flight_q	flight_vs_radiation_q
AT1G23810		14	1.0036	1.0	4.737	0.0003886515706468081	-0.1622	2.334	0.03633860574730796	0.18422084448658702	0.14066732114265418
AT1G10720		14	0.8838	0.857	3.998	0.0015163766667882753	-0.8037	4.501	0.00028788764542746415	0.35938127002882125	0.007182039154348316
AT3G11020		14	1.1215	0.786	3.695	0.0026980781108474497	0.5346	1.068	0.30098828807866906	0.426296341513897	0.5104849346839945
AT3G02990		14	1.3294	0.857	3.489	0.0039990329460225585	-0.1935	2.245	0.03855996634068204	0.4738854041036732	0.14562363453322416
AT2G31230		14	1.0217	0.857	3.335	0.0053715369906166014	-1.7061	3.491	0.004306777596343852	0.5092217067104539	0.04252942876389554
AT5G08130		14	0.9761	0.857	3.216	0.0067528906884266856	-1.2831	4.532	0.00024744174488976325	0.5334783643857082	0.006515965948763766
AT2G41690		14	0.7532	0.857	3.085	0.008701868209943361	-0.0283	1.852	0.0811343992922056	0.561008150125738	0.22891491228872296
AT2G38340		14	1.1526	0.786	2.923	0.01187790465200201	1.178	-0.047	0.9626082648614249	0.561008150125738	0.9818084087669229
AT3G23240		14	0.9486	0.929	2.88	0.01289149677351953	-0.4692	1.606	0.13437622915425326	0.561008150125738	0.3155093520716411
AT5G43840		14	1.2711	0.857	2.877	0.01296070962404094	0.315	1.2	0.2469804588259027	0.561008150125738	0.45214746743067014
AT2G15660		14	1.2927	0.714	2.796	0.015132714468667331	-0.1018	1.634	0.12156705479777814	0.561008150125738	0.29399379578646345
AT2G33710		14	1.1805	0.786	2.773	0.015833746454913717	-1.853	3.75	0.0018107901048248335	0.561008150125738	0.023842069713526974
AT5G06100		14	-0.7822	0.786	-2.752	0.0164638348132807	-1.5426	1.417	0.17589471567950768	0.561008150125738	0.36662345469116275
AT3G24120		14	1.0762	0.714	2.718	0.017594854271255272	0.6801	0.455	0.65615991395066	0.561008150125738	0.8236072760762152
AT5G65510		14	0.7619	0.643	2.713	0.01775342247233348	0.3321	0.974	0.34228964650709204	0.561008150125738	0.5481259879877083
AT5G23930		14	1.0435	0.714	2.615	0.021407086646284684	-1.8347	2.921	0.012316505371714012	0.5783253950205715	0.07119540909990783
AT2G01818		14	1.5402	0.786	2.524	0.025420750381773775	0.8141	0.813	0.42538187262848437	0.5783253950205715	0.6329205445468897
AT3G12910		14	0.8365	0.857	2.523	0.02545703447152893	0.9033	-0.113	0.9116445959821872	0.5783253950205715	0.9539062659946064
AT3G13040		14	-0.5244	0.857	-2.503	0.02642348322892684	-0.5892	0.189	0.8522166264434419	0.5783253950205715	0.9201610044059031
AT5G47220		14	0.8773	0.857	2.456	0.028887753284129652	-1.1716	2.731	0.01606743666236043	0.5783253950205715	0.08654505656771415
AT3G12730		14	1.0826	0.714	2.426	0.03053944612008551	0.5019	0.694	0.4976294869044928	0.5783253950205715	0.7062166969842203
AT1G46264		14	0.5953	0.643	2.412	0.03138640452163066	-1.0654	3.046	0.00894954091844608	0.5783253950205715	0.06288931508201948
AT5G18450		14	1.3623	0.857	2.328	0.036731752310602245	-0.8799	2.608	0.01656490214675213	0.5783253950205715	0.08822206311865742
AT1G18570		14	-1.5448	0.571	-2.294	0.03912684409312004	-1.5796	0.034	0.9729578389313094	0.5783253950205715	0.9863942727071718
AT5G03150		14	0.5841	0.714	2.282	0.03997961642297211	0.664	-0.091	0.929200672167532	0.5783253950205715	0.9637661238674182
AT2G44840		14	0.7736	0.786	2.257	0.04189731234959971	-2.1078	3.365	0.005363953957356802	0.5783253950205715	0.04779269558713395
AT2G02080		14	0.6556	0.571	2.242	0.043007602906727886	-0.1833	0.774	0.4562425642793343	0.5783253950205715	0.666590160898847
AT5G47660		14	0.5397	0.643	2.228	0.044145532079032254	-0.2767	1.771	0.09605693414034061	0.5783253950205715	0.2543630546509578
AT1G49560		14	0.593	0.643	2.204	0.04617308191096726	1.2669	-1.259	0.22728213110218107	0.5783253950205715	0.43616085077908434
AT5G16820		14	2.2763	0.714	2.203	0.04622515858349732	1.2422	0.711	0.484784936841282	0.5783253950205715	0.6921327110324328
AT1G36060		14	0.9377	0.857	2.195	0.046907968359521206	-0.0207	1.678	0.10748746041352794	0.5783253950205715	0.27502664901603746
AT3G51470		14	0.572	0.714	2.189	0.04744834459555956	-0.2401	2.293	0.031880289137022934	0.5783253950205715	0.13140223522564234
AT3G61250		14	-1.4299	0.643	-2.168	0.04931904068049211	-1.922	0.475	0.6403703084339518	0.5783253950205715	0.8115923160366127
AT3G01470		14	1.1028	0.786	2.144	0.05153674726673725	0.9762	0.136	0.8936396282639685	0.5783253950205715	0.9392132678428404
AT4G01500		14	0.3232	0.571	2.135	0.052340981738070474	0.0282	0.977	0.3439382584721373	0.5783253950205715	0.5489115640262394
AT3G22830		14	2.1145	0.786	2.132	0.052610172904347836	0.7453	1.008	0.3244269899979929	0.5783253950205715	0.5321051669863275
AT3G20310		14	0.9915	0.643	2.111	0.05466764299608964	-2.705	3.849	0.001657726461731395	0.5783253950205715	0.022541653832775815
AT1G25550		14	0.7358	0.786	2.106	0.055247871704222073	1.4744	-1.08	0.2969896896751589	0.5783253950205715	0.5082061837762647
AT1G51600		14	0.3803	0.643	2.083	0.05752809814069666	0.1925	0.642	0.528429162743305	0.5783253950205715	0.7218311906061284
AT3G06490		14	-0.4865	0.714	-2.081	0.05771789376300708	0.8741	-3.519	0.002423021795601241	0.5783253950205715	0.028012495880853375
AT5G62165		14	0.397	0.571	2.047	0.061427898852744585	-0.4789	2.754	0.012895797192058281	0.5783253950205715	0.07364587794018826
AT3G09735		14	2.0588	0.714	2.045	0.06160977662528177	0.6897	1.053	0.3037062269638955	0.5783253950205715	0.5104849346839945
AT2G26960		14	-0.5998	0.929	-2.022	0.0642568012816403	-1.1169	0.992	0.3352135893911672	0.5783253950205715	0.5441480868884015
AT1G03840		14	0.6869	0.643	2.02	0.06444989496353416	0.3821	0.357	0.7267352317531522	0.5783253950205715	0.8583829933474235
AT1G03800		14	0.9493	0.714	1.989	0.06816652183082801	-2.1251	3.002	0.00955105660399238	0.5783253950205715	0.06340184914494174
AT1G66370		14	-0.4714	0.714	-1.983	0.06891731611135747	-0.1761	-0.677	0.5078037297401068	0.5783253950205715	0.7142402608213965
AT5G61600		14	0.6962	0.786	1.97	0.07048139741837384	-1.1095	2.552	0.022246490841227134	0.5783253950205715	0.10326381028157126
AT5G66730		14	0.8034	0.571	1.97	0.07053780160336613	0.7822	0.022	0.9828558550783315	0.5783253950205715	0.9909732261776532
AT5G48670		14	-0.3892	0.714	-1.965	0.07117283406447772	-1.0468	1.449	0.17073350028502876	0.5783253950205715	0.3645390952031695
AT5G38860		14	0.4303	0.643	1.964	0.07130012268587017	-0.1942	1.756	0.09561838984246514	0.5783253950205715	0.2543630546509578
AT4G38910		14	0.5725	0.643	1.945	0.07373273935464292	-0.525	2.018	0.060544083933595755	0.5783253950205715	0.19131930523016258
