TF	name	mean_coefficient	sd_across_folds	sign_stability
AT3G24520		-0.0297	0.0052	1.0
AT5G10510		-0.0294	0.0072	1.0
AT5G64750		-0.0294	0.0029	1.0
AT2G17410		-0.0292	0.0053	1.0
AT1G50640		-0.0291	0.0031	1.0
AT4G27900		-0.0291	0.0046	1.0
AT1G69780		-0.029	0.0024	1.0
AT3G22830		-0.029	0.0039	1.0
AT4G24470		-0.0288	0.0046	1.0
AT1G74370		-0.0288	0.004	1.0
AT1G51700		-0.0286	0.0033	1.0
AT3G01470		-0.0285	0.0048	1.0
AT1G31140		0.0284	0.0032	1.0
AT3G01220		-0.0284	0.0037	1.0
AT1G53170		-0.0283	0.0031	1.0
AT5G18450		-0.0281	0.0035	1.0
AT1G16490		-0.028	0.0032	1.0
AT3G08500		-0.0277	0.0032	1.0
AT1G22810		0.027	0.0032	1.0
AT5G03790		-0.027	0.0037	1.0
AT3G09735		-0.0268	0.0038	1.0
AT4G01720		0.0268	0.0055	1.0
AT1G51600		-0.0268	0.0045	1.0
AT2G17900		-0.0267	0.007	1.0
AT3G42860		0.0267	0.003	1.0
AT5G23930		-0.0264	0.0031	1.0
AT3G07220		0.0264	0.0057	1.0
AT4G06746		0.0263	0.005	1.0
AT1G13300		0.0257	0.0055	1.0
AT3G12820		-0.0257	0.0031	1.0
AT5G47230		-0.0254	0.0034	1.0
AT2G20110		-0.0253	0.0061	1.0
AT5G17800		-0.0253	0.0032	1.0
AT5G06100		-0.0251	0.0028	1.0
AT3G50700		-0.025	0.0031	1.0
AT2G01818		-0.0248	0.0036	1.0
AT3G61150		-0.0247	0.0032	1.0
AT2G23340		0.0247	0.0039	1.0
AT3G23240		-0.0247	0.0046	1.0
AT1G21910		0.0247	0.0027	1.0
AT4G38170		-0.0246	0.0051	1.0
AT1G28160		-0.0244	0.0027	1.0
AT1G22070		-0.0244	0.0034	1.0
AT1G68320		0.0243	0.003	1.0
AT2G46400		0.024	0.0046	1.0
AT5G03150		-0.0239	0.0069	1.0
AT1G03800		-0.0239	0.0027	1.0
AT2G42200		-0.0239	0.0041	1.0
AT5G08750		0.0238	0.0073	1.0
AT3G06740		-0.0238	0.0037	1.0
AT5G13080		0.0237	0.0024	1.0
AT1G28370		-0.0232	0.0039	1.0
AT3G45170		0.0229	0.0034	1.0
AT5G22500		0.0229	0.0071	1.0
AT2G41835		0.0229	0.0044	1.0
AT5G48670		-0.0228	0.0061	1.0
AT3G51080		-0.0227	0.0038	1.0
AT5G52830		0.0227	0.0026	1.0
AT5G62470		-0.0226	0.0052	1.0
AT4G11660		-0.0226	0.0038	1.0
AT5G10280		-0.0226	0.0032	1.0
AT1G49560		0.0225	0.0069	1.0
AT1G79180		-0.0224	0.0025	1.0
AT2G46130		0.0223	0.0028	1.0
AT1G75390		0.022	0.0032	1.0
AT3G15210		-0.0219	0.0039	1.0
AT1G76890		-0.0218	0.0053	1.0
AT1G27360		0.0218	0.0087	0.955
AT3G22780		0.0218	0.0049	1.0
AT5G63260		-0.0215	0.0032	1.0
AT4G27950		-0.0214	0.0034	1.0
AT1G65910		0.0212	0.0028	1.0
AT1G76110		-0.0212	0.0028	1.0
AT3G53200		0.021	0.0044	1.0
AT3G10030		0.021	0.0027	1.0
AT1G44830		0.0209	0.0033	1.0
AT5G44210		-0.0208	0.0032	1.0
AT2G47070		0.0208	0.0038	1.0
AT2G38340		0.0208	0.0022	1.0
AT3G51470		-0.0208	0.0039	1.0
AT5G60130		-0.0207	0.0038	1.0
AT5G67580		-0.0206	0.0049	1.0
AT1G25550		0.0206	0.005	1.0
AT2G23320		0.0204	0.0026	1.0
AT5G22890		-0.0199	0.0028	1.0
AT3G30210		-0.0199	0.005	1.0
AT5G66730		-0.0198	0.0039	1.0
AT3G15270		-0.0198	0.0027	1.0
AT3G55370		-0.0198	0.0033	1.0
AT3G27010		0.0197	0.0038	1.0
AT2G24570		-0.0197	0.0034	1.0
AT1G34370		-0.0195	0.0061	1.0
AT3G58630		-0.0195	0.0039	1.0
AT4G31550		0.0194	0.0026	1.0
AT2G02820		-0.0192	0.0045	1.0
AT5G08070		-0.0191	0.0049	1.0
AT1G52880		0.0191	0.0023	1.0
AT5G02460		-0.0189	0.0029	1.0
AT3G03660		-0.0189	0.0041	1.0
AT1G30650		0.0189	0.0026	1.0
AT5G11260		-0.0188	0.0025	1.0
AT1G19210		-0.0187	0.0023	1.0
AT5G67000		-0.0187	0.0045	1.0
AT2G31460		-0.0185	0.0054	1.0
AT2G06200		-0.0184	0.0025	1.0
AT5G16820		-0.0184	0.0038	1.0
AT1G63040		-0.0183	0.0047	1.0
AT5G65130		-0.0183	0.0024	1.0
AT5G58900		-0.0179	0.0031	1.0
AT4G34410		-0.0178	0.0034	1.0
AT5G61270		-0.0178	0.0065	0.955
AT5G54230		0.0178	0.0024	1.0
AT4G00730		-0.0177	0.0032	1.0
AT2G38880		-0.0176	0.0052	1.0
AT5G65410		-0.0173	0.0026	1.0
AT5G53950		0.0171	0.0029	1.0
AT4G36160		0.017	0.002	1.0
AT2G30590		0.017	0.0035	1.0
AT1G18960		0.017	0.0052	1.0
AT1G06180		-0.0169	0.0032	1.0
AT3G50060		-0.0168	0.0055	1.0
AT1G54330		0.0165	0.0019	1.0
AT1G27730		-0.0165	0.0025	1.0
AT1G69010		-0.0165	0.0022	1.0
AT1G74840		0.0164	0.003	1.0
AT4G17980		0.0164	0.0033	1.0
AT1G01720		0.0163	0.0029	1.0
AT2G40260		-0.0163	0.0029	1.0
AT2G18350		-0.0162	0.0022	1.0
AT1G69490		0.016	0.0022	1.0
AT3G10580		-0.016	0.0024	1.0
AT5G67190		0.016	0.0028	1.0
AT5G40330		0.0156	0.0038	1.0
AT1G75080		0.0155	0.0071	0.955
AT3G11020		0.0155	0.0028	1.0
AT4G36620		0.0154	0.0032	1.0
AT5G42520		-0.0154	0.0044	1.0
AT3G03200		0.0153	0.0026	1.0
AT5G25475		0.0152	0.0048	1.0
AT5G38800		-0.0152	0.0062	1.0
AT1G60920		0.0152	0.0064	0.955
AT1G72360		-0.0151	0.0053	1.0
AT3G20840		0.0151	0.0055	1.0
AT2G03500		-0.015	0.0028	1.0
