accession	TF	name	n_levels	spearman_rho	p	q
OSD-251	AT5G06839		5	1.0	1.4042654220543672e-24	1.6640545251344252e-22
OSD-251	AT1G65620		5	1.0	1.4042654220543672e-24	1.6640545251344252e-22
OSD-251	AT5G14960		5	-1.0	1.4042654220543672e-24	1.6640545251344252e-22
OSD-251	AT3G10113		5	1.0	1.4042654220543672e-24	1.6640545251344252e-22
OSD-346	AT1G45249		7	0.929	0.0025194724037946874	0.3585118702039306
OSD-346	AT1G08010		7	-0.929	0.0025194724037946874	0.3585118702039306
OSD-346	AT5G17300		7	0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT1G06850		7	-0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT1G43700		7	-0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT1G63040		7	-0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT3G13810		7	0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT5G25830		7	-0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT4G27900		7	0.893	0.006807187408935392	0.3585118702039306
OSD-346	AT4G01720		7	-0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT2G38300		7	0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT3G28910		7	0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT1G74650		7	0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT5G45580		7	0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT5G62470		7	0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT1G32510		7	-0.857	0.013697326615325611	0.4057833009790212
OSD-346	AT2G17900		7	-0.847	0.016197127467871626	0.4516140246924206
OSD-346	AT2G02080		7	0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT1G76880		7	-0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT3G50700		7	0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT1G18330		7	0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT5G65410		7	-0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT4G01280		7	0.821	0.023448808345691505	0.48324935460251184
OSD-346	AT4G14770		7	0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT3G56850		7	0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT1G34370		7	-0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT1G71696		7	0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT5G42820		7	-0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT2G46400		7	-0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT1G55110		7	0.786	0.03623846267982714	0.5376953003618561
OSD-346	AT3G06490		7	0.786	0.03623846267982714	0.5376953003618561
OSD-251	AT2G38340		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G47660		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT4G01280		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT3G08500		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT2G38300		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT1G69490		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G58620		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT2G20400		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G52660		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT3G09600		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G29000		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G42820		5	0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT3G46070		5	-0.9	0.03738607346849875	0.44302497060171026
OSD-251	AT5G22990		5	0.9	0.03738607346849875	0.44302497060171026
