contrast	accession	factor	level	mission	platform	is_flight	is_radiation	best_timepoint_min	best_rho	p_vs_shuffled_tfs	matched	rho_10	rho_20	rho_45	rho_90	rho_180	rho_360	rho_720	rho_1440
OSD-37|spaceflight|Space Flight	OSD-37	spaceflight	Space Flight	SpaceX-4	rna-seq	True	False	10.0	0.0785	0.28713	False	0.0785	-0.1858	-0.2537	-0.2541	-0.2871	-0.3896	-0.2823	-0.0612
OSD-38|spaceflight|Space Flight	OSD-38	spaceflight	Space Flight	SpaceX-5	rna-seq	True	False	10.0	0.1233	0.0396	True	0.1233	-0.247	-0.5738	-0.3465	-0.3006	-0.2743	-0.1625	0.1033
OSD-120|spaceflight|Space Flight	OSD-120	spaceflight	Space Flight	SpaceX-3	rna-seq	True	False	45.0	0.5791	0.0099	True	-0.0396	0.1844	0.5791	0.2624	0.0466	-0.1145	-0.1629	-0.2867
OSD-193|spaceflight|Space Flight	OSD-193	spaceflight	Space Flight	SpaceX-5	rna-seq	True	False	90.0	0.0752	0.30693	False	-0.2548	-0.0956	-0.1396	0.0752	-0.0884	-0.4281	-0.3731	-0.0922
OSD-217|spaceflight|Space Flight	OSD-217	spaceflight	Space Flight	SpaceX-5	rna-seq	True	False	10.0	-0.1213	1.0	False	-0.1213	-0.1866	-0.1662	-0.2339	-0.3442	-0.5748	-0.4861	-0.2074
OSD-218|spaceflight|Space Flight	OSD-218	spaceflight	Space Flight	SpaceX-5	rna-seq	True	False	90.0	0.0047	1.0	False	-0.1539	-0.154	-0.2916	0.0047	-0.1359	-0.411	-0.3634	-0.064
OSD-223|altered gravity|0.76G by centrifugation	OSD-223	altered gravity	0.76G by centrifugation	STS-135	rna-seq	True	False	360.0	0.6422	0.0099	True	0.1854	0.262	0.2527	0.3631	0.4313	0.6422	0.5102	0.2448
OSD-223|altered gravity|uG	OSD-223	altered gravity	uG	STS-135	rna-seq	True	False	360.0	0.4236	0.0099	True	-0.0091	0.0445	-0.0326	0.2856	0.2451	0.4236	0.2889	0.0762
OSD-223|genotype|InsP 5-ptase Transgenic	OSD-223	genotype	InsP 5-ptase Transgenic	STS-135	rna-seq	False	False	45.0	0.2198	0.0099	True	-0.235	-0.1823	0.2198	-0.2422	-0.2146	-0.1744	-0.1011	-0.1859
OSD-223|spaceflight|Space Flight	OSD-223	spaceflight	Space Flight	STS-135	rna-seq	True	False	360.0	0.5737	0.0099	True	0.1031	0.1724	0.1274	0.327	0.3667	0.5737	0.4405	0.1881
OSD-251|altered gravity|0.09G by centrifugation	OSD-251	altered gravity	0.09G by centrifugation	SpaceX-2	rna-seq	True	False	45.0	0.0432	0.80198	False	-0.3009	-0.0162	0.0432	-0.0229	-0.0293	-0.2945	-0.276	-0.2493
OSD-251|altered gravity|0.18G by centrifugation	OSD-251	altered gravity	0.18G by centrifugation	SpaceX-2	rna-seq	True	False	360.0	0.4631	0.0099	True	-0.0225	0.1869	0.145	0.3047	0.392	0.4631	0.3945	0.2123
OSD-251|altered gravity|0.36G by centrifugation	OSD-251	altered gravity	0.36G by centrifugation	SpaceX-2	rna-seq	True	False	360.0	0.5258	0.0099	True	0.0672	0.1253	0.134	0.2679	0.3849	0.5258	0.4553	0.2376
OSD-251|altered gravity|0.57G by centrifugation	OSD-251	altered gravity	0.57G by centrifugation	SpaceX-2	rna-seq	True	False	90.0	0.4218	0.0099	True	-0.2654	-0.0935	0.1677	0.4218	0.3126	0.127	0.0365	-0.0151
OSD-251|altered gravity|uG	OSD-251	altered gravity	uG	SpaceX-2	rna-seq	True	False	90.0	0.3204	0.0099	True	-0.1913	0.0397	0.0995	0.3204	0.3051	0.2261	0.2056	0.1302
OSD-281|spaceflight|Space Flight	OSD-281	spaceflight	Space Flight	SpaceX-5	rna-seq	True	False	90.0	-0.1282	1.0	False	-0.1534	-0.2483	-0.3567	-0.1282	-0.2745	-0.5155	-0.4824	-0.1893
OSD-313|genotype|Nuc1-2 Mutant	OSD-313	genotype	Nuc1-2 Mutant	(unknown)	rna-seq	False	False	720.0	0.4831	0.0099	True	0.2296	-0.1009	-0.103	-0.1749	0.0498	0.3771	0.4831	0.435
OSD-313|genotype|Nuc2-2 Mutant	OSD-313	genotype	Nuc2-2 Mutant	(unknown)	rna-seq	False	False	45.0	0.241	0.0099	True	-0.0828	-0.0775	0.241	-0.161	-0.1574	-0.006	0.0259	-0.0768
OSD-314|altered gravity|0.34G by centrifugation	OSD-314	altered gravity	0.34G by centrifugation	SpaceX-4	rna-seq	True	False	90.0	0.4362	0.0099	True	-0.1838	0.158	0.3639	0.4362	0.3565	0.2192	0.1774	0.2423
OSD-314|altered gravity|uG	OSD-314	altered gravity	uG	SpaceX-4	rna-seq	True	False	1440.0	0.2966	0.0099	True	0.2685	-0.1209	-0.4089	-0.0891	0.0175	0.2936	0.2828	0.2966
OSD-314|spaceflight|Space Flight	OSD-314	spaceflight	Space Flight	SpaceX-4	rna-seq	True	False	360.0	0.4496	0.0099	True	0.1297	0.0175	-0.0635	0.2035	0.306	0.4496	0.4204	0.4396
