contrast	accession	factor	level	mission	platform	is_flight	is_radiation	best_timepoint_min	best_rho	p_vs_shuffled_tfs	matched	rho_10	rho_20	rho_45	rho_90	rho_180	rho_360	rho_720	rho_1440
OSD-321|genotype|bzip28-2	OSD-321	genotype	bzip28-2	SpaceX-12	rna-seq	False	False	45.0	-0.0624	1.0	False	-0.1622	-0.2164	-0.0624	-0.2006	-0.3721	-0.483	-0.3836	-0.4157
OSD-321|genotype|bzip60-2	OSD-321	genotype	bzip60-2	SpaceX-12	rna-seq	False	False	10.0	0.1365	0.0297	True	0.1365	-0.099	-0.3785	-0.4979	-0.4331	-0.1588	-0.0874	-0.0235
OSD-321|genotype|bzip28-2 bzip60-1	OSD-321	genotype	bzip28-2 bzip60-1	SpaceX-12	rna-seq	False	False	10.0	0.1947	0.0099	True	0.1947	-0.3099	-0.5157	-0.6069	-0.6061	-0.3646	-0.2849	-0.2411
OSD-321|genotype|ire1a-4 ire1b-2	OSD-321	genotype	ire1a-4 ire1b-2	SpaceX-12	rna-seq	False	False	45.0	0.1481	0.0099	True	-0.0215	-0.0099	0.1481	0.0049	-0.1026	0.0436	0.0693	-0.1407
OSD-321|spaceflight|Space Flight	OSD-321	spaceflight	Space Flight	SpaceX-12	rna-seq	True	False	1440.0	0.2344	0.0099	True	0.2303	-0.1702	-0.6245	-0.4934	-0.2725	0.0718	0.1763	0.2344
OSD-346|altered gravity|uG	OSD-346	altered gravity	uG	SpaceX-2	rna-seq	True	False	90.0	0.165	0.0099	True	0.0044	-0.2223	-0.1875	0.165	-0.0567	-0.0651	-0.1714	-0.3338
OSD-346|altered gravity|0.25G by centrifugation	OSD-346	altered gravity	0.25G by centrifugation	SpaceX-2	rna-seq	True	False	10.0	-0.0771	1.0	False	-0.0771	-0.3208	-0.2501	-0.1471	-0.3842	-0.3328	-0.2741	-0.2823
OSD-346|altered gravity|0.38G by centrifugation	OSD-346	altered gravity	0.38G by centrifugation	SpaceX-2	rna-seq	True	False	10.0	0.0625	0.55446	False	0.0625	-0.2161	-0.2905	-0.0603	-0.2282	-0.1956	-0.2151	-0.0778
OSD-346|altered gravity|0.65G by centrifugation	OSD-346	altered gravity	0.65G by centrifugation	SpaceX-2	rna-seq	True	False	10.0	0.1579	0.0099	True	0.1579	-0.3067	-0.3582	-0.3023	-0.3283	-0.2579	-0.1961	-0.0765
OSD-346|altered gravity|0.64G by centrifugation	OSD-346	altered gravity	0.64G by centrifugation	SpaceX-2	rna-seq	True	False	360.0	0.1415	0.0099	True	-0.187	0.0094	0.1156	-0.0199	-0.0517	0.1415	0.1103	0.0649
OSD-346|altered gravity|0.3G by centrifugation	OSD-346	altered gravity	0.3G by centrifugation	SpaceX-2	rna-seq	True	False	10.0	0.1064	0.09901	False	0.1064	-0.0032	0.1	0.0664	0.0027	-0.0904	-0.0982	-0.2694
OSD-346|altered gravity|0.5G by centrifugation	OSD-346	altered gravity	0.5G by centrifugation	SpaceX-2	rna-seq	True	False	45.0	0.508	0.0099	True	0.0372	0.3418	0.508	0.2835	0.3618	0.4347	0.3365	0.1269
OSD-406|altered gravity|Suborbital Flight	OSD-406	altered gravity	Suborbital Flight	VSS Unity	rna-seq	True	False	45.0	0.3961	0.0099	True	-0.4169	-0.0888	0.3961	0.1116	-0.2092	-0.2471	-0.2943	-0.3348
OSD-406|genotype|sku5	OSD-406	genotype	sku5	VSS Unity	rna-seq	False	False	10.0	0.3651	0.0099	True	0.3651	-0.0898	-0.3754	-0.4542	-0.2599	-0.0514	0.0602	0.1577
OSD-411|genotype|pgm-1	OSD-411	genotype	pgm-1	(unknown)	rna-seq	False	False	10.0	0.1649	0.0198	True	0.1649	-0.313	-0.4944	-0.5224	-0.4064	-0.2454	-0.1302	-0.0153
OSD-411|treatment|Reoriented	OSD-411	treatment	Reoriented	(unknown)	rna-seq	False	False	10.0	0.1637	0.0099	True	0.1637	-0.1696	-0.2837	-0.3229	-0.2878	-0.0824	-0.0974	-0.1426
OSD-427|genotype|elp2-5	OSD-427	genotype	elp2-5	SpaceX-10	rna-seq	False	False	10.0	0.2424	0.0099	True	0.2424	-0.0358	-0.3608	-0.0782	0.0415	0.1442	0.0336	0.145
OSD-427|genotype|met1-7	OSD-427	genotype	met1-7	SpaceX-10	rna-seq	False	False	90.0	0.0984	0.06931	False	0.0634	-0.0035	-0.0869	0.0984	-0.069	-0.3134	-0.4651	-0.4716
OSD-427|spaceflight|Space Flight	OSD-427	spaceflight	Space Flight	SpaceX-10	rna-seq	True	False	45.0	0.1816	0.0099	True	-0.2232	-0.1286	0.1816	0.0552	-0.1616	-0.1463	-0.232	-0.21
OSD-428|altered gravity|Gravity, Altered	OSD-428	altered gravity	Gravity, Altered	(unknown)	microarray	True	False	90.0	0.572	0.0099	True	-0.0481	0.1827	0.4163	0.572	0.5363	0.3617	0.2608	0.1634
OSD-428|time|actuated immediately after the microgravity exposure 	OSD-428	time	actuated immediately after the microgravity exposure 	(unknown)	microarray	False	False	90.0	0.6068	0.0099	True	-0.0422	0.2035	0.4272	0.6068	0.5417	0.3591	0.2586	0.163
OSD-428|time|actuated after level flight had been maintained for about a minute and a half after the parabola	OSD-428	time	actuated after level flight had been maintained for about a minute and a half after the parabola	(unknown)	microarray	False	False	180.0	0.4227	0.0099	True	-0.1087	0.093	0.34	0.421	0.4227	0.3191	0.2658	0.2157
OSD-434|altered gravity|Gravity, Altered	OSD-434	altered gravity	Gravity, Altered	(unknown)	microarray	True	False	1440.0	0.5724	0.0099	True	0.1538	0.0382	-0.0237	0.1391	0.3393	0.4618	0.5177	0.5724
OSD-434|time|first-actuated KFT	OSD-434	time	first-actuated KFT	(unknown)	microarray	False	False	720.0	0.4837	0.0099	True	0.2235	-0.0711	-0.0923	0.0163	0.2587	0.4611	0.4837	0.4496
OSD-434|time|last-actuated KFT	OSD-434	time	last-actuated KFT	(unknown)	microarray	False	False	1440.0	0.4407	0.0099	True	-0.0036	0.2612	0.2509	0.3225	0.3834	0.324	0.3586	0.4407
OSD-437|altered gravity|uG	OSD-437	altered gravity	uG	SpaceX-9	rna-seq	True	False	10.0	0.1528	0.0099	True	0.1528	-0.3184	-0.6057	-0.2705	-0.2618	-0.0662	-0.0678	-0.0386
OSD-437|spaceflight|Space Flight	OSD-437	spaceflight	Space Flight	SpaceX-9	rna-seq	True	False	360.0	0.402	0.0099	True	0.1581	0.0668	0.1696	0.2217	0.1334	0.402	0.3249	0.1017
OSD-498|ionizing radiation|Cobalt-60 gamma radiation	OSD-498	ionizing radiation	Cobalt-60 gamma radiation	(unknown)	rna-seq	False	True	90.0	0.5582	0.0099	True	0.1534	0.1522	0.0035	0.5582	0.3664	0.0583	-0.0919	-0.0286
OSD-502|genotype|myb3r135	OSD-502	genotype	myb3r135	(unknown)	rna-seq	False	False	720.0	0.1356	0.0198	True	-0.0103	-0.0659	-0.0662	-0.4036	-0.1807	0.0894	0.1356	0.0502
OSD-502|ionizing radiation|Cobalt-60 gamma radiation	OSD-502	ionizing radiation	Cobalt-60 gamma radiation	(unknown)	rna-seq	False	True	90.0	0.7239	0.0099	True	-0.1991	0.3054	0.5527	0.7239	0.6089	0.2213	0.07	0.0001
OSD-508|genotype|sog1-1	OSD-508	genotype	sog1-1	(unknown)	rna-seq	False	False	10.0	-0.1627	1.0	False	-0.1627	-0.4758	-0.3818	-0.7128	-0.8439	-0.7679	-0.6382	-0.5381
OSD-508|ionizing radiation|Cobalt-60 gamma radiation	OSD-508	ionizing radiation	Cobalt-60 gamma radiation	(unknown)	rna-seq	False	True	720.0	0.8237	0.0099	True	0.4619	0.5817	0.5088	0.3434	0.6837	0.7828	0.8237	0.7228
OSD-510|genotype|sog1-1	OSD-510	genotype	sog1-1	(unknown)	rna-seq	False	False	45.0	0.4057	0.0099	True	-0.1638	0.0829	0.4057	0.0553	-0.0442	-0.0001	0.0629	-0.1087
OSD-510|ionizing radiation|Cobalt-60 gamma radiation	OSD-510	ionizing radiation	Cobalt-60 gamma radiation	(unknown)	rna-seq	False	True	90.0	0.8086	0.0099	True	-0.0244	0.4593	0.5576	0.8086	0.7676	0.6661	0.457	0.3176
OSD-518|genotype|lazy1 mutant	OSD-518	genotype	lazy1 mutant	(unknown)	rna-seq	False	False	90.0	0.3318	0.0099	True	-0.022	0.143	-0.0472	0.3318	0.1711	-0.2257	-0.2364	-0.1217
OSD-518|genotype|tac1 mutant	OSD-518	genotype	tac1 mutant	(unknown)	rna-seq	False	False	10.0	0.2233	0.0099	True	0.2233	-0.1888	-0.2854	-0.1951	-0.1523	0.159	0.1292	0.1097
OSD-519|genotype|puchi-1 mutant	OSD-519	genotype	puchi-1 mutant	(unknown)	rna-seq	False	False	10.0	-0.047	1.0	False	-0.047	-0.2782	-0.5191	-0.1534	-0.22	-0.4412	-0.3951	-0.1888
OSD-522|spaceflight|Space Flight	OSD-522	spaceflight	Space Flight	SpaceX-13	rna-seq	True	False	45.0	0.3037	0.0099	True	-0.1328	0.2212	0.3037	0.2789	0.0391	-0.2939	-0.3801	-0.3432
OSD-624|altered gravity|Suborbital Flight	OSD-624	altered gravity	Suborbital Flight	Unity 22	rna-seq	True	False	45.0	0.2737	0.0099	True	-0.0322	-0.1239	0.2737	-0.0791	-0.2031	-0.2416	-0.2462	-0.2802
OSD-658|ionizing radiation|mixed radiation	OSD-658	ionizing radiation	mixed radiation	(unknown)	rna-seq	False	True	45.0	0.3577	0.0099	True	-0.0977	0.0834	0.3577	0.1965	-0.0095	-0.1138	-0.147	-0.0806
OSD-678|genotype|phyD mutant	OSD-678	genotype	phyD mutant	SpaceX-3	rna-seq	False	False	360.0	0.3958	0.0099	True	0.0772	0.1619	0.0228	0.2554	0.1861	0.3958	0.2555	0.1067
OSD-678|spaceflight|Space Flight	OSD-678	spaceflight	Space Flight	SpaceX-3	rna-seq	True	False	45.0	0.2502	0.0099	True	-0.2911	0.0302	0.2502	0.1665	-0.008	-0.2772	-0.2836	-0.0184
OSD-782|absorbed radiation dose|10 {centigray}	OSD-782	absorbed radiation dose	10 {centigray}	(unknown)	rna-seq	False	True	45.0	0.708	0.0099	True	0.0679	0.446	0.708	0.4368	0.2704	0.3305	0.1965	0.0257
OSD-782|absorbed radiation dose|100 {centigray}	OSD-782	absorbed radiation dose	100 {centigray}	(unknown)	rna-seq	False	True	45.0	0.6142	0.0099	True	0.118	0.3921	0.6142	0.3528	0.2007	0.344	0.2107	0.0106
OSD-782|ionizing radiation|cesium-137 gamma radiation	OSD-782	ionizing radiation	cesium-137 gamma radiation	(unknown)	rna-seq	False	True	45.0	0.6618	0.0099	True	0.0888	0.4143	0.6618	0.3847	0.2236	0.3344	0.2028	0.013
