contrast	accession	factor	level	mission	space_program	platform	n_treated	n_control	n_genes	cross_factor_control	is_flight	is_radiation
OSD-7|spaceflight|Space Flight	OSD-7	spaceflight	Space Flight	STS-129	NASA	microarray	18	18	21267	False	True	False
OSD-17|spaceflight|Space Flight	OSD-17	spaceflight	Space Flight	STS-131	NASA	microarray	12	12	21267	False	True	False
OSD-37|spaceflight|Space Flight	OSD-37	spaceflight	Space Flight	SpaceX-4	NASA	rna-seq	28	28	18731	False	True	False
OSD-38|spaceflight|Space Flight	OSD-38	spaceflight	Space Flight	SpaceX-5	NASA	rna-seq	3	9	20352	False	True	False
OSD-44|genotype|act2-3	OSD-44	genotype	act2-3	STS-131	NASA	microarray	6	6	21267	False	False	False
OSD-44|spaceflight|Space Flight	OSD-44	spaceflight	Space Flight	STS-131	NASA	microarray	6	6	21267	False	True	False
OSD-120|spaceflight|Space Flight	OSD-120	spaceflight	Space Flight	SpaceX-3	NASA	rna-seq	36	36	19402	False	True	False
OSD-121|spaceflight|Space Flight	OSD-121	spaceflight	Space Flight	STS-131	NASA	microarray	9	9	21267	False	True	False
OSD-147|genotype|ARG1 KO	OSD-147	genotype	ARG1 KO	SpaceX-2	NASA	microarray	8	10	21267	False	False	False
OSD-147|spaceflight|Space Flight	OSD-147	spaceflight	Space Flight	SpaceX-2	NASA	microarray	9	9	21267	False	True	False
OSD-193|spaceflight|Space Flight	OSD-193	spaceflight	Space Flight	SpaceX-5	NASA	rna-seq	16	16	20053	False	True	False
OSD-205|genotype|HSFA2 KO	OSD-205	genotype	HSFA2 KO	SpaceX-2	NASA	microarray	6	10	21267	False	False	False
OSD-205|spaceflight|Space Flight	OSD-205	spaceflight	Space Flight	SpaceX-2	NASA	microarray	8	8	21267	False	True	False
OSD-217|spaceflight|Space Flight	OSD-217	spaceflight	Space Flight	SpaceX-5	NASA	rna-seq	6	6	20201	False	True	False
OSD-218|spaceflight|Space Flight	OSD-218	spaceflight	Space Flight	SpaceX-5	NASA	rna-seq	16	16	20171	False	True	False
OSD-223|altered gravity|0.76G by centrifugation	OSD-223	altered gravity	0.76G by centrifugation	STS-135	NASA	rna-seq	14	10	20261	False	True	False
OSD-223|altered gravity|uG	OSD-223	altered gravity	uG	STS-135	NASA	rna-seq	16	10	20261	False	True	False
OSD-223|genotype|InsP 5-ptase Transgenic	OSD-223	genotype	InsP 5-ptase Transgenic	STS-135	NASA	rna-seq	20	20	20261	False	False	False
OSD-223|spaceflight|Space Flight	OSD-223	spaceflight	Space Flight	STS-135	NASA	rna-seq	30	10	20261	False	True	False
OSD-251|altered gravity|0.09G by centrifugation	OSD-251	altered gravity	0.09G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	3	3	19773	False	True	False
OSD-251|altered gravity|0.18G by centrifugation	OSD-251	altered gravity	0.18G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	3	3	19773	False	True	False
OSD-251|altered gravity|0.36G by centrifugation	OSD-251	altered gravity	0.36G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	3	3	19773	False	True	False
OSD-251|altered gravity|0.57G by centrifugation	OSD-251	altered gravity	0.57G by centrifugation	SpaceX-2	NASA, ESA	rna-seq	4	3	19773	False	True	False
OSD-251|altered gravity|uG	OSD-251	altered gravity	uG	SpaceX-2	NASA, ESA	rna-seq	4	3	19773	False	True	False
OSD-281|spaceflight|Space Flight	OSD-281	spaceflight	Space Flight	SpaceX-5	NASA	rna-seq	16	16	20083	False	True	False
OSD-282|treatment|Heat and anoxia-treated	OSD-282	treatment	Heat and anoxia-treated	(unknown)		microarray	2	2	21267	False	False	False
OSD-282|treatment|heat-treated	OSD-282	treatment	heat-treated	(unknown)		microarray	2	2	21267	False	False	False
OSD-282|treatment|Anoxia-treated	OSD-282	treatment	Anoxia-treated	(unknown)		microarray	2	2	21267	False	False	False
OSD-296|genotype|cop-1	OSD-296	genotype	cop-1	(unknown)		microarray	12	12	21267	False	False	False
OSD-296|genotype|uvr-8	OSD-296	genotype	uvr-8	(unknown)		microarray	12	12	21267	False	False	False
OSD-313|genotype|Nuc1-2 Mutant	OSD-313	genotype	Nuc1-2 Mutant	(unknown)	ESA, NASA	rna-seq	6	6	20059	False	False	False
OSD-313|genotype|Nuc2-2 Mutant	OSD-313	genotype	Nuc2-2 Mutant	(unknown)	ESA, NASA	rna-seq	6	6	20059	False	False	False
OSD-314|altered gravity|0.34G by centrifugation	OSD-314	altered gravity	0.34G by centrifugation	SpaceX-4	ESA, NASA	rna-seq	6	6	20146	False	True	False
OSD-314|altered gravity|uG	OSD-314	altered gravity	uG	SpaceX-4	ESA, NASA	rna-seq	5	6	20146	False	True	False
OSD-314|spaceflight|Space Flight	OSD-314	spaceflight	Space Flight	SpaceX-4	ESA, NASA	rna-seq	11	6	20146	False	True	False
OSD-320|genotype|atm-1	OSD-320	genotype	atm-1	(unknown)		microarray	20	24	21267	False	False	False
OSD-320|ionizing radiation|Cesium-137 gamma radiation	OSD-320	ionizing radiation	Cesium-137 gamma radiation	(unknown)		microarray	18	8	21267	False	False	True
OSD-320|ionizing radiation|Fe-56 ion radiation	OSD-320	ionizing radiation	Fe-56 ion radiation	(unknown)		microarray	18	8	21267	False	False	True
OSD-321|genotype|bzip28-2	OSD-321	genotype	bzip28-2	SpaceX-12	NASA	rna-seq	8	10	19267	False	False	False
OSD-321|genotype|bzip60-2	OSD-321	genotype	bzip60-2	SpaceX-12	NASA	rna-seq	8	10	19267	False	False	False
OSD-321|genotype|bzip28-2 bzip60-1	OSD-321	genotype	bzip28-2 bzip60-1	SpaceX-12	NASA	rna-seq	10	10	19267	False	False	False
OSD-321|genotype|ire1a-4 ire1b-2	OSD-321	genotype	ire1a-4 ire1b-2	SpaceX-12	NASA	rna-seq	8	10	19267	False	False	False
OSD-321|spaceflight|Space Flight	OSD-321	spaceflight	Space Flight	SpaceX-12	NASA	rna-seq	22	22	19267	False	True	False
OSD-346|altered gravity|uG	OSD-346	altered gravity	uG	SpaceX-2	NASA, ESA	rna-seq	6	14	18910	False	True	False
