Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT2G40660	0.4105	0.4663	0.2029	0.4077	-0.4008	-0.0758	-0.0725	-0.4095	0.4821	0.6344	0.3072	0.4027	0.1475	0.2913	0.1695	0.2964	-0.232	-0.4282	-0.0247	0.0052	-0.0812	0.2043	0.0328	0.1675	-0.0242	-0.0212	-0.2647	-0.1265
AT2G40670	-0.2889	-0.083	-0.4152	-0.3353	-1.1622	-0.6067	-0.2913	-0.6173	0.4618	0.1914	0.3092	0.6179	0.6039	0.0759	0.0191	0.5709	-0.1999	-0.4659	0.4675	0.2053	-0.0732	-0.2682	0.1673	-0.1005	-0.2107	0.1175	0.0718	0.1377
AT2G40690	0.015	-0.1184	0.0837	-0.0105	-0.6778	-0.3878	-0.1665	-0.3712	0.3482	0.5536	-0.096	-1.1197	-0.2266	-0.1328	-0.3373	-0.1976	-0.2252	-0.86	-0.0589	-0.4554	-0.242	0.0642	0.1852	0.1408	0.0255	0.0235	-0.4224	-0.3222
AT2G40700	0.29	0.5273	0.3431	0.586	-0.0115	0.233	0.2899	0.1913	0.503	0.8659	-0.4798	-0.0007	-0.3827	0.0766	0.0522	0.2113	-0.5592	-1.0288	0.1292	0.4257	0.4568	0.4839	-0.0481	-0.0027	-0.1934	0.0118	-0.0413	0.1903
AT2G40710	-0.2768	-0.3189	-0.2149	-0.0613	-1.0036	-0.7106	0.206	0.1692	-0.2353	0.2159	0.8021	0.6452	0.0981	0.0172	0.4181	-0.369	0.0039	-0.4207	0.6509	-0.3147	-0.7755	0.3963	-0.7755	-0.2669	0.1834	0.3923	0.2369	-0.4844
AT2G40711	0.0993	-0.2789	-0.0893	-0.0469	-0.6026	0.2723	0.2479	0.0415	-0.1431	0.2495	-0.0974	-0.3375	-0.3133	-0.0614	-0.3857	-0.1	-0.2024	-0.1268	0.2633	0.2544	-0.2762	-0.0459	-0.0073	-0.0541	-0.2637	0.1284	-0.5866	0.1221
AT2G40720	-0.1931	-0.066	-0.0762	0.2527	-0.1435	0.1572	-0.0423	-0.1539	0.1319	0.2553	-0.092	-1.1331	-0.5784	-0.0685	0.0756	0.2376	-0.2396	-0.5465	-0.0042	0.2946	-0.3048	0.3791	0.0768	0.1272	-0.0413	-0.3321	-0.4361	-0.1478
AT2G40730	0.0549	0.1411	0.0283	0.0415	-0.2167	-0.1077	-0.0784	-0.078	-0.0488	0.0275	-0.2215	-1.1452	-0.4085	-0.2651	-0.4149	-0.1142	-0.0518	-0.1183	0.1584	0.1477	-0.2243	0.0364	-0.0844	-0.1305	0.1029	-0.0834	-0.1092	0.1405
AT2G40750	-0.1559	0.3637	0.0361	0.2592	-0.5296	-0.2677	0.1553	-0.4413	-0.5126	-0.2056	-0.1379	-0.7994	0.0824	-0.2993	2.4308	2.1294	0.7142	0.6918	0.7922	0.6988	0.0058	0.4931	0.5585	0.9443	0.936	1.7573	3.2919	3.6056
AT2G40760	-0.3008	-0.4286	-0.1021	-0.3825	-0.0455	0.2214	-0.1028	0.1806	0.0909	0.0237	-0.4822	-0.7645	-0.5367	-0.4211	-0.6361	-0.5319	0.0955	0.1034	0.002	-0.111	-0.161	-0.1574	-0.1406	-0.2507	-0.1964	-0.2271	-0.2479	-0.4487
