Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT1G01010	0.1584	0.1248	-0.1133	0.0478	0.2041	0.2275	0.681	0.2533	0.6269	0.5959	0.1749	-0.1598	-0.1011	-0.1387	0.913	0.1335	-0.2737	-0.1654	0.6071	0.8817	0.2602	0.6645	0.3136	0.2552	0.1437	0.1731	0.8746	1.357
AT1G01020	0.0598	-0.4846	-0.0063	-0.5417	0.343	0.1375	0.4152	0.0512	0.5287	0.1586	-0.2201	-0.3319	-0.1821	-0.5409	-0.0509	-0.1573	0.0603	-0.0336	0.3666	0.3499	0.088	-0.0634	-0.0504	-0.0962	0.0468	0.1175	-0.0239	-0.4174
AT1G01030	-0.8671	-0.8429	-1.1126	-0.9253	-1.186	-0.4065	0.0897	-0.1833	-0.6747	-0.1896	-0.879	0.2913	-0.8787	-0.79	-0.4669	-0.8998	-0.6173	-0.5299	-0.1529	-0.1723	-0.4342	-0.1617	-0.2356	-0.3734	-0.1864	-0.3071	-0.2792	-0.0506
AT1G01040	-0.4145	-0.1571	-0.4994	-0.3602	-0.563	-0.206	0.099	-0.1526	-0.3189	-0.342	-0.7347	-1.4871	-1.029	-0.9599	-0.7305	-0.5534	-0.1623	-0.624	0.1996	0.1787	-0.0916	0.1765	-0.0681	-0.2332	-0.1115	-0.1011	0.0575	0.028
AT1G01050	-0.3717	-0.1527	-0.2679	-0.1659	-0.1157	0.0958	0.2051	0.0932	0.1291	0.1791	0.0643	-0.3639	-0.1012	0.0265	0.082	0.0166	-0.0636	-0.2082	0.1716	0.0758	-0.1806	-0.0059	0.0845	0.15	0.0917	0.1275	-0.1599	-0.1074
AT1G01060	-0.9124	-0.1553	-1.1347	-0.6277	-0.3726	0.2807	0.5504	0.2987	-0.8537	0.1002	-1.3289	-2.1068	-1.1442	-1.6537	-0.1457	0.3005	-0.5112	-0.5936	0.1053	0.6213	0.5633	-0.1952	-0.317	-0.8741	0.719	0.6195	0.1322	0.448
AT1G01070	-0.2396	-0.2268	-0.5819	-0.4893	0.2982	0.2268	-0.1369	-0.1059	0.5474	0.3082	0.3194	-0.9038	-0.2189	-0.1254	0.3179	0.4228	-0.1167	0.0864	-0.1165	-0.5242	0.2714	0.391	0.1025	-0.1189	-0.59	-0.1453	0.0672	-0.5405
AT1G01080	-0.0943	-0.306	-0.2782	-0.323	-0.555	-0.4594	-0.3578	-0.5352	0.2066	0.3231	0.1691	-0.3154	0.3192	0.4794	0.1252	0.3607	-0.1495	-0.1393	-0.0856	-0.2203	-0.0414	-0.0862	0.0475	-0.0589	-0.0775	-0.0935	-0.1555	-0.3754
AT1G01090	-0.1037	0.0213	-0.1085	0.0775	-0.0584	0.0613	0.0675	0.2015	-0.0085	-0.0023	-0.331	0.0599	-0.6259	-0.532	-0.5236	-0.3643	-0.054	-0.1084	-0.0652	0.0316	-0.1232	0.134	0.053	0.1017	-0.126	0.025	-0.3117	-0.2964
AT1G01100	0.214	-0.1538	0.3335	-0.0098	0.1023	-0.1727	-0.0614	-0.2186	0.372	0.3078	0.0062	1.4802	0.2628	0.0519	0.2716	0.2066	-0.0013	-0.2869	0.0091	0.0455	-0.2374	-0.0211	-0.2651	-0.0908	-0.0946	-0.0311	-0.2556	-0.4942
AT1G01110	-0.2234	-0.398	-0.3063	-0.0527	0.1217	0.3446	-0.2616	0.108	0.6321	0.1761	-0.0977	-0.5197	-0.1733	-0.0491	-0.6134	-0.4712	-0.0457	-0.0697	0.2518	0.3186	-0.4175	0.1593	-0.048	-0.3653	-0.4956	-0.3063	-0.2397	-0.4294
AT1G01120	1.0843	1.434	0.9378	1.1044	0.1463	0.7056	1.3594	0.0521	-0.213	-0.4403	0.8529	0.1208	0.4627	0.4739	0.0685	0.4433	0.1852	0.2332	0.2138	-0.0619	0.4808	-0.2993	-0.1598	-0.1221	0.1891	-0.2174	0.1496	-0.1214
AT1G01130	-0.2301	0.0273	0.3859	0.039	-0.1129	0.1448	0.2739	-0.0108	0.0481	-0.0555	0.4906	0.9869	0.107	-0.136	0.001	0.3211	-0.3014	0.0613	0.2129	-0.5483	-0.1852	-0.2605	0.0701	0.1472	0.1035	0.3913	-0.2391	-0.4874
AT1G01140	-0.0585	0.1524	0.0078	0.1218	0.4259	0.9549	0.7957	0.3664	-0.5532	-0.0039	-0.6723	-0.7217	-0.4745	-0.6612	-0.3374	-0.3746	1.1223	1.1234	0.4708	0.2003	0.0659	-0.1097	0.0208	-0.027	-0.1447	-0.1296	-0.0842	0.2072
AT1G01160	-0.009	-0.52	0.0737	-0.3957	0.3593	0.27	0.1802	0.274	0.1048	-0.0715	-0.3024	-0.1774	-0.3626	-0.3768	-0.4761	-0.5953	0.0706	0.1011	0.0355	-0.0967	-0.0407	-0.0212	-0.1272	-0.0772	-0.0599	-0.0471	-0.2803	-0.073
AT1G01170	-0.0121	-0.7922	0.1184	-0.6167	0.6675	0.016	0.6169	0.5	0.5334	-0.2185	0.4345	1.2598	0.6528	0.1362	0.2078	-0.1901	0.2969	0.1682	-0.121	0.1251	-0.0664	-0.2055	-0.0855	-0.1761	0.001	0.1105	0.1112	-0.173
AT1G01180	-0.038	-0.1413	0.187	-0.0843	0.8705	0.5908	-0.0714	0.3704	-0.4037	-0.0663	0.1553	0.2712	0.6184	0.2376	-0.1381	0.2414	0.4565	0.766	-0.1476	-0.489	0.0653	-0.2118	-0.1267	0.1421	0.0241	0.0311	-0.0861	-0.0113
AT1G01190	1.339	1.5424	1.4077	1.3853	-1.0864	0.6434	-0.9799	-0.3781	0.0941	0.2702	1.1263	1.3656	1.0807	1.1945	0.3044	1.0317	-0.0899	-0.4856	-0.8077	-0.8572	-0.4638	-0.7187	-0.0065	0.1177	0.036	-0.2959	0.406	-0.9716
AT1G01200	0.342	0.4121	0.2687	0.7365	-0.4275	-0.4394	-0.0162	-0.2727	0.3963	-0.24	0.3061	1.2865	1.0276	0.8294	0.5513	0.4842	-0.5267	-0.4535	0.1757	0.3337	-0.3754	0.1806	0.1661	0.4689	0.1504	0.2434	0.1179	-0.1961
AT1G01210	0.3177	0.1764	0.3951	0.0327	0.0459	-0.1849	0.427	-0.0469	0.3732	0.2164	0.0691	0.8695	0.2576	0.1768	0.2548	0.1398	-0.1321	-0.6774	0.2503	0.6384	0.2998	0.5654	-0.0089	0.3162	-0.0889	0.2592	0.4519	-0.0079
AT1G01220	-0.0285	0.1474	0.1764	0.0091	-0.3642	-0.1412	0.0721	-0.1815	0.4527	0.3357	0.115	-0.908	0.051	0.3233	0.2794	0.152	-0.2383	-0.5381	0.3442	0.1608	0.1315	0.3421	0.3731	0.3323	0.1643	0.2996	0.1793	0.1752
AT1G01225	0.2446	0.1267	-0.109	0.5707	-0.3635	0.049	-0.0536	-0.4763	0.1929	0.0008	-0.1504	-0.0823	-0.0895	-0.169	0.4143	0.5056	0.2105	0.0795	-0.3617	-0.1584	-0.7454	0.025	-0.2857	-0.0452	-0.3678	0.1344	0.2703	-0.039
AT1G01230	-0.036	-0.4894	0.0972	-0.2148	-0.0059	0.0917	0.1117	0.2313	0.3645	-0.1738	0.223	0.4656	0.1755	0.0924	0.1543	0.2041	0.0876	0.1833	0.1641	0.3182	-0.0888	0.1238	-0.1527	0.1865	-0.0493	-0.0342	0.2787	0.4644
AT1G01240	0.1296	-0.1561	0.2314	-0.4151	0.6872	0.9905	-0.0379	1.1996	0.8961	0.2212	0.1773	-0.0428	-0.153	-0.4866	0.4503	-0.0303	1.1202	1.5616	-0.4014	-0.3231	-0.0409	-0.2732	-0.5688	-0.8571	-0.5488	0.0036	0.1876	-0.0412
AT1G01250	0.6894	1.0545	0.4141	0.2005	-0.1441	0.3556	0.1531	0.0881	0.147	-0.3753	1.3211	1.6743	1.6643	1.6842	2.0255	0.9143	-0.7507	-0.8497	-0.6652	-0.7408	0.5545	0.915	0.1066	0.0538	0.3088	0.0628	-0.4307	0.2751
AT1G01260	0.0731	-0.0766	0.1286	0.2344	-0.2074	0.1688	0.3751	1.1319	0.6167	0.0841	-0.3447	-1.0171	-0.3819	-0.2568	-0.2695	-0.1788	0.0089	0.0601	0.0284	0.369	-0.4419	-0.0523	-0.275	-0.0893	-0.2264	-0.2443	-0.0902	0.0798
AT1G01290	-0.0437	0.009	0.0866	0.0388	0.0248	0.1754	0.2656	0.0031	0.1301	0.0615	0.1898	0.2167	0.0059	0.1235	0.47	0.2809	-0.1997	-0.1724	0.1933	0.4605	-0.1346	0.0619	-0.1352	0.0206	-0.0236	0.355	0.1994	0.2815
AT1G01300	-0.4088	-0.1882	-0.3885	-0.1055	-1.1404	-0.5953	-0.3177	-0.6833	-0.2692	-0.2836	-0.0168	-0.0326	0.221	0.378	-0.2514	0.0444	-0.2727	-0.5807	0.0797	0.2305	-0.5351	-0.0687	-0.0721	0.0122	-0.0976	-0.0533	-0.1623	0.1129
AT1G01320	0.0763	0.488	-0.1539	0.3452	-0.4967	-0.1182	-0.0423	-0.2482	-0.1726	0.4814	-0.2885	-1.1325	-0.5277	-0.1311	-0.4333	-0.0231	-0.4639	-0.924	-0.0555	-0.1477	0.1234	0.3221	0.1687	0.0543	-0.2023	-0.069	-0.1151	-0.3182
AT1G01340	-0.3041	-0.4629	-0.278	-0.2187	0.009	0.189	0.6154	0.155	0.5128	0.4555	-0.4746	-1.0792	-0.8394	-0.6784	-0.2669	-0.0457	0.5653	0.4515	0.8776	0.7995	0.5031	0.4175	0.037	0.0504	-0.0514	-0.124	0.8423	1.1548
AT1G01350	0.0744	-0.0909	0.2552	-0.1313	0.2484	0.4225	0.1739	0.1493	0.0774	0.166	-0.2954	-0.0235	-0.4176	-0.3444	0.1209	-0.0593	0.3082	0.3149	0.2031	0.4612	-0.1611	0.0014	-0.0976	-0.1538	-0.0504	0.0216	0.0947	0.4085
AT1G01360	-0.4365	0.0847	-0.0406	-0.2192	0.308	0.5657	0.1332	0.3485	0.0957	0.0402	0.2431	-0.3517	0.2849	0.1324	0.3818	-0.0973	0.3396	0.0972	-0.1401	0.1937	0.3319	-0.1728	-0.1009	-0.1282	-0.1844	0.1249	-0.2318	-0.1139
AT1G01370	0.0935	0.0709	0.1265	0.1283	-0.6144	-0.3773	-0.8093	-0.6912	-0.0072	0.004	0.4232	0.5233	0.3986	0.7042	0.4055	0.3861	-0.117	-0.5674	-0.5183	-0.1522	-0.51	-0.0243	0.0381	0.0842	-0.0216	0.1108	-0.2017	0.0802
AT1G01390	-0.5442	-0.0173	-1.1428	-0.6575	-0.9659	-0.4205	-0.1509	-0.3537	0.0548	0.5178	0.4814	0.127	0.5995	0.9917	-0.2066	-0.0069	-1.357	-1.4438	0.323	0.0336	-0.0127	0.3248	0.2551	0.1909	-0.354	-0.0545	-0.4195	-1.0319
AT1G01420	-0.018	0.7476	-0.678	0.007	-0.4722	-0.4303	0.448	-0.2103	-0.5406	-0.3476	0.8057	0.8311	0.8852	0.7067	0.7552	0.545	-0.8006	-0.731	0.6267	0.2964	0.4615	0.5519	0.4001	0.2354	0.1121	0.0518	0.0787	0.1306
AT1G01430	-0.1396	0.2221	-0.4285	-0.016	-0.4837	-0.0836	-0.295	0.1936	-0.6572	-0.0786	0.0714	0.0868	-0.2603	0.1063	-0.6323	-0.0176	-0.4859	-0.3699	-0.3353	-0.3536	-0.0626	-0.0983	-0.2686	-0.3047	-0.2681	-0.3294	-0.2856	-0.3197
AT1G01440	0.198	0.3081	0.3887	0.3898	0.3482	0.6695	0.0425	0.251	0.1211	0.2332	-0.1541	-1.627	-0.5615	-0.3778	-0.342	-0.0963	0.2867	0.3912	-0.1715	-0.1219	0.0832	0.1181	-0.0738	-0.0563	-0.0539	-0.08	0.2382	0.2528
AT1G01448	-0.5891	-0.8858	-0.5771	-0.6407	0.382	0.4837	0.3922	0.4547	0.0782	-0.0285	-0.8801	-1.9796	-1.0609	-1.2217	-0.9785	-0.8317	0.4712	0.4794	0.3122	0.2738	-0.4276	0.0238	-0.3496	-0.6454	-0.3541	0.1179	-0.0558	-0.1131
AT1G01470	0.6601	1.005	0.5544	0.6053	0.1499	0.2473	0.8538	-0.2166	-0.1424	-0.3866	0.0932	0.0094	0.4484	0.1231	1.6732	0.1341	-0.133	-0.094	0.1747	0.1273	-0.0658	0.3486	-0.0939	-0.0777	-0.2462	-0.2609	0.081	0.1516
AT1G01480	-0.1382	0.3715	0.506	0.2682	0.0581	-0.1374	-0.1067	-0.0284	0.4199	0.1077	-0.2115	-0.3806	-0.0539	-0.297	1.0885	0.5459	-0.2022	-0.1136	0.6681	0.5961	0.2932	0.6084	-0.0503	0.066	0.7201	0.8133	1.4015	1.187
AT1G01490	-0.8106	-0.6175	-0.608	-0.5549	-0.1521	-0.01	-0.2952	0.0386	-0.3089	-0.3754	-0.8445	0.3641	-0.9055	-1.1048	-0.4764	-0.505	0.0522	0.2648	0.0031	-0.0224	0.2895	-0.445	0.0786	-0.1703	-0.0928	0.1226	0.0935	0.3881
AT1G01500	-0.0033	-0.0515	-0.3627	-0.2677	-0.0415	-0.1316	0.1097	-0.3146	-0.0041	-0.3482	0.0607	-0.5587	-0.4056	0.1585	0.6042	0.1134	-0.5116	-0.5163	0.2056	0.4501	-0.0999	0.2245	-0.0186	0.1739	-0.1748	0.0518	0.2497	0.3781
AT1G01510	-0.202	-0.2732	-0.2147	-0.1673	-0.0316	0.1834	-0.3196	-0.0197	-0.2507	-0.0832	-0.5367	-0.8692	-0.4934	-0.1947	-0.6196	-0.2842	0.184	0.2048	-0.0114	0.1327	-0.4347	0.0066	-0.1907	-0.1599	-0.0203	-0.0096	-0.0457	-0.1311
AT1G01520	-0.9135	0.109	-1.5087	-1.0274	-1.6499	-1.6618	2.6628	-0.5414	-1.4938	-1.0814	-0.1256	-0.0024	-0.4439	-0.8149	1.0175	-0.0225	-1.3109	-1.7143	1.0122	1.6673	0.8882	0.486	0.3766	0.4059	2.0955	1.9156	-0.172	1.1799
AT1G01540	0.3453	0.0071	0.4935	0.0373	0.5562	0.2982	0.1606	0.1666	0.2808	-0.2494	0.1521	-0.9383	0.0215	-0.1632	-0.5326	-0.1986	0.3659	0.2052	-0.3153	-0.3601	-0.0601	-0.298	-0.106	-0.1635	0.0836	0.128	-0.2601	-0.1601
AT1G01550	0.1096	0.3272	0.0422	0.2974	0.091	0.415	0.267	0.3771	-0.1015	-0.1016	-0.1139	-0.7473	-0.3746	-0.1719	0.0859	0.0679	0.5073	0.4786	0.1829	0.2521	0.1486	-0.0349	-0.0319	0.06	-0.0534	-0.0313	0.2137	0.4119
AT1G01570	0.8032	0.8109	0.7177	0.5923	0.4678	0.5672	0.3232	0.1845	0.3775	0.5222	0.1618	-0.2802	0.678	0.3226	0.5564	0.1283	0.3675	0.0739	-0.2109	0.0811	-0.1235	0.2119	0.5221	0.9882	1.4084	1.6403	0.1289	1.6553
AT1G01580	-0.7674	-1.8408	-0.5553	-2.2438	-0.2471	-0.5245	-1.6095	-1.4838	1.6089	0.6112	0.4703	-1.701	-1.5613	-0.8897	0.7282	0.2141	0.2551	0.6311	0.4952	1.0803	-0.6186	0.3833	0.9258	1.8752	2.0342	1.639	-0.3962	2.6174
AT1G01600	0.488	1.36	0.8424	1.0	-0.3175	-0.4241	-0.2154	-0.3199	1.0901	1.0913	1.4236	0.4403	0.9446	0.9907	0.861	1.1638	-1.0409	-1.656	0.0649	0.1799	-0.6108	0.2067	-0.1566	0.2211	-0.0853	-0.1289	-0.3708	0.2336
AT1G01610	0.3816	0.8113	0.1023	0.5509	-0.4684	-0.0517	0.1157	-0.1515	-0.6028	-0.0727	-0.1269	0.0761	-0.1189	-0.0568	-0.6077	-0.3124	-0.6988	-0.492	0.1566	0.1152	0.0273	-0.0215	0.3631	0.2299	-0.0066	-0.0604	-0.0344	-0.144
AT1G01620	0.2451	-0.1539	0.4502	-0.0206	0.8444	0.8259	0.4823	0.8215	0.3707	0.1046	0.4342	0.0235	0.6001	0.4031	-0.2164	-0.0032	0.3491	0.6401	-0.3062	-0.5756	-0.6877	-0.8415	-1.1644	-1.0038	-0.1693	-0.5318	-0.4983	-0.7844
AT1G01630	0.672	0.3289	0.4971	0.4773	-0.2713	-0.4659	0.0666	-0.2692	0.2274	0.2144	0.5637	-0.2792	0.6904	0.5588	0.4282	0.675	-0.1724	-0.2519	0.0873	0.0325	0.0096	0.0676	0.1452	0.3723	0.3032	0.3094	0.1688	0.462
AT1G01640	-0.6243	-0.9019	-0.6108	-0.8352	-0.0614	0.1793	0.2687	0.0646	-0.0152	-0.3989	-0.3634	0.0597	-0.5159	-0.4408	-0.0016	-0.0375	0.3104	-0.3048	-0.1133	0.3132	-0.3141	-0.0949	-0.5807	-0.068	-0.251	0.0835	0.2924	0.2424
AT1G01650	0.2583	0.4431	0.2101	0.4077	0.0808	0.2541	0.4113	0.068	0.213	-0.0301	-0.2254	-0.9781	-0.2605	-0.2391	-0.0727	-0.2613	0.1825	0.0395	0.653	0.4016	0.179	0.3094	0.2469	0.1406	0.0152	-0.0232	0.3682	0.3829
AT1G01660	-0.2453	-0.5892	-0.0419	0.0976	0.0471	-0.2307	-0.6429	-0.3783	-0.1395	-0.6964	-0.6941	-0.208	-0.2121	0.2018	-0.3421	-0.8323	0.0145	0.2116	0.0262	0.1588	-0.0704	-0.2298	-0.3783	-0.1545	-0.0422	0.0054	0.4023	0.4691
AT1G01690	-0.318	-0.2983	-0.4936	-0.4904	-0.6014	-0.4644	-0.7421	-0.7818	-0.53	-0.5086	-0.4233	-0.7335	0.0702	0.4256	-0.1003	-0.0914	0.039	-0.4844	-0.4959	-0.3156	-0.7423	-0.5101	-0.2685	-0.4021	0.5493	0.4992	-0.3809	-0.6033
AT1G01700	-0.7918	-0.1221	-0.3328	-0.2895	-0.8315	0.1794	-0.0466	-0.2257	-0.1378	-0.138	-0.332	-0.4658	0.3429	0.4123	0.3135	0.2614	-0.1098	0.0263	-0.7249	-0.432	-0.7379	-0.6284	0.1634	0.215	0.5876	0.4304	-0.0599	0.1373
AT1G01710	-0.1255	-0.1727	-0.004	-0.41	0.1901	0.0954	0.1985	0.2941	0.2569	-0.0387	-0.4311	-1.2242	-0.4476	-0.5481	-0.325	-0.3817	-0.1462	-0.02	-0.1441	0.1247	-0.1345	-0.1002	0.0229	0.0119	0.0324	0.065	-0.1654	0.0271
AT1G01715	0.1293	-0.2572	0.6233	-0.0473	0.6922	0.3378	0.0716	0.3169	0.4769	0.3271	-0.1978	-0.3945	-0.1093	-0.584	-0.3515	0.2333	0.2891	-0.357	0.4773	0.209	-0.0938	0.1336	-0.0878	-0.0187	0.5971	-0.0093	-0.116	0.3424
AT1G01720	-0.1304	0.0071	0.1308	-0.2126	0.3671	0.0574	0.5284	0.5247	-0.9991	-0.9528	-1.0047	-1.6076	-0.5246	-0.9176	0.4501	-0.8525	0.5425	0.5601	-0.0527	0.4188	0.4894	0.2744	-0.0956	0.0723	0.0715	0.1621	0.0312	0.125
AT1G01725	-0.0099	-0.577	-0.3397	-0.7127	0.1914	0.0375	-0.0972	-0.049	0.3135	-0.3048	-0.0792	0.0427	-0.0183	-0.8184	0.2184	-0.398	0.0136	-0.2717	0.2018	-0.4351	-0.0693	-0.4429	-0.5627	-0.3743	-0.3404	0.0302	-0.0721	0.1255
AT1G01730	-0.6127	-0.55	-0.4629	-0.5764	0.0383	-0.2022	-0.0795	-0.0103	0.0171	-0.4331	-0.0167	0.5689	0.0033	-0.0783	-0.1728	-0.272	0.1093	-0.1221	0.1475	0.4294	-0.25	0.1154	-0.1203	-0.0181	0.1407	0.2924	0.0952	0.3664
AT1G01740	-0.3535	-0.2169	-0.1502	-0.2833	-0.6887	-0.6095	0.347	-0.3138	0.307	0.3789	-0.1308	-0.8121	-0.498	-0.6222	-0.2758	-0.0275	-0.1023	-0.657	0.5801	0.5923	0.4901	0.53	0.2821	0.0408	-0.0463	0.1322	0.3689	0.0204
AT1G01750	-0.8766	-0.5869	-0.4239	-0.7001	-0.7483	-0.7487	-1.0584	-0.5797	-0.3343	-0.4752	-0.0428	0.4717	-0.3935	-0.3713	-0.4727	-0.7417	0.052	0.2345	-0.0178	0.43	0.1925	0.2003	0.3738	0.409	0.3036	-0.2734	-0.6406	-0.2916
AT1G01760	0.2208	0.0311	0.2879	0.2748	0.5796	0.3738	0.082	0.3578	0.2506	0.2015	-0.6999	-1.7914	-0.7295	-0.7534	-0.9148	-0.3999	0.3378	0.2597	0.3455	0.1566	0.1257	0.176	-0.4407	0.0546	-0.0684	-0.2359	-0.256	-0.1918
AT1G01770	-0.4419	-0.6718	-0.3226	-0.5224	0.6661	0.3906	0.5463	0.8041	0.012	-0.5428	-0.7586	-1.9213	-1.0462	-1.0446	-1.0654	-1.0356	0.7039	0.7209	0.147	0.023	-0.1802	-0.0986	-0.2052	-0.3145	-0.2899	-0.0648	-0.2822	-0.6385
AT1G01780	-0.5049	-0.6268	-0.1718	-0.613	0.0473	-0.1442	-0.0318	0.0597	-0.1561	-0.3977	-0.6197	0.9048	-0.4984	-0.4839	-1.0756	-1.2627	0.2044	0.2559	0.027	0.1566	-0.0018	-0.2584	-0.0052	-0.2704	-0.1085	0.1639	-0.4877	-0.096
AT1G01790	-0.4103	-0.2394	-0.4988	-0.3707	-0.8593	-0.6137	-0.6484	-0.8784	-0.3237	-0.1828	-0.3082	-2.1129	-0.0443	-0.1366	-0.5619	-0.3677	-0.3237	-0.4306	-0.1802	-0.4478	-0.2952	-0.2483	0.0205	-0.3275	0.1832	0.0006	-0.426	-0.2873
AT1G01800	0.0878	-0.1181	0.1941	0.027	0.3409	0.1971	0.4759	0.4583	0.3074	0.0181	0.3542	-0.3066	0.3927	0.1902	0.3312	0.2396	0.2834	0.0491	0.2767	0.3348	0.1452	0.1909	0.087	0.3189	0.2082	0.3078	0.3207	0.4839
AT1G01820	-0.4058	-0.6695	-0.3605	-0.864	0.3234	0.0725	0.2375	0.1412	0.0755	-0.2156	-0.0853	0.0265	-0.2349	-0.3316	-0.4758	-0.5548	0.0866	0.1222	0.1175	0.1352	0.167	0.1618	-0.1437	-0.0468	-0.3188	-0.1225	0.0399	0.0287
AT1G01830	-0.467	-0.4634	-0.6817	-0.433	-0.5656	-0.4846	0.1651	-0.4005	-1.141	-0.7982	-0.5796	-0.0096	-0.0268	0.0449	0.0568	-0.0789	-0.1185	-0.1972	0.0398	0.2927	-0.4939	-0.569	-0.5956	-0.3415	0.2067	0.1754	0.0411	-0.0174
AT1G01840	0.4129	0.6406	0.7462	0.4367	-0.1568	-0.2485	0.2098	-0.0891	0.8151	0.5078	-0.1548	1.3606	0.6511	0.3254	0.8021	0.4197	-0.2647	-0.3041	-0.3031	-0.0675	-0.0439	0.0835	0.4318	-0.0224	-0.481	0.1311	-0.9837	0.0792
AT1G01860	0.2881	0.3302	0.2991	0.2462	-0.0006	-0.1276	0.3528	-0.0545	0.5488	0.259	0.3211	-0.3331	0.3281	0.3763	0.1353	0.2468	-0.3057	-0.499	-0.1378	-0.4995	-0.5591	-0.187	0.219	0.0155	-0.1489	-0.1799	-0.5952	-0.6028
AT1G01880	-0.2083	-0.4199	-0.4981	-0.2854	-0.1363	0.1644	-0.4208	-0.7814	-0.4864	-0.4372	-0.5525	-0.7061	-0.3809	-0.2006	0.0037	0.1102	-0.2495	-0.1034	-0.0977	-0.1381	-0.6423	-0.7045	-0.6315	-0.094	0.34	0.1606	-0.1666	-0.2628
AT1G01900	0.3921	1.001	0.0715	0.4632	-0.3504	-0.0354	-0.7078	-1.0468	-0.0935	0.2284	0.7513	0.8705	0.936	1.034	0.9822	1.0727	-0.5098	-0.4252	-0.2799	-0.6449	0.0601	0.3829	0.4768	-0.0327	0.3139	0.1154	0.1862	0.4722
AT1G01910	0.1065	0.0629	0.0574	0.0839	-0.2171	-0.1517	0.1331	-0.1463	0.1869	0.148	0.1538	-0.631	-0.1504	0.0177	-0.1087	0.0113	-0.0067	0.0665	0.1841	0.2497	0.1351	0.1984	0.0653	0.162	-0.0317	-0.1227	-0.0404	0.1791
AT1G01920	0.096	-0.0495	0.1107	0.0281	0.1961	0.4667	0.1228	0.206	0.5549	0.3278	-0.0585	-0.6756	-0.2736	-0.6999	-0.11	-0.0779	0.0169	-0.1675	0.1998	0.0355	-0.3278	0.0688	-0.0854	-0.1938	0.1591	0.2337	-0.0959	0.1506
AT1G01930	0.1174	-0.0506	0.1264	0.0707	0.4269	0.2934	0.1268	0.2904	-0.0069	0.0128	-0.1738	-1.5488	-0.3708	-0.1681	-0.2842	-0.0237	0.265	0.0279	0.4402	0.1024	0.0066	0.1393	-0.0169	-0.1931	0.0037	-0.0262	-0.066	-0.2835
AT1G01940	0.2552	-0.2356	0.5459	0.1728	0.028	-0.2298	0.2634	0.13	0.8308	0.7202	0.4455	0.9724	0.2749	0.2395	0.3036	0.22	0.0093	-0.3441	0.2987	0.1377	0.3964	0.3719	0.3133	0.2903	0.0743	0.4578	0.0935	0.2598
AT1G01950	-0.0865	-0.0587	0.1706	0.335	0.1177	0.2907	0.2818	-0.0524	0.2085	-0.1457	-0.2892	-1.1823	-0.4295	-0.5248	-0.6208	-0.2838	0.3496	0.3178	0.0339	0.1789	-0.2715	0.0152	-0.1284	-0.1905	0.1061	0.0419	-0.3101	-0.1008
AT1G01960	-0.3217	-0.1975	-0.3335	-0.2326	-0.1225	0.0503	-0.1829	0.089	0.035	-0.1157	-0.8752	-1.8874	-1.0462	-0.7509	-0.8414	-0.613	0.1189	0.0437	0.0428	0.0754	-0.3003	0.0386	-0.0938	-0.0533	-0.0459	-0.0172	0.072	0.1431
AT1G01970	0.2914	0.3533	0.0385	0.1837	-0.2822	-0.4978	0.2534	0.0597	0.2603	0.3924	0.6174	0.151	0.5408	0.3972	0.2319	0.1623	-0.5716	-0.831	-0.0886	-0.0599	0.3012	0.3964	0.3105	0.2694	-0.0817	0.1873	-0.0734	-0.2224
AT1G01990	-0.0903	-0.3671	-0.0814	-0.2599	0.2276	0.2219	0.0195	0.5084	0.2339	0.0253	-0.3188	-0.0535	-0.4631	-0.3406	-0.5571	-0.309	0.1749	0.3193	0.2594	0.3055	0.1172	0.1438	-0.2193	-0.2304	-0.4015	-0.204	-0.0173	-0.1839
AT1G02000	0.0843	0.0523	0.3041	0.0488	-0.0285	0.2946	0.1593	-0.0201	-0.4064	-0.2006	0.0482	-0.2567	0.0421	-0.1242	-0.3815	-0.1632	-0.1095	0.2018	0.1913	0.2462	0.1293	0.0604	-0.0627	0.0256	0.243	-0.0735	-0.0622	0.0285
AT1G02010	-0.4454	-0.0219	-0.4707	-0.2179	-0.289	-0.6103	0.3447	-0.3883	-0.2835	-0.3772	-0.22	-1.3727	-0.5984	-0.6669	-0.4167	-0.5359	-0.4351	-0.666	0.529	0.6193	0.0329	0.0527	0.2157	0.0536	0.1216	0.3209	-0.3153	-0.2253
AT1G02020	0.0415	-0.0902	-0.1824	-0.0873	0.1257	0.0529	0.0752	0.2729	-0.337	-0.0278	-0.2811	-0.6556	-0.6143	-0.5095	-0.7021	-0.418	-0.1445	-0.0833	-0.1781	-0.0582	0.0423	-0.0813	-0.11	-0.1936	-0.4684	-0.3151	-0.104	-0.4102
AT1G02050	-0.6771	-0.5827	-0.4748	-0.484	0.4205	0.2127	-0.1462	0.4771	0.1207	-0.5418	-0.821	-0.5607	-0.5687	-0.8855	-0.6928	-0.9577	0.2418	0.1606	-0.0266	0.3892	0.057	-0.2481	-0.4405	-0.2146	-0.5542	-0.2339	-0.1324	-0.3814
