Gene	5760|1	5760|2	5760|3	5760|4	5760|5	5760|6	5760|7	5760|8	11520|1	11520|2	11520|3	11520|4	11520|5	11520|6	11520|7	11520|8	11520|9	11520|10	11520|11	11520|12	5760|9	5760|10	5760|11	5760|12	5760|13	5760|14	5760|15	5760|16	11520|13	11520|14	11520|15	11520|16	11520|17	11520|18	11520|19	11520|20	11520|21	11520|22	11520|23	11520|24	5760|17	5760|18	5760|19	5760|20	5760|21	5760|22	5760|23	5760|24	5760|25	5760|26	5760|27	5760|28	8640|1	8640|2	8640|3	8640|4	5760|29	5760|30	5760|31	5760|32	8640|5	8640|6	8640|7	8640|8
AT1G01010	-0.0985	-0.2712	-0.1519	-0.5907	-0.1462	-0.1043	-0.3581	-0.6862	-0.2517	0.2921	-0.0396	-0.4918	0.303	-0.0629	-0.41	0.2515	-0.332	0.1202	0.4519	-0.0919	-0.9485	-0.3468	-0.572	-0.6077	-0.4309	0.0079	-0.1114	0.0613	0.2095	0.2783	0.059	-0.1683	-0.0106	0.0582	-0.3884	-0.1611	0.6368	0.4039	0.0572	0.0956	-1.1685	-0.5669	-0.1215	-0.7921	-0.8278	-0.5332	-0.1152	-0.6428	-0.0368	0.0362	-0.2446	-0.3781	-0.153	-0.2005	-0.3158	0.1406	-0.0413	-0.5283	-0.8942	0.3477	-0.0636	-0.4632	-0.3263	0.0759
AT1G01020	0.344	0.1468	-0.1073	-0.1343	-0.1483	0.2282	0.1876	0.1371	0.3029	0.343	0.2215	0.2125	0.1754	0.1569	0.2229	0.116	0.2387	0.2477	0.3692	0.3291	-0.3745	-0.2214	-0.138	-0.0777	-0.1082	-0.0811	0.173	0.3702	0.2259	-0.178	0.0724	-0.0116	0.3733	-0.0307	0.1358	0.2198	0.1955	0.1075	-0.1549	0.0043	-0.2271	-0.074	-0.1175	0.0094	0.0697	0.2927	-0.25	-0.3086	-0.0448	0.1744	0.2127	0.2391	0.1214	0.3172	0.1686	0.1571	0.3253	0.2924	0.655	0.3391	0.7937	0.4249	0.7486	0.5915
AT1G01030	-0.3142	0.1486	0.3275	0.487	-0.6358	-0.6974	-0.0513	-0.5068	0.5351	0.7076	0.3185	0.7478	0.1678	-0.3978	0.6316	0.7177	0.6618	0.2324	0.6215	0.449	0.1612	0.3697	-0.427	0.3045	0.401	0.2415	0.0625	-0.4003	0.4313	0.1557	0.4467	0.4324	0.4199	0.1442	0.4209	0.4352	0.2767	-0.401	-0.3793	-0.2142	0.1497	0.3582	0.0049	-0.4385	0.293	-0.9998	-0.307	0.2712	-0.9821	-0.9204	-0.5768	-0.5012	-0.5697	-0.2298	-0.7171	-0.4521	-0.3735	0.0362	-0.0289	-0.7092	-0.1736	-0.2581	0.1403	-0.6212
AT1G01040	-0.3889	-0.1562	0.4225	-0.2078	-0.6095	0.351	-0.4329	-0.8473	0.0241	0.4082	0.2946	0.5216	0.439	0.2335	-0.3196	0.5386	0.4266	0.1997	0.3132	-0.0709	0.366	0.4103	0.5422	0.3501	-0.3028	0.3276	-0.2511	-0.4839	0.2877	-0.0431	0.2916	0.4331	-0.0765	-0.4074	0.0689	-0.0726	-0.099	0.6938	0.2572	-0.2321	0.0018	0.046	0.758	0.178	-0.0141	-0.4193	0.4432	1.4331	0.4002	0.5825	0.701	-0.1006	-0.1625	-0.1045	-0.0154	-0.3023	0.1	0.2479	0.1069	0.8381	0.6884	-0.0344	-0.0288	0.5623
AT1G01050	0.1483	0.137	-0.0733	-0.1445	0.0334	-0.038	-0.1889	-0.0906	0.0628	0.152	0.0131	0.1362	0.0862	0.0831	-0.1813	-0.0725	0.045	-0.0781	0.0608	-0.0284	-0.1645	-0.0265	-0.1272	-0.2241	-0.2358	-0.1645	0.0458	0.0571	-0.0305	-0.1441	-0.0239	-0.0722	0.0392	-0.0749	-0.0025	0.0459	0.0548	0.086	0.0367	0.0345	-0.0947	0.0432	-0.3105	-0.0575	-0.1543	-0.0034	-0.4376	-0.252	-0.0867	-0.0831	-0.3318	-0.0486	-0.4807	-0.5786	-0.8218	-0.3934	-0.6567	-0.9461	-0.9028	0.2052	-0.091	-0.7141	-0.6565	-0.486
AT1G01060	-1.009	-0.9952	-0.9426	-1.0765	-0.6116	-0.6384	-0.759	-1.2294	-0.4827	-0.1794	-0.4541	-0.6074	-0.511	-0.4901	-0.6725	-0.2361	0.0677	0.221	0.4956	0.1923	-0.9018	-0.8565	-1.4818	-1.6692	-0.4014	-0.2676	-0.3202	-0.334	-0.7957	-1.1241	-0.5688	-0.7052	-0.43	-0.7584	-0.3395	-0.2031	-0.1709	0.2149	-0.5211	-0.4116	-0.5361	-0.4908	0.2698	-1.116	-1.3035	-1.1032	-0.466	-0.9477	0.3699	0.3614	0.3481	0.4257	0.559	0.5218	0.3781	0.4741	0.3537	0.4628	0.6057	0.3578	0.267	0.4122	0.2775	0.4009
AT1G01070	0.2527	0.5078	0.5759	-0.1039	0.1724	0.3926	0.9497	0.138	-0.1484	-0.2476	-0.8769	-0.3052	0.1497	0.1695	-0.4564	0.1889	-0.5453	-1.117	-0.4878	-0.3886	0.048	0.6828	-0.2529	-0.4332	-0.344	0.3358	0.2677	0.0126	-0.255	-0.3611	-0.0975	-0.1899	-0.3805	-0.4823	-0.3155	-0.223	-0.029	0.0915	-0.1136	-0.0006	-0.0775	0.5573	-0.0316	-0.3784	-0.5587	0.7462	-0.0374	-0.2854	0.3811	-0.4797	-0.2951	-0.4404	-0.3827	-0.1716	-0.0259	-0.2758	0.6861	-0.164	0.1443	-0.2499	-0.0791	-0.2892	0.1918	0.1166
AT1G01080	-0.3313	-0.4233	-0.1951	-1.071	-0.4708	-0.5326	-0.6475	-0.9583	0.0902	0.2792	0.2825	0.0726	0.1703	0.1389	0.2174	0.3161	-0.1148	0.0951	0.0917	-0.0973	-0.0247	-0.3555	-0.9375	-1.0164	-1.2585	-0.3826	-0.6108	-0.5188	-0.1066	0.1635	0.4299	-0.3933	-0.1929	0.0771	-0.4796	0.3436	0.2077	-0.1779	-0.2309	-0.048	-0.111	-0.4418	-1.0	-1.0238	-1.1027	-0.4136	-0.2793	-0.8658	0.2652	0.3062	0.3559	0.3448	0.7768	0.7827	0.9981	0.6711	0.0622	0.6503	0.7747	0.1592	-0.4463	0.6136	0.446	0.1044
AT1G01090	-0.1492	-0.2236	-0.1566	0.2199	-0.3909	-0.8072	-0.3259	0.1106	0.1468	-0.1229	0.0919	0.1896	-0.0158	-0.0675	-0.3187	-0.0244	0.4546	0.3569	0.1421	0.4118	-0.6835	-0.3914	-0.4131	-0.2569	0.4848	0.1084	0.0414	0.1157	-0.3866	-0.5623	-0.4681	-0.3537	-0.0883	-0.264	-0.0554	-0.1698	0.4313	0.5099	0.4911	0.3958	-0.3852	-0.0931	-0.398	-0.1148	0.0415	-0.4414	-0.4064	-0.3865	0.0574	0.09	0.0979	0.2152	0.1975	0.1697	0.2271	0.1873	0.1605	0.191	0.1875	0.0024	-0.2191	0.1819	0.2546	0.0729
AT1G01100	-0.1518	0.1858	0.2283	0.5561	0.0592	0.0005	0.3052	0.5774	0.1119	0.1729	0.1298	0.2086	-0.1587	-0.1089	0.2246	0.1027	0.0425	-0.0364	0.0068	-0.0542	0.2909	0.214	0.3951	0.5114	0.39	0.0622	0.0197	-0.3179	0.1047	0.1953	0.0524	0.4381	-0.0973	-0.0069	0.2361	-0.1496	-0.4009	-0.6252	-0.4463	-0.294	0.0889	0.012	-0.2055	0.1931	0.3094	0.2247	-0.1944	-0.6216	-1.0569	-0.7631	-0.8932	-1.1723	-0.2801	-0.1928	0.2147	0.0838	-0.4561	-0.565	-0.3357	-0.8279	-0.3402	0.1023	0.4954	-0.009
AT1G01110	0.3787	0.2096	0.1284	0.5201	0.3981	0.3855	1.2626	0.735	0.3322	0.1117	0.491	0.5716	0.2289	0.0344	-0.104	0.2401	0.6337	0.5531	0.1739	0.3943	-0.2344	-0.6737	0.0143	0.4633	0.5822	0.1905	0.2718	0.4408	0.5606	0.2588	0.2386	0.2957	0.5941	0.2922	0.3292	0.2721	0.5142	0.1569	-0.2888	0.6298	-0.2009	-0.6401	-0.4473	0.0478	0.4968	0.207	-0.5526	-0.15	0.5213	0.6598	0.6409	0.5311	0.2557	-0.1043	0.2501	0.1693	0.4868	-0.4165	-0.4475	0.5916	0.4469	0.0126	0.3374	0.2542
