Gene	10	20	45	90	180	360	720	1440
AT1G01010	0.1416	-0.1262	0.2158	0.6058	0.5369	0.146	0.0192	0.8195
AT1G01020	-0.2124	-0.1303	0.2402	0.2957	0.178	-0.1746	-0.1397	-0.1624
AT1G01030	-0.855	-0.7963	-0.7963	-0.1047	-0.365	-0.2992	-0.5405	-0.4241
AT1G01040	-0.2858	-0.4115	-0.3845	0.0812	-0.144	-0.6308	-0.5504	-0.2996
AT1G01050	-0.2622	-0.1764	-0.01	0.1364	0.0304	-0.0162	0.0361	-0.0422
AT1G01060	-0.5338	-0.7168	-0.046	0.3939	-0.0964	-1.1567	-0.3648	0.1837
AT1G01070	-0.2332	-0.2754	0.2625	-0.2209	0.3795	-0.1502	-0.2699	0.0668
AT1G01080	-0.2002	-0.2225	-0.5072	-0.2997	0.1005	-0.0394	0.1569	-0.0113
AT1G01090	-0.0412	-0.0483	0.0015	0.0589	0.0	-0.0291	-0.3147	-0.374
AT1G01100	0.0301	0.0089	-0.0352	-0.0564	0.1053	0.2826	0.0472	-0.0679
AT1G01110	-0.3107	-0.1186	0.2332	0.1042	0.1375	-0.2577	-0.2561	-0.4384
AT1G01120	1.2591	0.6151	0.4259	0.3909	-0.1179	0.173	0.227	0.135
AT1G01130	-0.1014	0.0462	0.016	-0.018	-0.1132	0.4237	0.1164	-0.1011
AT1G01140	0.0469	0.5938	0.6904	0.4583	-0.1502	-0.35	-0.3525	-0.1472
AT1G01160	-0.2645	-0.0376	0.3146	0.0982	-0.0071	-0.1711	-0.2116	-0.3562
AT1G01170	-0.4022	-0.0083	0.3418	0.2802	0.0108	0.3582	0.2251	-0.011
AT1G01180	-0.0897	0.3313	0.7307	-0.0844	-0.1541	0.1105	0.2278	0.0015
AT1G01190	1.4407	0.5544	-0.2215	-0.7557	-0.2045	0.6507	0.5038	0.1926
AT1G01200	0.377	0.0062	-0.4334	0.0551	-0.0096	0.5569	0.5627	0.2393
AT1G01210	0.2471	-0.0954	-0.0695	0.3172	0.3637	0.3115	0.1512	0.2096
AT1G01220	0.0595	-0.1477	-0.2527	0.0989	0.3155	-0.0219	0.2095	0.1965
AT1G01225	0.1857	0.1879	-0.1572	-0.2625	-0.1317	-0.1409	-0.123	0.2878
AT1G01230	-0.2627	0.0383	0.0429	0.2063	0.0564	0.1806	0.0461	0.2754
AT1G01240	-0.0133	0.6246	0.8389	0.1093	0.2008	-0.3228	-0.2962	0.1416
AT1G01250	0.872	-0.2465	0.1057	-0.2912	0.3103	0.789	0.93	0.6961
AT1G01260	-0.0017	0.108	-0.0193	0.4761	0.0517	-0.4315	-0.2774	-0.1147
AT1G01290	-0.0174	-0.0617	0.1001	0.2306	0.0297	0.073	0.1152	0.3079
AT1G01300	-0.2985	-0.3368	-0.8679	-0.1727	-0.2892	-0.0273	0.112	-0.0641
AT1G01320	0.2822	-0.2992	-0.3074	-0.1234	0.1886	-0.2995	-0.2325	-0.2224
AT1G01340	-0.3835	0.13	0.099	0.6119	0.4722	-0.3666	-0.4233	0.4211
AT1G01350	-0.0082	0.1867	0.3354	0.2469	0.0209	-0.1426	-0.1977	0.1412
AT1G01360	-0.1759	0.0443	0.4369	0.1338	0.0738	-0.0844	0.0894	-0.0153
AT1G01370	0.0822	-0.1074	-0.4959	-0.5427	-0.1344	0.2672	0.298	0.1675
AT1G01390	-0.2808	-1.1503	-0.6932	-0.037	0.2212	0.2636	0.2957	-0.4162
AT1G01420	0.3648	-0.5507	-0.4512	0.2902	0.0313	0.5681	0.4389	0.3774
AT1G01430	0.0412	-0.3251	-0.2836	-0.1976	-0.2242	-0.1038	-0.1879	-0.3138
AT1G01440	0.253	0.3641	0.5088	0.0	0.1389	-0.4778	-0.2683	0.0132
AT1G01448	-0.7374	-0.0668	0.4329	0.3583	-0.0885	-0.9637	-0.6297	-0.4948
