"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep1","Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep2","Atha_Col-0_sl_WT_345nm-4d_305nm-1h_Rep3","Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep1","Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep2","Atha_Col-0_sl_cop1_345nm-4d_305nm-1h_Rep3","Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep1","Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep2","Atha_Col-0_sl_uvr8_345nm-4d_305nm-1h_Rep3","Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep1","Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep2","Atha_Col-0_sl_WT_345nm-4d_305nm-6h_Rep3","Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep1","Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep2","Atha_Col-0_sl_cop1_345nm-4d_305nm-6h_Rep3","Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep1","Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep2","Atha_Col-0_sl_uvr8_345nm-4d_305nm-6h_Rep3","Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep1","Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep2","Atha_Col-0_sl_WT_305nm-4d_CTRL_Rep3","Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep1","Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep2","Atha_Col-0_sl_WT_345nm-4d_CTRL_Rep3","Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep1","Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep2","Atha_Col-0_sl_cop1_345nm-4d_CTRL_Rep3","Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep1","Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep2","Atha_Col-0_sl_cop1_305nm-4d_CTRL_Rep3","Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep1","Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep2","Atha_Col-0_sl_uvr8_345nm-4d_CTRL_Rep3","Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep1","Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep2","Atha_Col-0_sl_uvr8_305nm-4d_CTRL_Rep3"
"AT1G01010","ANAC001|NAC001|NTL10",NA,"NM_099983|NP_171609",839580,"3702.AT1G01010.1",NA,"261585_at",1,6.09181976093276,6.1582969168483,5.8669105209069,5.57643440975651,5.64612025986801,5.66873812386935,5.81480875689163,6.00850191398585,5.3819249087103,5.9752007560582,5.98230339643404,5.90195106964694,5.86490521171869,5.5390616615092,5.80848624144322,5.9434061070958,6.02220952576734,5.89162719405016,6.2911941123993,6.38608983215614,6.05953840631583,5.91234171843568,6.072044429808,5.9851000251622,5.62167916986155,5.64292171843252,5.66312278437689,5.71983548849271,5.63460927489224,5.93654272078723,5.67355952142381,5.97844295332058,5.22217346596574,5.96626639846709,6.21449484812809,6.01171674920743
"AT1G01030","NGA3",NA,"NM_001331244|NM_099985|NP_001322175|NP_171611",839321,"3702.AT1G01030.1",NA,"261568_at",1,4.93617941232871,4.60089945004025,4.87972079481237,4.45024624719392,4.78291136316486,4.85724000507297,4.29947739814369,4.40037669278573,4.70782057299839,4.75232184095762,4.7857994089578,4.61445368921925,4.70425206084225,4.6535882535563,4.54560044166018,4.28685820332354,4.50597757390862,4.61606161835238,4.99976176501757,5.04311140767434,4.78113040423828,4.96747872187547,4.88077728288642,4.74088896906402,4.78755988955719,4.72748286527295,4.84721323098973,4.66791609939327,4.69996595563047,4.84990684867763,4.52844856187037,4.50616068337617,4.50739107827307,4.4199573349121,4.39235268461028,4.79937901329823
"AT1G01040","ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","NM_001197952|NM_099986|NP_001184881|NP_171612",839574,"3702.AT1G01040.2","GO:0010629|GO:0010608|GO:0006725|GO:0048519|GO:0016070|GO:0006396|GO:0010467|GO:0035194|GO:0006139|GO:0050789|GO:1901360|GO:0006807|GO:0016458|GO:0010468|GO:0040029|GO:0008152|GO:0071704|GO:0046483|GO:0043170|GO:0044237|GO:0016246|GO:0009892|GO:0034641|GO:0031047|GO:0009987|GO:0044238|GO:0090304|GO:0060255|GO:0016441|GO:0010605|GO:0065007|GO:0019222|GO:0140098|GO:0016788|GO:0003676|GO:0003723|GO:0004518|GO:0005488|GO:0003824|GO:0097159|GO:0004521|GO:0016787|GO:0004519|GO:0004540|GO:1901363|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261584_at",1,6.96973183198414,6.99644896632224,6.78722537101095,6.44106637908481,6.92322687484768,6.7226491522961,6.45121792157205,6.60906917149115,6.37959283617524,7.12166699388257,7.23621325339014,7.01585183209208,6.89995040487771,6.69552288617591,6.71557069474199,6.5325851189348,6.7449598477407,6.3936458753041,6.81932440377406,6.86721691325763,7.12828473300583,7.05490431295679,7.2370140752315,7.1042456993543,6.77654592513402,6.57183686988368,6.69813702747083,6.53347868768808,6.57579589644787,6.42646130255809,6.46703071673113,6.74586646283993,6.41894732008189,6.51507023713272,6.59380020060076,6.4620809042823
"AT1G01050","AtPPa1|PPa1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","NM_001331245|NM_099987|NP_001322481|NP_171613",839579,"3702.AT1G01050.1|3702.AT5G09650.1","GO:0044237|GO:0009987|GO:0006793|GO:0006796|GO:0008152|GO:0016787|GO:0016462|GO:0016818|GO:0016817|GO:0003824","261579_at",1,9.85983722604089,9.74555431279129,9.79704225423598,10.726476306747,10.7354715131792,10.9217195114792,10.3796155769086,10.2878492925056,10.5415781361407,9.90224585751782,9.7574534030108,9.95931080379676,10.7747886539583,10.6612287799351,10.8023486804841,10.2954200920676,10.2829169716467,10.4545299906512,10.0499413930696,9.90200396728733,10.1207759545572,9.74950453346279,9.76317076467753,9.86043065897754,10.7179795058839,10.7380545043294,10.8589505492362,10.6978050440868,10.7800912002148,10.748135962211,10.4241355706967,10.1448968314984,10.5526061033485,10.2789923217966,10.4134112956473,10.4216176180447
"AT1G01060","LHY|LHY1","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","NM_001035847|NM_001083968|NM_001197953|NM_001331246|NM_001331247|NM_001331248|NM_099988|NM_179237|NP_001030924|NP_001077437|NP_001184882|NP_001320627|NP_001320628|NP_001320629|NP_171614|NP_849568",839341,"3702.AT1G01060.2",NA,"261569_at",1,11.6643095718167,11.8175115113247,11.7897377198426,11.7438997850992,11.3411771411006,11.5382995290729,9.74616807698774,10.8915509087383,9.44063429722454,11.4636275478275,11.6822002393736,11.7505088590001,11.6174806955275,11.3066576766226,11.5384076460516,10.212951162023,11.0766404086421,10.0716391887944,11.7057401103323,11.791512003092,11.9035703596162,11.6347130741286,11.7020773914401,11.5261612640115,11.8544960092566,11.3295076952634,11.4443868260855,11.7113975580965,11.3915922127664,11.4219466031498,9.44584587521621,11.1165010766818,9.30546328966848,9.94807028816955,11.3808454507621,10.4799702841214
"AT1G01070","UMAMIT28",NA,"NM_099989|NM_202005|NP_563617|NP_973734",839550,"3702.AT1G01070.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","261576_at",1,6.17841237102187,6.35992588355006,6.38126820385035,6.65026742674235,6.45841408227328,7.10968657777039,6.55130039967943,6.45457373593842,6.23286986487508,5.74894372144998,5.68251288990127,5.88120697363735,6.77849079785784,6.71111049730368,7.12103209405458,6.37528339630246,6.43235954210527,6.14369013390187,5.76327147197449,6.3746635049985,6.43606631559384,6.40306987117819,6.26637728289717,6.8919925893669,6.68135255049026,6.47039860844898,7.11797640894263,6.77255247540632,6.33377638052645,6.86089656704001,6.5328972347382,6.65974837168557,6.75472375343546,6.60350450482766,6.87138829996624,6.4235604475721
"AT1G01080",NA,NA,"NM_001035848|NM_001331249|NM_099990|NP_001030925|NP_001320997|NP_171616",839463,"3702.AT1G01080.2","GO:0006725|GO:0046483|GO:0044085|GO:0016070|GO:0043170|GO:0006364|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0071840|GO:0034660|GO:0090304|GO:1901360|GO:0034470|GO:0006807|GO:0016072|GO:0022613|GO:0042254|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:0003729|GO:1901363|GO:0005488|GO:0097159|GO:0009534|GO:0031976|GO:0009579|GO:0043231|GO:0034357|GO:0042651|GO:0031984|GO:0005829|GO:0110165|GO:0043226|GO:0009507|GO:0016020|GO:0009535|GO:0043229|GO:0009536|GO:0005737|GO:0005622|GO:0043227","261577_at",1,8.23167813791705,8.10041076756981,8.60134036070494,8.5981468370458,8.67969721458667,9.04902839182133,8.09117097455894,8.23712431203314,8.80280899145247,8.757367366219,8.88578076427765,8.80702892349069,8.95804356119658,8.83007417291702,9.07425499107271,8.44617498705754,8.30701928586941,8.95324180268312,8.40103676116726,8.74634067490351,8.91317174545587,8.37950850447855,8.11481657489853,8.58388639127084,8.71278749115078,8.59801576678571,9.06831006102832,8.87751771940975,8.86274918162215,8.93239743153637,8.32735628555312,8.32739085464718,8.85472514977049,8.44165908741499,8.63678761681624,9.08418783112096
"AT1G01090","PDH-E1","pyruvate dehydrogenase E1 alpha subunit","NM_099991|NP_171617",839429,"3702.AT1G01090.1",NA,"261583_at",1,11.6706314189908,11.6747030303664,11.6048387455254,11.8928739521426,12.0463446763854,11.7994029629461,11.802766928061,11.8436215141645,11.8499987869244,11.6228084605356,11.7210250800145,11.5753686612261,11.853764628485,11.9287937245578,11.7414970801992,11.7701340997223,11.7879993512646,11.8136378793625,12.0712402344596,11.7140199165569,11.8245036137293,11.8366758183988,11.7647003055705,11.638643656039,11.973322741655,12.0515836531763,11.7959781659981,11.9582101311365,11.9789120381912,11.638643656039,11.81643179667,11.8586718370839,11.9305292087007,11.9302961470215,11.7507212480679,11.8653518221137
"AT1G01100","RPP1.1|RPP1A",NA,"NM_001083969|NM_001083970|NM_099992|NM_179238|NP_001077438|NP_001077439|NP_171618|NP_849569",839410,"3702.AT1G01100.2",NA,"261578_at",1,11.7067205614156,11.5697395927172,11.6580865807136,11.4923056183674,11.3744570041357,12.1219317021438,11.7059071644121,11.8315559591425,11.8790715733216,11.7067152012149,11.7356500876514,11.8444413532,11.5568298738192,11.3705517020102,12.2716822563552,11.5508710854419,11.8742628678858,11.7653302264685,11.7892543063991,11.5283233558877,11.9171279623692,11.7686583585316,11.69079544302,11.8155146195553,11.320281837223,11.3856046888227,12.2229083648512,11.6624224212544,11.5974511006626,12.3859074552427,11.6658662233143,11.8145399958209,12.0543785258938,11.8756312598048,11.9309377653845,11.964299221289
"AT1G01110","IQD18",NA,"NM_001123732|NM_001331250|NP_001117204|NP_001318900",839394,"3702.AT1G01110.2",NA,"261580_at",1,4.85981392601612,5.05429438941584,4.88354596130669,5.00732261467168,5.07375888120238,5.2333486978541,5.22936333336048,5.17283118382529,5.33580106811504,4.81818577164721,4.85437732134837,4.87565129862682,4.85834590613513,4.81675853186223,4.9840008558992,5.19018666896646,5.1642099558846,4.86077833040265,5.12710729290971,5.39102505072168,5.07662305489021,5.15209432662492,5.05349243742216,5.03929004846711,5.14539855594051,4.83045871923225,4.89944042803749,4.83763600638768,5.01912449656828,4.97028897750922,5.12009046025839,4.90340915943846,5.09615657651479,5.13568002869983,5.03441922688645,5.19933010011053
