"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Ler-0_sShoots_FLT_Rep1","Atha_Ler-0_sShoots_FLT_Rep2","Atha_Ler-0_sShoots_FLT_Rep3","Atha_Ler-0_sShoots_GC_Rep1","Atha_Ler-0_sShoots_GC_Rep2","Atha_Ler-0_sShoots_GC_Rep3"
"AT5G48570","ATFKBP65|FKBP65|ROF2",NA,"NM_124233|NP_199668",834913,"3702.AT5G48570.1","GO:0061077|GO:0043412|GO:0043170|GO:0044260|GO:1901564|GO:0036211|GO:0044237|GO:0018193|GO:0009987|GO:0006464|GO:0044238|GO:0006807|GO:0006457|GO:0044267|GO:0019538|GO:0071704|GO:0008152|GO:0016853|GO:0140096|GO:0003824|GO:0005737|GO:0110165|GO:0005622","248657_at",1,6.71650002211344,5.38290497992179,5.16189458110749,5.34409219245307,5.86267876376401,5.85351655277829
"AT5G48580","FKBP15-2","immunophilin (FKBP15-2)","NM_124234|NP_199669",834915,"3702.AT5G48580.1",NA,"248664_at",1,7.06460602222011,7.08473400903108,7.23252210057837,6.58810145511544,5.31578895454547,5.502328872024
"AT5G48590",NA,NA,"NM_124235|NP_199670",834916,"3702.AT5G48590.1",NA,"248663_at",1,3.71118097978022,3.87927109632665,3.6071822674795,3.01544024650587,3.44431051809364,3.6978016964812
"AT5G48600","ATCAP-C|ATSMC3|ATSMC4|SMC3|SMC4","member of SMC subfamily","NM_001203563|NM_124236|NP_001190492|NP_199671",834917,"3702.AT5G48600.2","GO:0098813|GO:0000819|GO:0000280|GO:0022402|GO:0030261|GO:0016043|GO:0009987|GO:1903047|GO:0007076|GO:0007059|GO:0071840|GO:0071103|GO:0006323|GO:0000278|GO:0051276|GO:0006996|GO:0007049|GO:0140014|GO:0048285|GO:0000070|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000793|GO:0070013|GO:0000794|GO:0110165|GO:0043226|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0032991|GO:0005622|GO:0005694|GO:0043227|GO:0031981","248658_at",1,2.45204311451216,2.90320649459816,2.67207874378138,2.83811785934987,1.93244328033184,1.85536637720598
"AT5G48610|AT5G43490",NA,NA,NA,NA,NA,NA,"249156_s_at",2,1.58897002533082,1.73822616900034,1.62468133868977,1.54380490440268,1.70479679018047,1.94686026477991
"AT5G48630","CYCLINC1-2",NA,"NM_001203564|NM_124239|NP_001190493|NP_199674",834920,"3702.AT5G48630.2","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:0009893|GO:1901360|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0016538|GO:0019887|GO:0016773|GO:0005488|GO:0003824|GO:0004693|GO:0016772|GO:0019899|GO:0030332|GO:0016301|GO:0019207|GO:0030234|GO:0019900|GO:0004672|GO:0016740|GO:0097472|GO:0004674|GO:0005515|GO:0098772|GO:0019901|GO:0140096|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0005654|GO:0070013|GO:0090575|GO:0016592|GO:0110165|GO:0043226|GO:0043229|GO:0032991|GO:0005667|GO:0005622|GO:0070847|GO:0043227|GO:0031981","248666_at",1,2.45273529325915,2.49045120917815,2.06955327176574,1.79891510979742,1.42084763058161,1.85599469919683
"AT5G48640","CYCLINC1-1",NA,"NM_001344787|NM_001344788|NM_001344789|NM_001344790|NM_124240|NP_001330772|NP_001330773|NP_001330774|NP_001330775|NP_199675",834921,"3702.AT5G48640.1","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:0009893|GO:1901360|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0016538|GO:0019887|GO:0016773|GO:0005488|GO:0003824|GO:0004693|GO:0016772|GO:0019899|GO:0030332|GO:0016301|GO:0019207|GO:0030234|GO:0019900|GO:0004672|GO:0016740|GO:0097472|GO:0004674|GO:0005515|GO:0098772|GO:0019901|GO:0140096|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0005654|GO:0070013|GO:0090575|GO:0016592|GO:0110165|GO:0043226|GO:0043229|GO:0032991|GO:0005667|GO:0005622|GO:0070847|GO:0043227|GO:0031981","248659_at",1,3.0013713692159,2.12442263010328,2.47257403974939,2.14232447524389,2.47859778532407,2.69929788547571
"AT5G48650","G3BP-like",NA,"NM_124241|NP_199676",834922,"3702.AT5G48650.1","GO:0003676|GO:0003729|GO:0003723|GO:1901363|GO:0005488|GO:0097159|GO:0005737|GO:1990904|GO:0005829|GO:0032991|GO:0110165|GO:0005622","248660_at",1,1.57390256017404,1.56045959015014,1.72097318673609,1.46953275581451,2.03667860333122,1.75767742049669
"AT5G48655",NA,NA,"NM_001344791|NM_001344792|NM_001344793|NM_124242|NM_180825|NM_203179|NP_001318762|NP_001332107|NP_001332108|NP_568701|NP_851156|NP_974908",834923,"3702.AT5G48655.3",NA,"248665_at",1,1.96946417126128,1.64292944845933,1.69379243329085,3.02527347750774,2.50069580301502,3.25662843099576
"AT5G48670","AGL80|FEM111","AGL80 is a member of the MADS box family of genes. AGL80 functions as a transcription factor within the central cell gene regulatory network and controls the expression of downstream genes required for central cell development and function.","NM_124244|NP_199678",834925,"3702.AT5G48670.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000785|GO:0070013|GO:0110165|GO:0043226|GO:0000790|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0005622|GO:0005694|GO:0043227|GO:0031981","248661_at",1,2.82869555160397,2.18798192266808,2.59083978449367,2.66718093524213,3.17350904389947,2.90357550124519
