"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_sl_FLT_BA1","Atha_Col-0_sl_FLT_BA2","Atha_Col-0_sl_FLT_BA3","Atha_Col-0_sl_FLT_BA4","Atha_Col-0_sl_FLT_BA5","Atha_Col-0_sl_FLT_BG1","Atha_Col-0_sl_GC_BA1","Atha_Col-0_sl_GC_BA2","Atha_Col-0_sl_GC_BA3","Atha_Col-0_sl_GC_BA4","Atha_Col-0_sl_GC_BA5","Atha_Col-0_sl_GC_BG1","Atha_Col-0_UdCC_FLT_BB2","Atha_Col-0_UdCC_FLT_BB3","Atha_Col-0_UdCC_FLT_BB4","Atha_Col-0_UdCC_FLT_BB5","Atha_Col-0_UdCC_FLT_BG2","Atha_Col-0_UdCC_FLT_BG3","Atha_Col-0_UdCC_GC_BB2","Atha_Col-0_UdCC_GC_BB3","Atha_Col-0_UdCC_GC_BB4","Atha_Col-0_UdCC_GC_BB5","Atha_Col-0_UdCC_GC_BG2","Atha_Col-0_UdCC_GC_BG3"
"AT1G01120","KCS1","Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.","NM_099994|NP_171620",839395,"3702.AT1G01120.1",NA,"261570_at",1,1.95015304578043,2.02420753716344,1.51431875199625,2.11112617773475,1.40442048651509,1.5482500218879,1.4159059426824,1.28287100292291,1.7630038994648,1.57019538143949,1.31001898102554,2.19028058100776,2.64933325969095,3.29819881773474,2.01966550967979,3.64089751038697,2.53745880734453,2.15571430273609,1.5058867917497,2.08005325042568,2.22687007431808,2.21044246300122,2.26084340650198,3.13043043223485
"AT1G01130",NA,NA,"NM_099995|NP_171621",839359,"3702.AT1G01130.1",NA,"261575_at",1,2.49434987606306,1.84800589701649,1.95967114479478,1.82446747763498,1.05120971100421,1.38310045134618,1.60249009914398,1.90348551512181,2.99556041763371,1.05823296688138,1.56474401659315,1.56146059050485,1.58142367857964,1.5609201694205,1.63894086548655,1.60905205005152,1.56176002147598,1.56497312516064,1.61312609984938,1.58454301790697,1.78636598963031,1.72430766015506,1.84800589701649,1.53110687894467
"AT1G01140","CIPK9|PKS6|SnRK3.12","Encodes a CBL-interacting protein kinase with similarity to SOS2","NM_099996|NM_179239|NM_179240|NP_171622|NP_849570|NP_849571",839349,"3702.AT1G01140.3",NA,"261581_at",1,2.20701099611892,1.9161081658207,1.94199762673581,1.46324753732293,1.1482230873909,1.70314536941699,1.48610441354406,0.943595223479002,1.63661494507245,1.77285513613716,1.53994452761601,1.0243815868255,2.52129411864457,3.63099500013106,3.82399953498974,2.65447245538695,3.53486899126247,3.71419694084972,2.71692297643396,3.2368878172577,3.32852555985681,3.37313950958208,3.07265121837516,3.51800273429355
"AT1G01150",NA,NA,"NM_001331251|NM_001331252|NM_099997|NP_001322663|NP_001322664|NP_171623",839294,"3702.AT1G01150.1",NA,"261571_at",1,0.884037971084779,1.00003804109833,1.00041413518376,1.40477105534248,1.46225489533419,0.651785280523174,1.37831294074534,1.08722271942398,0.95277984053614,0.95277984053614,0.881540107332762,0.593724013366479,0.856418682141794,0.808107550389589,0.758245564092652,0.918074742233738,0.678274097504555,1.02698723384013,0.848154692817965,0.839815838441976,0.875397421009937,0.884391390365713,0.614303010368175,0.663721110307092
"AT1G01160","GIF2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","NM_001160826|NM_099998|NP_001154298|NP_563619",839278,"3702.AT1G01160.2","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:1901360|GO:0009893|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261582_at",1,2.4706383979168,2.15403208666419,1.40935010275807,4.28860308859357,2.77938206778785,3.42299036593527,4.05977241470342,1.88230221992623,1.78068611158018,3.45346917355278,2.91852418329181,1.11839423020641,6.10038993274282,5.81894642482128,5.98875447106112,5.67104557881079,5.73084764982359,5.96660434240577,5.60107028145048,6.08382430841375,6.2716185791757,5.28320051940283,4.87044084865723,5.7488723280453
"AT1G01170",NA,NA,"NM_001035849|NM_099999|NP_001030926|NP_171625",839263,"3702.AT1G01170.1",NA,"261572_at",1,1.47140223440427,2.33366567744755,2.83097019506957,1.52962682515597,1.42482142620499,1.80269909760001,1.82398893526365,1.40141364018258,2.95116811978258,1.93807561716787,1.32289674391989,1.41027867081804,4.86677084978391,5.43684412180728,5.40243169603562,4.33284356829071,5.29781525958074,5.24495530760442,3.97288343435891,5.21002370743673,5.75598703277313,4.87446699009961,4.94582885192254,4.84227661777859
"AT1G01190","CYP78A8","member of CYP78A","NM_001331253|NM_100001|NP_001318901|NP_171627",839233,"3702.AT1G01190.1",NA,"261574_at",1,1.73847044769319,2.27174806508281,2.30070036567558,1.54003826173661,1.70524850041436,1.79971247624202,1.81032864921024,1.88769560857078,1.83292034602683,2.62044954671287,2.47939145853704,3.52716470621146,1.69770594166191,2.06116760467881,1.47716380536952,2.18959980237232,1.5527894697833,1.5483859224604,1.76501824656904,1.83407785885687,1.88128956625814,1.71721413248222,1.50162947922741,1.80231907268277
"AT1G01200","ATRAB-A3|ATRABA3|RABA3",NA,"NM_100002|NP_171628",839493,"3702.AT1G01200.1","GO:0005768|GO:0043231|GO:0097708|GO:0005794|GO:0005773|GO:0110165|GO:0071944|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0005737|GO:0012505|GO:0005622|GO:0031410|GO:0043227|GO:0005886","261042_at",1,1.91251747821657,1.53878943041565,1.83844889992293,1.82882297222666,0.975992266811407,1.64168089478817,1.64127053193389,1.53617100085692,2.33763867754673,1.32669574082732,2.2178664852369,1.49460424021422,0.809288406228009,0.958283355563763,1.15841090896448,1.00167001999147,0.885292482876706,0.905083490803476,1.080805910749,0.706313587343871,0.967422183636052,0.852898374392916,1.06842782736629,0.871079139108049
"AT1G01220","AtFKGP|FKGP","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","NM_001331256|NM_001331257|NM_001331258|NM_001331259|NM_001331260|NM_001331261|NM_001331262|NM_100004|NP_001320979|NP_001320980|NP_001320981|NP_001320982|NP_001320983|NP_001320984|NP_001320985|NP_563620",839420,"3702.AT1G01220.1","GO:0006725|GO:1901135|GO:0090407|GO:0009058|GO:0009225|GO:0006139|GO:0006793|GO:0009165|GO:0006796|GO:1901360|GO:0006807|GO:0044271|GO:0006753|GO:0008152|GO:0071704|GO:0046483|GO:0044237|GO:0044249|GO:0034641|GO:1901576|GO:0009987|GO:1901362|GO:0018130|GO:0044238|GO:1901137|GO:0034654|GO:0019438|GO:0019637|GO:0009117|GO:1901293|GO:0055086|GO:0044281|GO:0016772|GO:0016740|GO:0016773|GO:0003824|GO:0016301","261043_at",1,1.56957970699591,1.19059980599106,0.979268501753561,0.8768830408205,1.00760362766188,0.858416097931765,1.50759531506154,1.13999378387642,1.09272831478386,1.74458439614508,0.757146236830655,0.84834443596649,1.30008592733688,0.967845429603537,1.2091485888303,0.801756886204469,1.00130517149122,1.24247500693106,0.93175544199351,1.25431015282131,0.89387630503046,1.08168583627661,1.25679941848054,1.09034232730872
"AT1G01225",NA,NA,"NM_100005|NP_563621",839358,"3702.AT1G01225.1",NA,"261025_at",1,1.08366072635225,0.874842542316829,0.89384399914521,0.75750380925624,0.803268378220195,1.73161649684084,0.971136494267519,1.97611351494052,1.14167023192932,1.12339629292941,1.01227830600595,0.99561892012492,0.919832751006009,0.731632725115503,0.701304501452653,0.649470776603012,0.629280605447899,0.703133354953155,0.668111227073717,1.21510719155563,0.756503549624842,0.656097288569189,0.771949405129327,0.828988292528342
"AT1G01230","AtORM1|ORM1",NA,"NM_100006|NP_563622",839331,"3702.AT1G01230.1","GO:0031324|GO:0006629|GO:0044085|GO:0048519|GO:0051171|GO:0009058|GO:0019725|GO:0008610|GO:0006665|GO:0050789|GO:0065008|GO:0006807|GO:0009889|GO:0044087|GO:0044271|GO:0034248|GO:0010556|GO:0046890|GO:0048523|GO:0030148|GO:0071704|GO:0008152|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0042592|GO:0044237|GO:0044249|GO:0009892|GO:1901576|GO:0034641|GO:0048878|GO:0009987|GO:0046467|GO:0051172|GO:0044238|GO:0006672|GO:0043604|GO:0080090|GO:0055082|GO:0071840|GO:0031326|GO:0006643|GO:0060255|GO:0050794|GO:0046513|GO:0065007|GO:0055088|GO:0019216|GO:0044255|GO:0019222|GO:0031327|GO:0043603|GO:0031323|GO:0098796|GO:0043231|GO:1902494|GO:1990234|GO:0042175|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005789|GO:0005886","261057_at",1,1.31154405220244,1.7466209473608,0.983690722203528,1.37293904494459,1.00618752659153,1.70314536941699,1.42374321573309,0.891490398092593,2.00855572380976,1.74530086785323,1.27995429448978,1.7466209473608,1.68698499277563,2.44633109646997,2.40091387025329,2.2349399495149,2.4737614126148,2.08116882219622,1.77033205113056,2.73584362435716,2.09782660072763,1.96963612881516,1.90939498465258,2.64915358864476
"AT1G01240",NA,NA,"NM_001331263|NM_001331264|NM_100007|NM_202006|NM_202007|NP_001320619|NP_001320620|NP_563623|NP_973735|NP_973736",839274,"3702.AT1G01240.3",NA,"261026_at",1,1.43057020072389,1.88810854411472,0.91981771139276,2.24841005339393,1.58913018629597,1.37963821520594,1.39104887548646,2.23450544309824,1.68983895419683,1.3689309348764,1.37480351556055,1.92369790338119,2.60940596439445,2.94842816224089,2.48510867726104,2.06929497925927,2.47547029622679,2.67466641369293,2.80586349725349,2.04139058603867,2.27759060197542,2.0886625469796,1.85756905871401,2.71867062717199
"AT1G01250",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","NM_100008|NP_563624",839322,"3702.AT1G01250.1",NA,"261059_at",1,1.79646207072503,1.38278600498259,1.19620623848924,1.23306877621536,1.35293648529347,1.3180365392216,1.84569995424586,1.76701950985322,1.33244966069355,1.13441321805932,1.56196319498721,1.25638561690876,1.01712617607636,0.921205769267452,0.841789520136964,0.891101642191836,0.899064167479231,0.782608935337869,1.08669960885306,1.10481109687171,0.909183777560853,1.1388167660344,1.07960807733896,0.640075046672387
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261050_at",1,0.77504049122201,1.62581132551125,1.21720641768624,0.900659245728128,1.18559276816244,1.31253486470049,0.99625301977804,1.58529124913651,1.26455609924993,0.553956682636077,1.23870921897223,0.925899128679318,1.49730722559682,1.36209639973481,1.27020796815432,2.08190450446032,1.25102608688348,1.38832379277578,1.7286807331187,1.09151128377779,0.790063874484357,1.31623551279961,2.08524667097875,1.49506699269329
