"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_WS-0_Whole-Plant_FLT_Rep1","Atha_WS-0_Whole-Plant_FLT_Rep2","Atha_WS-0_Whole-Plant_FLT_Rep3","Atha_WS-0_Whole-Plant_GC_Rep1","Atha_WS-0_Whole-Plant_GC_Rep2","Atha_WS-0_Whole-Plant_GC_Rep3","Atha_WS-0_Col-0_Shoot_FLT_Rep1","Atha_WS-0_Col-0_Shoot_FLT_Rep2","Atha_WS-0_Col-0_Shoot_FLT_Rep3","Atha_WS-0_Col-0_Shoot_FLT_Rep4","Atha_WS-0_Col-0_Shoot_FLT_Rep5","Atha_WS-0_Col-0_Shoot_GC_Rep1","Atha_WS-0_Col-0_Shoot_GC_Rep2","Atha_WS-0_Col-0_Shoot_GC_Rep3","Atha_WS-0_Col-0_Shoot_GC_Rep4","Atha_WS-0_Col-0_Shoot_GC_Rep5","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep1","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep2","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep3","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep4","Atha_WS-0_Col-0_Hypocotyl_FLT_Rep5","Atha_WS-0_Col-0_Hypocotyl_GC_Rep1","Atha_WS-0_Col-0_Hypocotyl_GC_Rep2","Atha_WS-0_Col-0_Hypocotyl_GC_Rep3","Atha_WS-0_Col-0_Hypocotyl_GC_Rep4","Atha_WS-0_Col-0_Hypocotyl_GC_Rep5","Atha_WS-0_Col-0_Root_FLT_Rep1","Atha_WS-0_Col-0_Root_FLT_Rep2","Atha_WS-0_Col-0_Root_FLT_Rep3","Atha_WS-0_Col-0_Root_FLT_Rep4","Atha_WS-0_Col-0_Root_FLT_Rep5","Atha_WS-0_Col-0_Root_GC_Rep1","Atha_WS-0_Col-0_Root_GC_Rep2","Atha_WS-0_Col-0_Root_GC_Rep3","Atha_WS-0_Col-0_Root_GC_Rep4","Atha_WS-0_Col-0_Root_GC_Rep5"
"AT5G26880","AGL26","Root Specific","NM_001343985|NP_001318659",832746,"3702.AT5G26880.1","GO:0006725|GO:0046483|GO:0006399|GO:0043412|GO:0043170|GO:0016070|GO:0044260|GO:0009451|GO:0008033|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0006400|GO:0044238|GO:0034660|GO:0090304|GO:0043414|GO:1901360|GO:0032259|GO:0030488|GO:0034470|GO:0006807|GO:0001510|GO:0071704|GO:0008152","246852_at",1,6.87631144285275,6.16437049841239,6.3161744460884,6.98560866442811,6.4285002578547,6.860216930099,7.84653160622573,7.71397999854796,8.14753567869709,7.64094766967387,8.02557323305102,7.5415930256914,7.67705938706477,7.62929487855134,7.72802346076089,7.80245037680647,7.85476490618784,7.59539251915503,7.80580186704421,7.50789855101121,7.56638159135028,7.44857922441158,7.61405016634001,7.60053256949701,7.55080756089738,7.70125890060938,7.8514724202204,7.32554803141025,7.74552283786071,7.54814461852514,7.59589176681329,7.50580472246804,7.33528346153928,7.78950941903554,7.34271442961373,7.57544098561806
"AT5G26890",NA,NA,"NM_122571|NP_198041",832747,"3702.AT5G26890.1",NA,"246853_at",1,4.46946021323503,4.64720290906326,4.84250483526879,4.46705310747535,4.654190302918,4.51231539049074,2.50812744058606,2.50879295867414,2.41134986821604,2.65748277707689,2.34367538705151,2.37238302533966,2.39382804871126,2.13752840227137,2.48524390508185,2.19369634428843,2.44894968171857,2.22591267481109,2.34074223756348,2.44358378654799,2.30265906267475,2.68269150100593,2.16934794175787,2.3149389688172,2.66677531124284,2.48356023529361,2.58997127586276,2.16317305788761,2.47866755420418,2.52125860069012,2.36145426852022,2.29837781658643,2.48860324503158,2.4311738740492,2.4906430986278,2.20284050331699
"AT5G26900","AtCDC20.4|CDC20.4",NA,"NM_122572|NP_198042",832748,"3702.AT5G26900.1","GO:0051173|GO:0051246|GO:0009894|GO:0051171|GO:0044260|GO:0031325|GO:0031331|GO:1901800|GO:0030163|GO:1901565|GO:0042176|GO:0045862|GO:0043632|GO:0050789|GO:1903052|GO:0009893|GO:0006807|GO:0006508|GO:0009056|GO:0010498|GO:1901575|GO:0044267|GO:0019538|GO:0048518|GO:1903362|GO:2000058|GO:0032436|GO:0044248|GO:0071704|GO:0008152|GO:0030162|GO:0009057|GO:0019941|GO:0043170|GO:0043161|GO:1903050|GO:1901564|GO:0044237|GO:2000060|GO:0031329|GO:0009987|GO:0010604|GO:0044238|GO:0048522|GO:0006511|GO:0080090|GO:0061136|GO:0051247|GO:0032268|GO:0060255|GO:0050794|GO:0044257|GO:0065007|GO:0009896|GO:0032270|GO:1903364|GO:0045732|GO:0044265|GO:0051603|GO:0032434|GO:0019222|GO:0031323|GO:0016740|GO:0004842|GO:0019787|GO:0005488|GO:0003824|GO:0061630|GO:0061659|GO:0098772|GO:0044877|GO:0140096|GO:0030234|GO:0032991|GO:0000151|GO:0005634|GO:0043231|GO:1902494|GO:0031461|GO:0005622|GO:1990234|GO:0043227|GO:0005680|GO:0110165|GO:0043226|GO:0000152|GO:0043229","246819_at",1,1.99939333458165,1.60093200472188,1.95033138316658,1.86871363199139,1.9985239001468,1.90771370803606,1.61815817991427,1.5067443646367,1.46402981146662,1.63518017975838,1.50580704021914,1.6260837583114,1.60831715112752,1.72031532752016,1.8009767164796,1.67085185690968,1.53965147903535,1.6467519840587,1.51201669551393,1.45173995117046,1.65697396237745,1.34675180900902,1.53599653818754,1.60390790904602,1.7105403600229,1.5597897697493,1.52724684439264,1.54511517976506,1.52020129704061,1.60673916297605,1.50479251610674,1.81696981162571,1.74348481938123,1.6842263096539,1.45977799264618,1.58975697210148
"AT5G26910","TRM8",NA,"NM_001036872|NM_001203478|NM_001343986|NM_122573|NP_001031949|NP_001190407|NP_001330135|NP_198043",832749,"3702.AT5G26910.1",NA,"246820_at",1,4.24831127614021,4.55479168610333,3.9130351428763,4.55141385584103,4.80687518602887,4.19495418340416,4.29479169208532,4.64401253228859,4.80401489816771,4.62474612574948,4.60012767984511,4.50269169485626,4.5302114076891,4.56934224049334,4.24871196172032,4.54227608942099,4.38754983386914,4.58200738744691,4.17398652140713,4.36633933758175,4.47780088885014,4.65931419410297,4.48365915848735,4.38669127679855,4.66695234242597,4.51975908897537,4.40097026932521,4.38520227706251,4.55784235392064,4.13615181564467,4.4966627627684,4.33920131612649,4.42987837833982,4.57831203723562,4.41855562216869,4.46292204654293
"AT5G26920","CBP60G","Encodes a calmodulin-binding protein CBP60g (calmodulin binding protein 60-like.g).  The calmodulin-binding domain is located near the N-terminus; calmodulin binding is dependent on Ca(2+). Inducible by both bacterial pathogen and MAMP (microbe-associated molecular pattern) treatments. Bacterial growth is enhanced in cbp60g mutants.  cbp60g mutants also show defects in salicylic acid (SA) accumulation and SA signaling.","NM_001203479|NM_001343987|NM_122574|NP_001190408|NP_001331616|NP_198044",832750,"3702.AT5G26920.1","GO:1901615|GO:0016053|GO:0006725|GO:0043436|GO:0072330|GO:0044237|GO:0044249|GO:1901617|GO:1901576|GO:0009058|GO:1901362|GO:0009987|GO:0006082|GO:0032787|GO:0046394|GO:0050789|GO:0031326|GO:1901360|GO:0050794|GO:0009889|GO:0065007|GO:0019438|GO:0044283|GO:0019752|GO:0019222|GO:0031323|GO:0008152|GO:0071704|GO:0044281|GO:1990837|GO:0043565|GO:0003676|GO:0140110|GO:0003700|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:0003690|GO:0098772|GO:1901363|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","246821_at",1,3.75215531898608,4.18999704852253,4.14902502090051,3.28736655526879,3.20454785759438,4.00149400751101,3.9411774216658,6.36562228922358,5.50510114882518,6.33599516325503,4.81862451259844,5.38166026056829,4.05759828025481,5.7286748109402,4.2276423386846,4.91887807774214,3.82019559338595,4.57725348191135,4.2468396018121,5.1638132063089,3.74064604689597,3.95203096702217,4.33128723390027,4.36254675433686,2.88502054133689,4.5858805491885,3.08945360386065,3.85583941698535,3.61990701046014,3.81303174767787,3.72500460329106,3.17556187803352,2.8011949844866,3.8159186898031,2.91878040249343,2.93889018960666
"AT5G26930","GATA23","Encodes a member of the GATA factor family of zinc finger transcription factors.","NM_122575|NP_198045",832751,"3702.AT5G26930.1",NA,"246798_at",1,2.77297767911682,2.59306585030589,2.53080158724922,2.22787120607942,2.09435844594586,2.67545954544415,1.88373294858253,2.33706009939111,2.06252758151981,2.00724745668756,2.0014737082629,2.16092971979666,2.06304150806505,2.28866727965432,2.20535036567017,2.20192303129683,2.04303615484889,2.07336079966821,1.97665272841034,2.15838494228814,2.21931365312404,2.12510428369806,1.98454692567361,1.96466503183468,1.71627668525378,1.82985530853664,3.0124015610507,3.31259853210801,2.71423011695358,3.11512987091587,2.85602437971382,2.94712629941161,3.34566373628296,2.67924301848859,3.40349328202607,3.49739739690251
"AT5G26940","DPD1",NA,"NM_122576|NM_180751|NM_180752|NM_203113|NP_198046|NP_851082|NP_851083|NP_974842",832752,"3702.AT5G26940.2","GO:0006725|GO:0046483|GO:0009057|GO:0046700|GO:0043170|GO:0044260|GO:0006308|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0044270|GO:0090304|GO:0019439|GO:1901360|GO:0090305|GO:0006807|GO:1901361|GO:0009056|GO:1901575|GO:0034655|GO:0044265|GO:0008152|GO:0071704|GO:0006259|GO:0044248|GO:0008296|GO:0016788|GO:0004518|GO:0003824|GO:0016796|GO:0016787|GO:0004529|GO:0140097|GO:0004527|GO:0008408|GO:0016895|GO:0004536|GO:0005737|GO:0110165|GO:0005622","246799_at",1,3.0290023676906,2.71580022275392,2.81057951253772,3.2152188029402,3.1060833817122,3.07067735617983,5.0184585712415,5.3668269615533,4.57092583944911,5.1881221042092,4.93719991483623,5.20308257704938,5.29172973443866,5.16078779904011,5.1716094246718,5.30322967142729,4.79841399746063,5.40310245566195,4.78267727038753,5.18967007765231,4.57233358782821,5.50112589855878,5.07961196201996,5.16789623692814,4.69120626782103,4.98534829703133,5.13925414564258,5.47225753105984,5.50606062721039,5.55220798780393,5.11332388429254,5.40785434636736,5.21873817765001,5.78652348375873,5.3768403604689,5.27593161815506
"AT5G26960",NA,NA,"NM_122578|NP_198048",832754,"3702.AT5G26960.1",NA,"246822_at",1,7.56166291459628,6.86684417884909,7.32306482127311,6.90680343341482,7.5160093988014,7.35203852020447,5.59622208658123,5.64758760504164,5.81724707557168,5.36824216671714,5.66623907738958,5.58199576419601,5.54327537674062,5.2385472864485,5.74816436876952,5.07928155553902,5.5793599598314,5.20264267449944,5.60664256397836,5.46844987106376,5.92527116380691,5.74426736319622,5.72103228966926,5.52941422377786,6.05765283238262,5.52287792064493,6.00738261062715,5.23771937124941,6.04393821076046,5.66847287819839,5.44355722565599,5.59925923653367,5.49236516806513,5.90205869794159,5.65655209669238,5.35036989431901
"AT5G26970",NA,NA,"NM_122579|NP_198049",832755,"3702.AT5G26970.1",NA,"246823_at",1,2.01166456329011,2.09006416776487,2.24943365903008,2.20373795089348,2.23941771232371,1.84837200407274,1.97456699566103,1.96480561375312,1.88213265530079,1.91568290283215,1.94887784324313,1.93524926831959,1.75866319817334,1.93514822725737,1.66416527021273,1.97518415773349,1.94983012912472,1.85952406244647,1.91604515929223,1.74351178580433,1.53701731675878,1.86451764571458,1.8112554837833,1.75250190947,2.08808600385318,1.71901946333879,1.72393680574058,1.86884644558434,1.78858076803477,2.10475114968844,1.9366325665095,2.00616856076275,2.17398690797705,1.83701262490988,1.8197038594506,1.87594109518691
"AT5G26980","ATSYP41|ATTLG2A|SYP41","member of SYP4 Gene Family","NM_001036873|NM_001343989|NM_122580|NP_001031950|NP_001331924|NP_198050",832756,"3702.AT5G26980.1","GO:0006906|GO:0051641|GO:0051640|GO:0033036|GO:0061024|GO:0034613|GO:0090174|GO:0006810|GO:0071705|GO:0016192|GO:0016043|GO:0015833|GO:0009987|GO:0045184|GO:0008104|GO:0051179|GO:0042886|GO:0071840|GO:0071702|GO:0070727|GO:0061025|GO:0051234|GO:0006996|GO:0015031|GO:0006886|GO:0051649|GO:0016050|GO:0046907|GO:0048284|GO:0060090|GO:0005515|GO:0005488|GO:0000149|GO:0030674|GO:0098796|GO:0043231|GO:0031201|GO:0005773|GO:0071944|GO:0110165|GO:0043226|GO:0016021|GO:0016020|GO:0043229|GO:0005737|GO:0031224|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005886","246803_at",1,3.34619937981521,2.96874001149516,3.5896233243766,4.31283459284385,3.55201175721524,3.01963829713007,2.71103546788625,2.39470407940861,2.82287584540264,2.33192856769261,2.66081871633878,2.0187787033512,2.36283859644488,2.5569437493181,2.34892861839754,2.88169701190398,3.30144773068653,3.1001371815186,3.2849816854346,2.95704684251738,3.24440298159848,2.80702091660435,2.68808477406584,3.328989118847,3.07522895502064,3.42224711728123,2.69379959186913,2.63225307569043,2.72943680358165,2.39244498141275,2.79068929680741,2.89031285885895,2.93439342702518,2.88260069542212,2.80936848183432,2.80093677914367
