"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_HypocotylCC_WT_FLT_Rep1","Atha_Col-0_HypocotylCC_WT_FLT_Rep2","Atha_Col-0_HypocotylCC_WT_FLT_Rep3","Atha_Col-0_HypocotylCC_WT_FLT_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep5","Atha_Col-0_HypocotylCC_WT_GC_Rep1","Atha_Col-0_HypocotylCC_WT_GC_Rep2","Atha_Col-0_HypocotylCC_WT_GC_Rep3","Atha_Col-0_HypocotylCC_WT_GC_Rep4","Atha_Col-0_HypocotylCC_WT_GC_Rep5","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep1","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep2","Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep3","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep1","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep2","Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep3"
"AT1G01130",NA,NA,"NM_099995|NP_171621",839359,"3702.AT1G01130.1",NA,"261575_at",1,2.03743018686023,2.079346884899,1.85070411811613,1.99148219801132,2.28400639222906,1.97157183201128,2.07186092858541,1.96378557965524,1.68776170238124,2.24836490758867,1.95474778186631,2.39812527231537,2.02775937634488,2.04968390358089,2.094258686191,2.08819599925031
"AT1G01140","CIPK9|PKS6|SnRK3.12","Encodes a CBL-interacting protein kinase with similarity to SOS2","NM_099996|NM_179239|NM_179240|NP_171622|NP_849570|NP_849571",839349,"3702.AT1G01140.3",NA,"261581_at",1,2.0543973655119,1.74760047223044,1.96936939697254,1.68336571278309,1.95706899077689,2.11357755483981,1.93004119360737,2.08738372387334,1.91383451827764,1.88265853697099,1.98024945678332,1.99884384620311,1.77095896265521,1.7236687534675,1.88930653285569,1.96272140108784
"AT1G01150",NA,NA,"NM_001331251|NM_001331252|NM_099997|NP_001322663|NP_001322664|NP_171623",839294,"3702.AT1G01150.1",NA,"261571_at",1,1.6161252965471,1.66588409522367,1.52200360451288,1.59425695993069,1.61813062141586,1.69299579197366,1.67399560788009,1.58488848215851,1.52169067696077,1.61101364091508,1.47085663971697,1.57025355344049,1.61262708725878,1.6561039134476,1.59432999764639,1.72249004731844
"AT1G01160","GIF2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","NM_001160826|NM_099998|NP_001154298|NP_563619",839278,"3702.AT1G01160.2","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:1901360|GO:0009893|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261582_at",1,6.38878278720962,5.87957991696097,6.32410031179584,6.13106312427928,5.7350668606201,6.56390965530262,6.07501218703934,6.59122373430301,6.00050008806218,5.99196656591858,5.92164429787081,5.92280370798119,5.78537726510472,6.01813958533496,6.09967318286834,5.45146304264686
"AT1G01170",NA,NA,"NM_001035849|NM_099999|NP_001030926|NP_171625",839263,"3702.AT1G01170.1",NA,"261572_at",1,6.74906223716811,6.76092943850545,6.23660000752432,6.44452194315962,6.96886554571388,6.72562481561239,7.00894960048158,6.93628695427421,6.16724325376917,6.61813859498034,6.27325083547916,6.49495347906356,6.03234628645696,5.64542976020215,6.19885955320326,6.08317408956352
"AT1G01190","CYP78A8","member of CYP78A","NM_001331253|NM_100001|NP_001318901|NP_171627",839233,"3702.AT1G01190.1",NA,"261574_at",1,2.20123007973725,2.20108622128603,2.17201835604755,2.02547360304187,2.59540446271648,2.04750322043392,2.69673813130486,2.14580360919661,1.84339688019967,2.24038125542027,2.12393027715355,2.43477444761428,2.11623555463263,2.44191208125809,1.82247941737024,2.34971256674223
"AT1G01200","ATRAB-A3|ATRABA3|RABA3",NA,"NM_100002|NP_171628",839493,"3702.AT1G01200.1","GO:0005768|GO:0043231|GO:0097708|GO:0005794|GO:0005773|GO:0110165|GO:0071944|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0005737|GO:0012505|GO:0005622|GO:0031410|GO:0043227|GO:0005886","261042_at",1,2.3514348706468,2.05336417586911,2.25599775726585,2.3541359020771,2.16798222992719,2.25803304439959,2.20528452818353,2.0843594442684,2.29698029875277,1.95573005859624,1.95505717594613,1.93849782033751,2.1434263292291,2.48558249071312,2.19576945796784,2.17025876973907
"AT1G01220","AtFKGP|FKGP","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","NM_001331256|NM_001331257|NM_001331258|NM_001331259|NM_001331260|NM_001331261|NM_001331262|NM_100004|NP_001320979|NP_001320980|NP_001320981|NP_001320982|NP_001320983|NP_001320984|NP_001320985|NP_563620",839420,"3702.AT1G01220.1","GO:0006725|GO:1901135|GO:0090407|GO:0009058|GO:0009225|GO:0006139|GO:0006793|GO:0009165|GO:0006796|GO:1901360|GO:0006807|GO:0044271|GO:0006753|GO:0008152|GO:0071704|GO:0046483|GO:0044237|GO:0044249|GO:0034641|GO:1901576|GO:0009987|GO:1901362|GO:0018130|GO:0044238|GO:1901137|GO:0034654|GO:0019438|GO:0019637|GO:0009117|GO:1901293|GO:0055086|GO:0044281|GO:0016772|GO:0016740|GO:0016773|GO:0003824|GO:0016301","261043_at",1,1.91823406890791,1.84345100617459,1.88704828812521,1.85512491633765,1.84759932335953,2.06536770102373,2.25481025705594,1.93054201105189,1.94723315944807,1.99055834222765,1.92816617222821,1.78804390805583,2.06832005942827,1.92137558807245,1.87410450232422,1.81282702282564
"AT1G01225",NA,NA,"NM_100005|NP_563621",839358,"3702.AT1G01225.1",NA,"261025_at",1,1.87726296906081,1.85561132186999,1.78844327050589,1.92772718235529,1.97802571958693,1.96343452642132,1.90512488605027,1.90850213517623,1.88082757496023,2.03121436712751,1.92329506152856,1.8530341007205,2.02362685374712,2.09001964746339,2.03246789304495,1.94342175353839
"AT1G01230","AtORM1|ORM1",NA,"NM_100006|NP_563622",839331,"3702.AT1G01230.1","GO:0031324|GO:0006629|GO:0044085|GO:0048519|GO:0051171|GO:0009058|GO:0019725|GO:0008610|GO:0006665|GO:0050789|GO:0065008|GO:0006807|GO:0009889|GO:0044087|GO:0044271|GO:0034248|GO:0010556|GO:0046890|GO:0048523|GO:0030148|GO:0071704|GO:0008152|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0042592|GO:0044237|GO:0044249|GO:0009892|GO:1901576|GO:0034641|GO:0048878|GO:0009987|GO:0046467|GO:0051172|GO:0044238|GO:0006672|GO:0043604|GO:0080090|GO:0055082|GO:0071840|GO:0031326|GO:0006643|GO:0060255|GO:0050794|GO:0046513|GO:0065007|GO:0055088|GO:0019216|GO:0044255|GO:0019222|GO:0031327|GO:0043603|GO:0031323|GO:0098796|GO:0043231|GO:1902494|GO:1990234|GO:0042175|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005789|GO:0005886","261057_at",1,7.39635939341004,7.57957407615489,7.13006652253614,7.55086065250107,7.74171298636717,7.38972888484938,7.51036493811714,7.48401508474469,7.37125216606707,7.47619827900538,6.82238618029668,6.93926957938078,6.53797500968452,7.14091715276402,6.78552483576629,6.60838126138498
