"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep1","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep2","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep3","Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep4","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep1","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep2","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep3","Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep1","Atha_Col-0_HypocotylCC_WT_FLT_Rep2","Atha_Col-0_HypocotylCC_WT_FLT_Rep3","Atha_Col-0_HypocotylCC_WT_FLT_Rep4","Atha_Col-0_HypocotylCC_WT_FLT_Rep5","Atha_Col-0_HypocotylCC_WT_GC_Rep1","Atha_Col-0_HypocotylCC_WT_GC_Rep2","Atha_Col-0_HypocotylCC_WT_GC_Rep3","Atha_Col-0_HypocotylCC_WT_GC_Rep4","Atha_Col-0_HypocotylCC_WT_GC_Rep5"
"AT1G01120","KCS1","Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.","NM_099994|NP_171620",839395,"3702.AT1G01120.1",NA,"261570_at",1,2.10524958859995,2.07363378181329,2.37903226176653,1.97441658569676,2.24985949598255,2.45993409144576,1.90997510491281,2.06162031223467,2.14491183830913,1.87108119507698,1.94821982947338,1.97255756149892,2.10787790128277,2.21589528772433,2.15077472780127,2.01594642602685,1.91382993542804,2.08568353087711
"AT1G01130",NA,NA,"NM_099995|NP_171621",839359,"3702.AT1G01130.1",NA,"261575_at",1,2.27477919228295,2.09848105409998,2.21768475855015,2.16305500533488,2.36425001635238,2.38180227793244,2.1846141208589,2.27736592193116,2.29038258117561,2.25349038209039,2.20292788827459,2.16586894975969,2.49207451014544,2.20663427225589,2.32157901673318,2.21490104117713,2.24091279426614,2.4477337335848
"AT1G01140","CIPK9|PKS6|SnRK3.12","Encodes a CBL-interacting protein kinase with similarity to SOS2","NM_099996|NM_179239|NM_179240|NP_171622|NP_849570|NP_849571",839349,"3702.AT1G01140.3",NA,"261581_at",1,2.18065097356088,1.96181172808977,1.97813477830122,1.89056771766819,2.18310841463697,2.31742640052849,2.02053444157099,2.0086312995632,2.19839804041501,2.01733450707603,1.92101282458322,1.70321806721487,2.10484338582827,2.27475227360709,2.02092761477104,2.1455821108487,2.04898258883017,1.91654644899964
"AT1G01150",NA,NA,"NM_001331251|NM_001331252|NM_099997|NP_001322663|NP_001322664|NP_171623",839294,"3702.AT1G01150.1",NA,"261571_at",1,1.73771055571711,1.7915632184326,1.83044281269422,1.72580785659727,1.96462776695593,2.10057558409226,1.85700405675774,1.76033618551812,1.74949321913344,1.84593624860506,1.70201065087425,1.75975087561635,1.86732417007572,1.9410411981462,1.85011679970288,1.83430798909632,1.72495601349938,1.8133068367576
"AT1G01160","GIF2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","NM_001160826|NM_099998|NP_001154298|NP_563619",839278,"3702.AT1G01160.2","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:1901360|GO:0009893|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261582_at",1,7.02179779727468,6.40154404908409,6.71743542149602,6.58278672397961,6.69149017925853,6.3271247399625,6.84849132582235,6.66178563704567,6.74841889470249,6.28903277973749,6.7616022325363,6.52721740986321,6.1145324682834,6.97241449659531,6.56280103884876,6.9444540345672,6.37067670297616,6.39628085230959
"AT1G01170",NA,NA,"NM_001035849|NM_099999|NP_001030926|NP_171625",839263,"3702.AT1G01170.1",NA,"261572_at",1,7.19487232851838,7.57453619230441,6.87714410256469,6.70509137891073,7.31306410460954,7.16713437013707,7.15325980887418,6.95842093803403,7.03438934767461,7.1303991039358,6.62335742241086,6.85580803526066,7.24956448127353,6.98475163089823,7.25014254718701,7.21677985593118,6.39721578219577,6.85703088086304
"AT1G01190","CYP78A8","member of CYP78A","NM_001331253|NM_100001|NP_001318901|NP_171627",839233,"3702.AT1G01190.1",NA,"261574_at",1,2.02043388077331,2.24177224403806,2.19577197474807,2.33114058422681,2.14091496605911,2.7557347436693,2.2133024727074,2.32255549721925,2.28037883150813,2.3095706179952,2.36362596230254,2.12413526310132,2.72263764162473,2.13733040533602,2.7006509103849,2.32296044038526,1.89801491880315,2.17567575687692
"AT1G01200","ATRAB-A3|ATRABA3|RABA3",NA,"NM_100002|NP_171628",839493,"3702.AT1G01200.1","GO:0005768|GO:0043231|GO:0097708|GO:0005794|GO:0005773|GO:0110165|GO:0071944|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0005737|GO:0012505|GO:0005622|GO:0031410|GO:0043227|GO:0005886","261042_at",1,2.40140962434927,2.54664835211427,2.43367627265898,2.3774251197254,2.09506999862133,2.29913888342917,2.19216526462674,2.43737989984624,2.34581439803023,2.01436971994585,2.33153822115092,2.38057378923912,2.27535499506517,2.39417916184321,2.31103695779542,2.23342872727139,2.32551841560523,2.047280958113
"AT1G01220","AtFKGP|FKGP","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","NM_001331256|NM_001331257|NM_001331258|NM_001331259|NM_001331260|NM_001331261|NM_001331262|NM_100004|NP_001320979|NP_001320980|NP_001320981|NP_001320982|NP_001320983|NP_001320984|NP_001320985|NP_563620",839420,"3702.AT1G01220.1","GO:0006725|GO:1901135|GO:0090407|GO:0009058|GO:0009225|GO:0006139|GO:0006793|GO:0009165|GO:0006796|GO:1901360|GO:0006807|GO:0044271|GO:0006753|GO:0008152|GO:0071704|GO:0046483|GO:0044237|GO:0044249|GO:0034641|GO:1901576|GO:0009987|GO:1901362|GO:0018130|GO:0044238|GO:1901137|GO:0034654|GO:0019438|GO:0019637|GO:0009117|GO:1901293|GO:0055086|GO:0044281|GO:0016772|GO:0016740|GO:0016773|GO:0003824|GO:0016301","261043_at",1,2.02159480142899,1.92209224073022,2.0977952387017,2.10234016612457,1.9398405012572,2.03508932596197,2.02724554074269,1.99899107741393,1.99444408096961,1.87239007288197,1.92470776967254,1.98124758017896,2.07930587312395,2.10528404972557,2.31624326751847,1.9603628065248,1.97893519507538,2.17630656238297
"AT1G01225",NA,NA,"NM_100005|NP_563621",839358,"3702.AT1G01225.1",NA,"261025_at",1,2.29828062466885,2.16129385944296,2.02852859709024,2.13021931216508,2.12132505459781,2.13472525566551,2.31671441015799,2.20597951750224,2.11425522978977,2.07967873004095,1.97763786928106,2.11989651468109,2.14214055220145,2.14665556805065,2.07974176022819,2.04760557418402,2.07967873004095,2.22729869610603
