"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Col0_sl_noHeat_noAnox_Rep2","Atha_Col0_sl_Heat_noAnox_Rep1","Atha_Col0_sl_Heat_noAnox_Rep2","Atha_Col0_sl_noHeat_Anox_Rep1","Atha_Col0_sl_noHeat_Anox_Rep2","Atha_Col0_sl_Heat_Anox_Rep1","Atha_Col0_sl_Heat_Anox_Rep2","Atha_Col0_sl_noHeat_noAnox_Rep1"
"AT1G01230","AtORM1|ORM1",NA,"NM_100006|NP_563622",839331,"3702.AT1G01230.1","GO:0031324|GO:0006629|GO:0044085|GO:0048519|GO:0051171|GO:0009058|GO:0019725|GO:0008610|GO:0006665|GO:0050789|GO:0065008|GO:0006807|GO:0009889|GO:0044087|GO:0044271|GO:0034248|GO:0010556|GO:0046890|GO:0048523|GO:0030148|GO:0071704|GO:0008152|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0042592|GO:0044237|GO:0044249|GO:0009892|GO:1901576|GO:0034641|GO:0048878|GO:0009987|GO:0046467|GO:0051172|GO:0044238|GO:0006672|GO:0043604|GO:0080090|GO:0055082|GO:0071840|GO:0031326|GO:0006643|GO:0060255|GO:0050794|GO:0046513|GO:0065007|GO:0055088|GO:0019216|GO:0044255|GO:0019222|GO:0031327|GO:0043603|GO:0031323|GO:0098796|GO:0043231|GO:1902494|GO:1990234|GO:0042175|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005789|GO:0005886","261057_at",1,8.4854728137251,8.27773548152642,8.20336281808994,8.49163322250626,8.4739932132419,7.75721216383453,8.09758404096347,8.80576679166214
"AT1G01240",NA,NA,"NM_001331263|NM_001331264|NM_100007|NM_202006|NM_202007|NP_001320619|NP_001320620|NP_563623|NP_973735|NP_973736",839274,"3702.AT1G01240.3",NA,"261026_at",1,7.51874107404847,8.43310762282452,8.67667617907455,7.06378422916473,7.4371394084619,8.78461959262056,8.63475106463246,7.50855786014167
"AT1G01250",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","NM_100008|NP_563624",839322,"3702.AT1G01250.1",NA,"261059_at",1,5.35399999345414,5.37927732542518,5.88738818701505,5.65831829732925,5.40392339615241,5.18335598611036,5.23171633899398,5.65216658388419
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","261050_at",1,6.67436588502303,5.82458138150365,5.64794597384923,5.67684688966997,5.86404670427258,5.6000665610545,6.33348032940395,6.41404751170429
"AT1G01280","CYP703|CYP703A2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","NM_100010|NP_171635",839470,"3702.AT1G01280.1",NA,"261051_at",1,3.67968529345547,3.89722627855749,4.10055039166693,3.81559017658148,3.81552608159518,3.78016079293923,3.90962934214186,3.7905095071692
"AT1G01290","CNX3","COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 3. Encodes a protein involved in molybdenum cofactor biosynthesis. Homologous to E.coli MoaC. Expression is low in all tissues examined, except in roots. Appears to have targeting signals for chloroplast or mitochondria","NM_001160827|NM_100011|NP_001154299|NP_171636",839445,"3702.AT1G01290.1",NA,"261044_at",1,6.36052795927267,5.9169978708762,5.85637464991938,6.46765826709612,6.8529567519847,5.29078571660627,5.76135885557878,6.21918340876599
"AT1G01300",NA,NA,"NM_100012|NP_171637",839375,"3702.AT1G01300.1",NA,"261055_at",1,10.3485228943918,7.03650617580288,7.64546975381117,8.73629877607221,9.15543649094449,6.30287884483618,7.35532703006216,9.8703455838629
"AT1G01310",NA,NA,"NM_100013|NP_171638",839333,"3702.AT1G01310.1","GO:0005615|GO:0110165|GO:0005576","261045_at",1,3.91435282734138,3.88446496897183,4.2864054405926,4.03500953134466,4.05509151205263,4.00943286105238,4.17104783207151,3.91979857278973
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261053_at",1,9.77679325721355,9.07731653948662,8.75152160769332,9.34825273093094,8.95171780251267,7.54212414243343,7.69312362326127,9.20315876338329
"AT1G01320","FLL2|REC1",NA,"NM_001197955|NM_001331265|NM_100014|NP_001184884|NP_001321495|NP_171639",839293,"3702.AT1G01320.1","GO:0005737|GO:0110165|GO:0005622","261054_at",1,6.22148103596331,6.60755457306535,5.69874603679861,6.46015194151039,5.94631524379896,5.45775399896741,5.42392820171605,6.27495914196589
"AT1G01340","ACBK1|ATCNGC10|CNGC10","member of Cyclic nucleotide gated channel family","NM_001197956|NM_100016|NP_001184885|NP_563625",838832,"3702.AT1G01340.2",NA,"261027_at",1,5.38002262507305,5.64037785870482,5.01239860632088,4.75855218877623,4.58294495026613,5.7501973961724,5.80862672022958,5.02562879656762
"AT1G01350|AT5G06420",NA,NA,NA,NA,NA,NA,"250736_s_at",2,7.75094833596733,8.40588246342631,7.68187628778991,7.58588584493762,7.65369058557785,8.46398194780002,9.09789088571148,7.60952946370951
"AT1G01360","PYL9|RCAR1","Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.","NM_100018|NP_563626",838452,"3702.AT1G01360.1","GO:0031399|GO:0007165|GO:0019220|GO:0051246|GO:0043412|GO:0051171|GO:0044260|GO:0033993|GO:0036211|GO:0035303|GO:0050790|GO:0006793|GO:0071396|GO:0009755|GO:0006796|GO:0050789|GO:0051174|GO:1901701|GO:0009719|GO:0032870|GO:0006807|GO:0065009|GO:0051336|GO:0044267|GO:0019538|GO:0023052|GO:0043666|GO:0071704|GO:0008152|GO:0010033|GO:0051716|GO:0071495|GO:1901700|GO:0070887|GO:0071310|GO:0043170|GO:0010921|GO:1901564|GO:0006470|GO:0044237|GO:0007154|GO:0009987|GO:0044238|GO:0006464|GO:0080090|GO:0009737|GO:0050896|GO:0032268|GO:0009725|GO:0035304|GO:0042221|GO:0060255|GO:0050794|GO:0016311|GO:0065007|GO:0019222|GO:0031323|GO:0016788|GO:0038023|GO:0019902|GO:0016791|GO:0036094|GO:0005488|GO:0003824|GO:0019888|GO:0019899|GO:0004857|GO:0019212|GO:0004721|GO:0030234|GO:0042578|GO:0019208|GO:0031406|GO:0016787|GO:0060089|GO:0005515|GO:0098772|GO:0008289|GO:0043177|GO:0043167|GO:0043168|GO:0019903|GO:0004864|GO:0140096|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","261056_at",1,7.8159063066964,8.40820816216161,7.90299746838418,8.09378631973301,8.36623745694309,8.93976422000089,8.97921354993399,8.16341031110875
"AT1G01370","CENH3|HTR12","Encodes a centromere-identifying  protein histone H3 variant. Localized at centromeres in both mitotic and  meiotic cells.","NM_001035850|NM_001331269|NM_001331270|NM_100019|NP_001030927|NP_001322867|NP_001322868|NP_563627",839104,"3702.AT1G01370.1","GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0005622|GO:0043229","261058_at",1,4.88311945268999,4.86905120776047,5.00750442783781,5.65026274575339,4.67402215119466,4.62939051549187,4.34423920093515,5.10942555019601
"AT1G01380","ETC1","ETC1 is involved in trichome and root  hair patterning in Arabidopsis.","NM_001331271|NM_001331272|NM_100020|NP_001321146|NP_001321147|NP_171645",838096,"3702.AT1G01380.1","GO:0030154|GO:0048869|GO:0009987|GO:0032502|GO:1990837|GO:0043565|GO:0003676|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:0003690|GO:1901363|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0005622|GO:0043229","257490_x_at",1,5.21778962712828,5.1867882623574,4.97142637463963,5.61851758989557,5.19539610525835,4.65011266635129,4.71084939165522,5.47074494559782
"AT1G01390",NA,NA,"NM_001331273|NM_100021|NP_001322773|NP_171646",837790,"3702.AT1G01390.1",NA,"261046_at",1,8.15353494211799,5.12118377053091,5.48256715959925,7.54315094742612,7.06638156248951,4.50604740122222,4.66989674631936,8.13357384808241
"AT1G01410","APUM22|PUM22","Encodes a member of the Arabidopsis Pumilio (APUM) proteins containing PUF domain (eight repeats of approximately 36 amino acids each). PUF proteins regulate both mRNA stability and translation through sequence-specific binding to the 3' UTR of target mRNA transcripts.","NM_100023|NP_171648",837547,"3702.AT1G01410.1","GO:0050789|GO:0010608|GO:0060255|GO:0043170|GO:0065007|GO:0010467|GO:0010468|GO:0019222|GO:0071704|GO:0008152|GO:0003676|GO:0003729|GO:1901363|GO:0003723|GO:0005488|GO:0097159|GO:0005737|GO:0110165|GO:0005622","261047_at",1,3.84954907802008,3.9923618076124,4.0217996081531,4.00664137232748,3.84063859664371,3.81172794340541,3.81742169767319,4.00122659357605
"AT1G01420","UGT72B3",NA,"NM_001331274|NM_100024|NP_001322549|NP_171649",837503,"3702.AT1G01420.1",NA,"261048_at",1,5.48338595121848,4.37089951549264,4.57102673766824,4.53387956050323,4.8995444376562,4.54928569890912,4.73601080798108,5.2613678622419
"AT1G01430","MOAT3|TBL25","Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).","NM_100025|NP_171650",837247,"3702.AT1G01430.1","GO:0016746|GO:0016747|GO:0016740|GO:0016407|GO:0003824|GO:0008374|GO:0005737|GO:0043231|GO:0012505|GO:0005622|GO:0005794|GO:0043227|GO:0005773|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005886","261049_at",1,9.46953422920535,7.78536794286977,7.43100097392197,8.60375195265645,8.65496389448325,7.5216597297896,7.81568531907141,9.91594862893139
"AT1G01440",NA,NA,"NM_100026|NP_171651",837155,"3702.AT1G01440.1",NA,"261052_at",1,6.1713027500928,6.10979682191571,6.00093450135656,5.87477045568459,6.05261610357725,5.7774537558486,5.9781563970071,6.04426154820506
"AT1G01450",NA,NA,"NM_100027|NP_171652",837060,"3702.AT1G01450.1","GO:0050789|GO:0050896|GO:0007165|GO:0051716|GO:0050794|GO:0065007|GO:0007154|GO:0009987|GO:0023052|GO:0016772|GO:0016740|GO:0016773|GO:0140096|GO:0003824|GO:0016301|GO:0004672|GO:0005737|GO:0110165|GO:0005622","259435_at",1,4.04799972837102,4.09184539570552,4.27505413221299,3.96963312226336,4.01756103906838,4.25174403221419,4.09035770145023,3.93416185046221
"AT1G01460","ATPIPK11|PIPK11","Type I phosphatidylinositol-4-phosphate 5-kinase, subfamily A.","NM_100028|NP_171653",839469,"3702.AT1G01460.1",NA,"259425_at",1,3.93450207334291,4.01855684207599,4.03281023102544,3.92870144234057,3.92409438939263,3.9990365291151,4.20010561091401,3.99126869633668
"AT1G01470","AtLEA14|LEA1|LEA14|LSR3","Encodes late-embryogenesis abundant protein whose mRNA levels are induced in response to wounding and light stress. Might be involved in protection against dessication.","NM_100029|NP_171654",837071,"3702.AT1G01470.1","GO:0005737|GO:0005829|GO:0110165|GO:0005622","259426_at",1,10.6734828334364,10.8399193429684,10.5070477388639,11.1279194572171,10.7548418399327,11.6897071094886,11.4398717190536,10.9578504625511
"AT1G01480","ACS2|AT-ACC2","a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family,  isolated from a flower-specific cDNA library.","NM_100030|NM_179241|NP_171655|NP_849572",837082,"3702.AT1G01480.1",NA,"259439_at",1,5.08316837342604,4.86825913768309,4.93197227629161,4.88408918328441,5.13661050248417,5.12577288844333,5.10022113781637,4.80247750502472
"AT1G01490","AtHMP01",NA,"NM_001035851|NM_001331275|NM_001331276|NM_100031|NP_001030928|NP_001321838|NP_001321839|NP_171656",839440,"3702.AT1G01490.1",NA,"259434_at",1,10.1235411207458,9.134691578142,9.11418798880663,9.78016730904968,10.5681035236524,9.78290876358503,10.1310887350449,9.9591660756556
"AT1G01500",NA,NA,"NM_100032|NP_563628",839430,"3702.AT1G01500.1","GO:0043436|GO:1901564|GO:0044237|GO:0009987|GO:0006082|GO:0032787|GO:0044238|GO:0016054|GO:0044282|GO:0006807|GO:0009056|GO:0006520|GO:1901575|GO:0046395|GO:0019752|GO:0071704|GO:0072329|GO:0044281|GO:0008152|GO:0044248|GO:0003824|GO:0016491|GO:0016616","259436_at",1,7.7538551389772,7.53325407323792,7.45439328377494,7.83791415893519,8.10002265715841,8.0251335841617,8.23202877804308,7.90121324724954
"AT1G01510","AN|DOQ","Encodes a homolog of human CtBP.  Mutant has longer and thicker leaves than wild type. Involved in controlling polar cell expansion in the leaf width direction.","NM_100033|NP_563629",839401,"3702.AT1G01510.1",NA,"259438_at",1,8.79250899062579,8.95539920385878,8.80912526347695,8.86605914654886,8.88217339281737,8.38732428534746,8.76465224993857,8.84014028430337
"AT1G01520","ASG4|REV3",NA,"NM_001331277|NM_001331278|NM_001331279|NM_001331280|NM_100034|NP_001320249|NP_001320250|NP_001320251|NP_001320252|NP_171659",839337,"3702.AT1G01520.1",NA,"259432_at",1,4.45987350753175,4.51186498210359,4.32386671886369,4.52480628351236,5.06050810685506,4.268301354533,4.26253711453879,4.36507332847183
"AT1G01530","AGL28",NA,"NM_100035|NP_171660",837142,"3702.AT1G01530.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000785|GO:0070013|GO:0110165|GO:0043226|GO:0000790|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0005622|GO:0005694|GO:0043227|GO:0031981","259427_at",1,3.62544635979597,3.74597394728399,3.82048884411396,3.74411881834056,3.73579640132713,3.80465203334001,3.73355214661713,3.72882184052353
"AT1G01540",NA,NA,"NM_100036|NM_179242|NP_171661|NP_849573",839533,"3702.AT1G01540.2",NA,"259437_at",1,8.0311712508145,7.36585072587279,7.25276552504099,7.72108622035743,7.94114089618315,7.67901113571753,8.23961195878382,7.71010632242897
"AT1G01550","BPS1","BYPASS1, required to prevent constitutive production of a root-derived graft-transmissible signal","NM_001035852|NM_100037|NP_001030929|NP_563630",839536,"3702.AT1G01550.1",NA,"259440_at",1,10.6445008579099,10.5702151520346,10.479813186789,10.2292228956892,10.3986874063103,10.9187419832834,10.9392714845007,10.6927166361193
