"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","GSM4848939","GSM4848940","GSM4848941","GSM4848942","GSM4848943","GSM4848944","GSM4848945","GSM4848946","GSM4848947"
"AT1G01010","ANAC001|NAC001|NTL10",NA,"NM_099983|NP_171609",839580,"3702.AT1G01010.1",NA,"13334158",1,5.77122231360508,6.46349746984118,6.19649521980781,6.33186314576923,6.61929017547952,6.61981104939674,5.9739685039735,6.07292501404866,6.24394923566784
"AT1G01020","ARV1",NA,"NM_001035846|NM_001331239|NM_001331240|NM_001331241|NM_001331242|NM_001331243|NP_001030923|NP_001318899|NP_001321775|NP_001321776|NP_001321777|NP_001321778",839569,"3702.AT1G01020.1","GO:0016125|GO:0015850|GO:0006629|GO:0051641|GO:0033036|GO:0061024|GO:0015918|GO:0007009|GO:0006810|GO:0010256|GO:0006869|GO:0006665|GO:0071702|GO:0008202|GO:1901360|GO:0065008|GO:0051234|GO:0006807|GO:0010876|GO:0071704|GO:0008152|GO:1901615|GO:0032366|GO:1901564|GO:0044237|GO:0016043|GO:0097035|GO:0009987|GO:0044238|GO:0051179|GO:0071840|GO:0006643|GO:0065007|GO:0051649|GO:0046907|GO:0044255|GO:0071782|GO:0043231|GO:0005794|GO:0005773|GO:0031984|GO:0005938|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0098827|GO:0012505|GO:0005622|GO:0043227|GO:0005783|GO:0032541|GO:0005886","13361791",1,3.89570633885205,4.22716800390375,4.25824554999967,4.24759131899056,4.52504067805489,4.20627208322562,4.52191610695925,4.2945567457237,4.30518702208866
"AT1G01030","NGA3",NA,"NM_001331244|NM_099985|NP_001322175|NP_171611",839321,"3702.AT1G01030.1",NA,"13361807",1,2.11928493202499,2.11928493202499,2.11928493202499,1.93156045878779,2.13527166296083,1.96461399261004,2.09113028213892,2.36537203767329,2.11928493202499
"AT1G01040","ASU1|ATDCL1|CAF|DCL1|EMB60|EMB76|SIN1|SUS1","Encodes a Dicer homolog. Dicer is a RNA helicase involved in microRNA processing. Mutations in this locus can result in embryo lethality. Embryo shape at seed maturity is globular-elongate. Other mutants convert the floral meristems to an indeterminate state, others yet show defects in ovule development. mRNA is expressed in all shoot tissues. DCL1 is able to produce miRNAs and siRNAs.","NM_001197952|NM_099986|NP_001184881|NP_171612",839574,"3702.AT1G01040.2","GO:0010629|GO:0010608|GO:0006725|GO:0048519|GO:0016070|GO:0006396|GO:0010467|GO:0035194|GO:0006139|GO:0050789|GO:1901360|GO:0006807|GO:0016458|GO:0010468|GO:0040029|GO:0008152|GO:0071704|GO:0046483|GO:0043170|GO:0044237|GO:0016246|GO:0009892|GO:0034641|GO:0031047|GO:0009987|GO:0044238|GO:0090304|GO:0060255|GO:0016441|GO:0010605|GO:0065007|GO:0019222|GO:0140098|GO:0016788|GO:0003676|GO:0003723|GO:0004518|GO:0005488|GO:0003824|GO:0097159|GO:0004521|GO:0016787|GO:0004519|GO:0004540|GO:1901363|GO:0005737|GO:0005634|GO:0043231|GO:0005622|GO:0043227|GO:0110165|GO:0043226|GO:0043229","13334167",1,3.37482628254375,3.64604523607871,3.77967140372719,3.58566748462842,3.45133494547786,3.60055154841083,3.64604523607871,3.97244190144993,3.96164093823846
"AT1G01050","AtPPa1|PPa1","Encodes a soluble protein with inorganic pyrophosphatase activity that is highly specific for Mg-inorganic pyrophosphate.","NM_001331245|NM_099987|NP_001322481|NP_171613",839579,"3702.AT1G01050.1|3702.AT5G09650.1","GO:0044237|GO:0009987|GO:0006793|GO:0006796|GO:0008152|GO:0016787|GO:0016462|GO:0016818|GO:0016817|GO:0003824","13361812",1,6.33680033188545,6.86065293889284,6.80938295224933,6.81678504019103,6.88172514496742,6.87363391254636,6.59116246402572,6.94606432880026,6.81678504019103
"AT1G01060","LHY|LHY1","LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1","NM_001035847|NM_001083968|NM_001197953|NM_001331246|NM_001331247|NM_001331248|NM_099988|NM_179237|NP_001030924|NP_001077437|NP_001184882|NP_001320627|NP_001320628|NP_001320629|NP_171614|NP_849568",839341,"3702.AT1G01060.2",NA,"13361823",1,3.27633044869086,3.50095267336891,3.26723070318128,3.47604221436322,3.62180853279305,3.50457175961852,3.47604221436322,3.28042198784029,3.51743334580394
"AT1G01070","UMAMIT28",NA,"NM_099989|NM_202005|NP_563617|NP_973734",839550,"3702.AT1G01070.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","13361838",1,1.24458298349243,1.15793919453651,1.44622685334143,1.19141746236561,1.16030016389095,1.30522038695547,1.51209630133402,1.5410931208859,1.44727050254317
"AT1G01080",NA,NA,"NM_001035848|NM_001331249|NM_099990|NP_001030925|NP_001320997|NP_171616",839463,"3702.AT1G01080.2","GO:0006725|GO:0046483|GO:0044085|GO:0016070|GO:0043170|GO:0006364|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0006139|GO:0044238|GO:0071840|GO:0034660|GO:0090304|GO:1901360|GO:0034470|GO:0006807|GO:0016072|GO:0022613|GO:0042254|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:0003729|GO:1901363|GO:0005488|GO:0097159|GO:0009534|GO:0031976|GO:0009579|GO:0043231|GO:0034357|GO:0042651|GO:0031984|GO:0005829|GO:0110165|GO:0043226|GO:0009507|GO:0016020|GO:0009535|GO:0043229|GO:0009536|GO:0005737|GO:0005622|GO:0043227","13361847",1,4.82546141850997,2.70123747016836,4.2716493919371,2.5182180246331,2.32547864750629,2.29129917611031,2.09016217350856,2.44712178505451,2.53568911379533
"AT1G01090","PDH-E1","pyruvate dehydrogenase E1 alpha subunit","NM_099991|NP_171617",839429,"3702.AT1G01090.1",NA,"13361854",1,5.52127412673261,5.45000172660298,5.32895901047325,5.17429082577917,5.27411635815588,5.11607240086762,5.00788759704429,4.92417204886667,5.26844065149511
"AT1G01100","RPP1.1|RPP1A",NA,"NM_001083969|NM_001083970|NM_099992|NM_179238|NP_001077438|NP_001077439|NP_171618|NP_849569",839410,"3702.AT1G01100.2",NA,"13361860",1,5.76338248062618,5.86886689938144,5.47524390596475,5.57900846120354,5.63997848234641,5.57397033729979,5.76338248062618,6.02343017484681,5.93705096238615
"AT1G01110","IQD18",NA,"NM_001123732|NM_001331250|NP_001117204|NP_001318900",839394,"3702.AT1G01110.2",NA,"13334194",1,4.30354854809279,4.49982438052999,4.30354854809279,4.30354854809279,4.19619072054112,4.03773199396906,4.46271759262922,4.81329258571633,4.49585588576333
"AT1G01120","KCS1","Encodes a condensing enzyme KCS1 (3-ketoacyl-CoA synthase 1) which is involved in the critical fatty acid elongation process in wax biosynthesis.","NM_099994|NP_171620",839395,"3702.AT1G01120.1",NA,"13361869",1,2.83775240107906,3.30541110160036,3.28435261829379,2.88770532265794,3.15283909179192,3.14715796222141,3.13798710443996,3.34905306033274,3.18163856484355
"AT1G01130",NA,NA,"NM_099995|NP_171621",839359,"3702.AT1G01130.1",NA,"13361873",1,1.21684142469757,1.32153145268025,1.33890054631095,1.33890054631095,1.40959225534843,1.16307272610818,1.49162028565478,1.29279175663323,1.58220819989241
"AT1G01140","CIPK9|PKS6|SnRK3.12","Encodes a CBL-interacting protein kinase with similarity to SOS2","NM_099996|NM_179239|NM_179240|NP_171622|NP_849570|NP_849571",839349,"3702.AT1G01140.3",NA,"13361877",1,4.0848919803896,3.97258911946378,3.90073227416325,4.05693698487107,3.88110916466829,4.27651296232759,3.99304267485501,3.82369397632865,3.99304267485501
"AT1G01150",NA,NA,"NM_001331251|NM_001331252|NM_099997|NP_001322663|NP_001322664|NP_171623",839294,"3702.AT1G01150.1",NA,"13361892",1,1.55141136824974,1.71664044864244,1.71664044864244,1.89286427800638,1.64287104284638,1.71664044864244,1.94357766560636,1.84127856844387,1.52891597540524
"AT1G01160","GIF2","Arabidopsis thaliana GRF1-interacting factor 2 (GIF2) mRNA","NM_001160826|NM_099998|NP_001154298|NP_563619",839278,"3702.AT1G01160.2","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0044237|GO:0032774|GO:0034641|GO:0010604|GO:0044238|GO:0018130|GO:0048522|GO:0034654|GO:0050794|GO:0019438|GO:0019222|GO:0031323|GO:0051173|GO:0006725|GO:1902680|GO:0016070|GO:0044260|GO:0006357|GO:0009058|GO:0009891|GO:0006355|GO:1901360|GO:0009893|GO:0009889|GO:0044271|GO:0045935|GO:0010557|GO:0010468|GO:0010556|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0044249|GO:1901576|GO:0031328|GO:1901362|GO:0009987|GO:0051252|GO:0080090|GO:0090304|GO:0031326|GO:0060255|GO:0019219|GO:0065007|GO:1903506|GO:0051254|GO:1903508|GO:2000112|GO:0006366|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","13334204",1,4.67407980010209,4.78942026436944,4.67407980010209,4.62980823640892,4.7155500616119,4.63034595638394,4.65512044204067,4.71485739853425,4.67407980010209
"AT1G01170",NA,NA,"NM_001035849|NM_099999|NP_001030926|NP_171625",839263,"3702.AT1G01170.1",NA,"13361898",1,4.10574997658862,3.50888462712243,3.25756996378782,3.14857809074951,2.964745069615,2.89857594233316,3.88775988443014,3.70732995455059,3.63430945675907
"AT1G01180",NA,NA,"NM_100000|NP_171626",839239,"3702.AT1G01180.1",NA,"13334213",1,2.4568165138358,2.74479014697425,2.77551507272113,2.39518045435529,2.6773453293719,2.56853636632813,2.74005239111674,2.57067175824276,2.8155904324944
"AT1G01190","CYP78A8","member of CYP78A","NM_001331253|NM_100001|NP_001318901|NP_171627",839233,"3702.AT1G01190.1",NA,"13361905",1,1.91631493092079,2.22245564108724,2.47166919651331,2.66756262542331,2.5739839334087,2.65107687635027,2.5040047592878,2.23911258859873,2.6800529694758
"AT1G01200","ATRAB-A3|ATRABA3|RABA3",NA,"NM_100002|NP_171628",839493,"3702.AT1G01200.1","GO:0005768|GO:0043231|GO:0097708|GO:0005794|GO:0005773|GO:0110165|GO:0071944|GO:0043226|GO:0016020|GO:0031982|GO:0043229|GO:0005737|GO:0012505|GO:0005622|GO:0031410|GO:0043227|GO:0005886","13361908",1,1.35942746001079,1.35942746001079,1.35942746001079,1.33980435051584,1.35942746001079,1.3854665255396,1.35942746001079,1.35942746001079,1.33980435051584
"AT1G01210",NA,NA,"NM_001331254|NM_001331255|NM_100003|NP_001322609|NP_001322610|NP_171629",839481,"3702.AT1G01210.1","GO:0140098|GO:0016772|GO:0016740|GO:0003899|GO:0003824|GO:0016779","13334217",1,4.65226884329603,4.48595373874258,4.86321748380514,4.19163087182174,4.06785225021122,4.30619283052466,4.15588172238548,4.28003096938166,5.02073791265282
"AT1G01220","AtFKGP|FKGP","Encodes a bifunctional enzyme that has both L-fucokinase and GDP-L-fucose pyrophosphorylase activities. It catalyzes the two steps of the L-fucose salvage pathway for the generation of activated GDP-L-fucose. This pathway seems to be of minor importance for cell wall polysaccharide biosynthesis compared to the de novo GDP-L-fucose biosynthesis pathway in Arabidopsis.","NM_001331256|NM_001331257|NM_001331258|NM_001331259|NM_001331260|NM_001331261|NM_001331262|NM_100004|NP_001320979|NP_001320980|NP_001320981|NP_001320982|NP_001320983|NP_001320984|NP_001320985|NP_563620",839420,"3702.AT1G01220.1","GO:0006725|GO:1901135|GO:0090407|GO:0009058|GO:0009225|GO:0006139|GO:0006793|GO:0009165|GO:0006796|GO:1901360|GO:0006807|GO:0044271|GO:0006753|GO:0008152|GO:0071704|GO:0046483|GO:0044237|GO:0044249|GO:0034641|GO:1901576|GO:0009987|GO:1901362|GO:0018130|GO:0044238|GO:1901137|GO:0034654|GO:0019438|GO:0019637|GO:0009117|GO:1901293|GO:0055086|GO:0044281|GO:0016772|GO:0016740|GO:0016773|GO:0003824|GO:0016301","13334223",1,3.41518822062134,2.94419390696109,3.26103722510705,3.24832803163697,2.94173290852633,2.95670872909692,2.7741077438361,2.94419390696109,2.58451710375386
"AT1G01225",NA,NA,"NM_100005|NP_563621",839358,"3702.AT1G01225.1",NA,"13334233",1,1.55649005951455,2.26480188730853,1.9928029120652,2.26355651737842,1.9569181748118,2.24911769330125,1.92524855356628,2.09844963715912,2.04816988367014
"AT1G01230","AtORM1|ORM1",NA,"NM_100006|NP_563622",839331,"3702.AT1G01230.1","GO:0031324|GO:0006629|GO:0044085|GO:0048519|GO:0051171|GO:0009058|GO:0019725|GO:0008610|GO:0006665|GO:0050789|GO:0065008|GO:0006807|GO:0009889|GO:0044087|GO:0044271|GO:0034248|GO:0010556|GO:0046890|GO:0048523|GO:0030148|GO:0071704|GO:0008152|GO:0009059|GO:0009890|GO:0043170|GO:1901566|GO:1901564|GO:0042592|GO:0044237|GO:0044249|GO:0009892|GO:1901576|GO:0034641|GO:0048878|GO:0009987|GO:0046467|GO:0051172|GO:0044238|GO:0006672|GO:0043604|GO:0080090|GO:0055082|GO:0071840|GO:0031326|GO:0006643|GO:0060255|GO:0050794|GO:0046513|GO:0065007|GO:0055088|GO:0019216|GO:0044255|GO:0019222|GO:0031327|GO:0043603|GO:0031323|GO:0098796|GO:0043231|GO:1902494|GO:1990234|GO:0042175|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0043229|GO:0005737|GO:0032991|GO:0012505|GO:0005622|GO:0043227|GO:0005789|GO:0005886","13334238",1,5.36028957612989,5.91136475095846,5.57579736752407,5.57136606938705,5.6088575469713,5.56563543786755,5.52049106194322,5.56860161128256,5.61253010922831
"AT1G01240",NA,NA,"NM_001331263|NM_001331264|NM_100007|NM_202006|NM_202007|NP_001320619|NP_001320620|NP_563623|NP_973735|NP_973736",839274,"3702.AT1G01240.3",NA,"13334244",1,2.17052045165519,2.22433322191252,2.63478964315547,2.63478964315547,2.63478964315547,2.95473472964106,2.63478964315547,2.63478964315547,2.78000248764075
"AT1G01250",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.","NM_100008|NP_563624",839322,"3702.AT1G01250.1",NA,"13361913",1,1.16307272610818,1.16307272610818,1.19568616265154,1.16307272610818,1.00839665836084,1.16307272610818,1.38172866091558,1.57085932645855,1.03202354460795
"AT1G01260","bHLH013|bHLH13|JAM2",NA,"NM_001083971|NM_001197954|NM_100009|NP_001077440|NP_001184883|NP_171634",839545,"3702.AT1G01260.1","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0065007|GO:0019438|GO:1903506|GO:0019222|GO:2000112|GO:0031323|GO:1990837|GO:0043565|GO:0003700|GO:0003676|GO:0140110|GO:0000976|GO:0001067|GO:0005488|GO:0097159|GO:0003677|GO:1901363|GO:0098772|GO:0003690|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622","13334251",1,2.22047090745831,2.48247845728036,2.44677678575432,2.44677678575432,2.57879073255605,2.59859663262831,2.16320365835556,2.45853071724368,2.16455435284971
"AT1G01270",NA,NA,NA,NA,NA,NA,"13361916",1,1.22533900461188,1.07869424683515,0.947126253887425,0.8984418040006,0.847001013231366,1.1861265528853,1.06063741390425,1.14367812504446,1.02708052072822
"AT1G01280","CYP703|CYP703A2","member of CYP703A  CYP703A2 is expressed specifically in anthers of land plants, catalyzing the in-chain hydroxylation at the C-7 position of medium-chain saturated fatty acids (lauric acid in-chain hydroxylase) which is involved in pollen development (sporopollenin synthesis).","NM_100010|NP_171635",839470,"3702.AT1G01280.1",NA,"13334260",1,1.33541428015336,1.36986628810468,1.79911427824081,1.33346734167361,1.28254237109611,1.51458064391143,1.84953485214306,1.53205029627927,1.46269947858613
