TF	Gene	Input
AT1G25580	AT1G01010	0.4788
AT1G25580	AT1G01060	0.103
AT1G25580	AT1G01170	0.3519
AT1G25580	AT1G01180	0.3514
AT1G25580	AT1G01220	0.3188
AT1G25580	AT1G01390	0.5352
AT1G25580	AT1G01400	0.3345
AT1G25580	AT1G01453	0.2501
AT1G25580	AT1G01730	0.7667
AT1G25580	AT1G02190	0.2688
AT1G25580	AT1G02430	0.2333
AT1G25580	AT1G02440	0.2327
AT1G25580	AT1G02650	0.096
AT1G25580	AT1G02670	0.7103
AT1G25580	AT1G02720	0.2955
AT1G25580	AT1G02965	0.8086
AT1G25580	AT1G02970	0.8092
AT1G25580	AT1G03380	0.3863
AT1G25580	AT1G03410	0.2798
AT1G25580	AT1G03430	0.2804
AT1G25580	AT1G03440	0.7004
AT1G25580	AT1G03520	0.0239
AT1G25580	AT1G03940	0.4439
AT1G25580	AT1G04023	0.3182
AT1G25580	AT1G04047	0.7661
AT1G25580	AT1G04077	0.2007
AT1G25580	AT1G04087	0.5718
AT1G25580	AT1G04240	0.555
AT1G25580	AT1G04520	0.2048
AT1G25580	AT1G04667	0.2682
AT1G25580	AT1G04887	0.3502
AT1G25580	AT1G04950	0.139
AT1G25580	AT1G05020	0.2426
AT1G25580	AT1G05090	0.8889
AT1G25580	AT1G05163	0.5556
AT1G25580	AT1G05240	0.9977
AT1G25580	AT1G05250	0.9011
AT1G25580	AT1G05303	0.7987
AT1G25580	AT1G05373	0.7161
AT1G25580	AT1G05490	0.6795
AT1G25580	AT1G05610	0.2949
AT1G25580	AT1G05630	0.1105
AT1G25580	AT1G05710	0.3072
AT1G25580	AT1G05820	0.1309
AT1G25580	AT1G05880	0.0553
AT1G25580	AT1G06003	0.2251
AT1G25580	AT1G06043	0.0634
AT1G25580	AT1G06070	0.6364
AT1G25580	AT1G06097	0.3659
AT1G25580	AT1G06103	0.9988
AT1G25580	AT1G06283	0.7539
AT1G25580	AT1G06310	0.2868
AT1G25580	AT1G06340	0.1483
AT1G25580	AT1G06593	0.4142
AT1G25580	AT1G06623	0.7824
AT1G25580	AT1G06647	0.8947
AT1G25580	AT1G06680	0.7499
AT1G25580	AT1G06713	0.242
AT1G25580	AT1G06733	0.0797
AT1G25580	AT1G06973	0.3322
AT1G25580	AT1G07017	0.3903
AT1G25580	AT1G07117	0.6294
AT1G25580	AT1G07240	0.5876
AT1G25580	AT1G07327	0.2565
AT1G25580	AT1G07347	0.2967
AT1G25580	AT1G07440	0.121
AT1G25580	AT1G07480	0.9319
AT1G25580	AT1G07500	0.8278
AT1G25580	AT1G07570	0.4631
AT1G25580	AT1G07700	0.2088
AT1G25580	AT1G07728	0.249
AT1G25580	AT1G07770	0.6556
AT1G25580	AT1G07823	0.1088
AT1G25580	AT1G07877	0.4572
AT1G25580	AT1G08077	0.0366
AT1G25580	AT1G08147	0.9232
AT1G25580	AT1G08150	0.5841
AT1G25580	AT1G08193	0.356
AT1G25580	AT1G08250	0.7877
AT1G25580	AT1G08260	0.2373
AT1G25580	AT1G08273	0.5922
AT1G25580	AT1G08333	0.3601
AT1G25580	AT1G08537	1
AT1G25580	AT1G08543	0.7376
AT1G25580	AT1G08557	0.3723
AT1G25580	AT1G08910	0.2269
AT1G25580	AT1G09007	0.4095
AT1G25580	AT1G09176	0.808
AT1G25580	AT1G09180	0.8074
AT1G25580	AT1G09220	0.1414
AT1G25580	AT1G09553	0.267
AT1G25580	AT1G09690	0.9855
AT1G25580	AT1G09750	0.3752
AT1G25580	AT1G09812	0.6271
AT1G25580	AT1G09815	0.8674
AT1G25580	AT1G09823	0.4543
AT1G25580	AT1G09870	0.5311
AT1G25580	AT1G09923	0.4677
AT1G25580	AT1G09987	0.7109
AT1G25580	AT1G10040	0.0646
AT1G25580	AT1G10360	0.452
AT1G25580	AT1G10670	0.1542
AT1G25580	AT1G10715	0.075
AT1G25580	AT1G10717	0.0745
AT1G25580	AT1G10875	0.3991
AT1G25580	AT1G10880	0.3985
AT1G25580	AT1G11430	0.6283
AT1G25580	AT1G11450	0.0913
AT1G25580	AT1G11670	0.6027
AT1G25580	AT1G12020	0.7859
AT1G25580	AT1G12090	0.8389
AT1G25580	AT1G12650	0.1489
AT1G25580	AT1G13330	0.6911
AT1G25580	AT1G13350	0.5893
AT1G25580	AT1G13370	0.548
AT1G25580	AT1G13650	0.5462
AT1G25580	AT1G14290	0.4642
AT1G25580	AT1G14530	0.1507
AT1G25580	AT1G14720	0.5224
AT1G25580	AT1G14740	0.3729
AT1G25580	AT1G14800	0.4776
AT1G25580	AT1G15000	0.4875
AT1G25580	AT1G15190	0.1408
AT1G25580	AT1G15580	0.6329
AT1G25580	AT1G15590	0.6335
AT1G25580	AT1G16635	0.2478
AT1G25580	AT1G16640	0.2484
AT1G25580	AT1G16945	0.0576
AT1G25580	AT1G17270	0.5602
AT1G25580	AT1G17290	0.438
AT1G25580	AT1G17345	0.0134
AT1G25580	AT1G17350	0.0128
AT1G25580	AT1G17360	0.7981
AT1G25580	AT1G17460	0.6923
AT1G25580	AT1G17640	0.1617
AT1G25580	AT1G17960	0.1251
AT1G25580	AT1G17970	0.1245
AT1G25580	AT1G18030	0.7254
AT1G25580	AT1G18070	0.7155
AT1G25580	AT1G18460	0.5433
AT1G25580	AT1G18835	0.4712
AT1G25580	AT1G19290	0.1646
AT1G25580	AT1G19565	0.6091
AT1G25580	AT1G19850	0.1181
AT1G25580	AT1G20170	0.1995
AT1G25580	AT1G20180	0.199
AT1G25580	AT1G20590	0.196
AT1G25580	AT1G20750	0.7219
AT1G25580	AT1G20760	0.4625
AT1G25580	AT1G21110	0.7749
AT1G25580	AT1G21250	0.2507
AT1G25580	AT1G21270	0.6213
AT1G25580	AT1G21460	0.1867
AT1G25580	AT1G21470	0.3339
AT1G25580	AT1G21540	0.1565
AT1G25580	AT1G22400	0.2612
AT1G25580	AT1G23000	0.6789
AT1G25580	AT1G23080	0.4252
AT1G25580	AT1G23580	0.338
AT1G25580	AT1G23710	0.7766
AT1G25580	AT1G24210	0.2304
AT1G25580	AT1G24610	0.637
AT1G25580	AT1G25370	0.4881
AT1G25580	AT1G25400	0.5137
AT1G25580	AT1G25480	0.0948
AT1G25580	AT1G25550	0.1018
AT1G25580	AT1G25560	0.605
AT1G25580	AT1G26500	0.2245
AT1G25580	AT1G26761	0.313
AT1G25580	AT1G26770	0.388
AT1G25580	AT1G26790	0.1658
AT1G25580	AT1G26830	0.0902
AT1G25580	AT1G27090	0.6888
AT1G25580	AT1G27565	0.1047
AT1G25580	AT1G27570	0.1041
AT1G25580	AT1G27580	0.9983
AT1G25580	AT1G27880	0.0919
AT1G25580	AT1G27890	0.7324
AT1G25580	AT1G28420	0.6114
AT1G25580	AT1G29230	0.6225
AT1G25580	AT1G29260	0.8406
AT1G25580	AT1G29640	0.6958
AT1G25580	AT1G29770	0.3374
AT1G25580	AT1G29830	0.2379
AT1G25580	AT1G30100	0.6766
AT1G25580	AT1G30160	0.1693
AT1G25580	AT1G30475	0.5643
AT1G25580	AT1G30480	0.5637
AT1G25580	AT1G30600	0.7772
AT1G25580	AT1G30757	0.6748
AT1G25580	AT1G31163	0.1571
AT1G25580	AT1G31260	0.2944
AT1G25580	AT1G31280	0.7725
AT1G25580	AT1G31485	0.6818
AT1G25580	AT1G31940	0.5381
AT1G25580	AT1G32225	0.9442
AT1G25580	AT1G32570	0.4392
AT1G25580	AT1G32575	0.4148
AT1G25580	AT1G33120	0.9756
AT1G25580	AT1G33140	0.8953
AT1G25580	AT1G33615	0.1914
AT1G25580	AT1G34047	0.3921
AT1G25580	AT1G34049	0.3915
AT1G25580	AT1G35180	0.5689
